19-K_n-tot
>   19-K-39:0.932690
>   19-K-41:0.067310
1.122310e+04 1.34471257e+00
1.122330e+04 1.25046900e+00
1.122360e+04 1.20029542e+00
1.122410e+04 1.15206744e+00
1.122460e+04 1.13060928e+00
1.122570e+04 1.11248538e+00
1.122670e+04 1.10520290e+00
1.122880e+04 1.09912859e+00
1.123080e+04 1.09652870e+00
1.123910e+04 1.09208110e+00
1.125280e+04 1.08767069e+00
1.125570e+04 1.08706012e+00
1.128890e+04 1.08099442e+00
1.135520e+04 1.06911415e+00
1.148790e+04 1.04539905e+00
1.170430e+04 1.00674783e+00
1.175320e+04 9.99914430e-01
1.193000e+04 9.75163969e-01
1.204290e+04 9.58592155e-01
1.207110e+04 9.53273144e-01
1.209930e+04 9.45998283e-01
1.212750e+04 9.31591139e-01
1.214160e+04 9.12492038e-01
1.214870e+04 8.96002210e-01
1.215220e+04 9.33821126e-01
1.215310e+04 1.00377986e+00
1.215400e+04 1.23041189e+00
1.215440e+04 1.54728299e+00
1.215480e+04 2.35719274e+00
1.215510e+04 3.29193400e+00
1.215530e+04 5.23318807e+00
1.215540e+04 7.04656126e+00
1.215550e+04 1.00323819e+01
1.215560e+04 1.52276522e+01
1.215570e+04 2.46459568e+01
1.215580e+04 4.10169999e+01
