Si-30(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.97169E+06 0.00120000
1.97321E+06 0.00120000
1.97474E+06 0.00120000
1.97626E+06 0.00120000
1.97779E+06 0.00120000
1.97932E+06 0.00120000
1.98086E+06 0.00120000
1.98239E+06 0.00120000
1.98392E+06 0.00120000
1.98546E+06 0.00120000
1.98662E+06 0.00120000
1.98739E+06 0.00120000
1.98816E+06 0.00120000
1.98893E+06 0.00120000
1.98970E+06 0.00120000
1.99047E+06 0.00120000
1.99124E+06 0.00120000
1.99202E+06 0.00120000
1.99279E+06 0.00120000
1.99356E+06 0.00120000
1.99434E+06 0.00120000
1.99511E+06 0.00120000
1.99589E+06 0.00120000
1.99724E+06 0.00120000
1.99918E+06 0.00120000
2.00000E+06 0.00120000
2.00113E+06 0.00119898
2.00308E+06 0.00119721
2.00503E+06 0.00119545
2.00698E+06 0.00119370
2.00893E+06 0.00119194
2.01089E+06 0.00119019
2.01285E+06 0.00118844
2.01482E+06 0.00118668
2.01678E+06 0.00118494
2.01875E+06 0.00118319
2.02073E+06 0.00118143
2.02270E+06 0.00117970
2.02468E+06 0.00117795
2.02666E+06 0.00117621
2.02865E+06 0.00117447
2.03063E+06 0.00117274
2.03262E+06 0.00117100
2.03462E+06 0.00116926
2.03661E+06 0.00116753
2.03801E+06 0.00116632
2.03881E+06 0.00116563
2.03961E+06 0.00116494
2.04041E+06 0.00116425
2.04122E+06 0.00116355
2.04202E+06 0.00116286
2.04282E+06 0.00116217
2.04362E+06 0.00116148
2.04443E+06 0.00116079
2.04523E+06 0.00116010
2.04644E+06 0.00115906
2.04805E+06 0.00115769
2.04966E+06 0.00115631
2.05128E+06 0.00115493
