33-As_n-g
>  33-As-75:1.000000
1.282640e+03 7.59511000e-01
1.285560e+03 1.10996000e+00
1.287020e+03 1.38590000e+00
1.288490e+03 1.78028000e+00
1.289950e+03 2.37105000e+00
1.291410e+03 3.31112000e+00
1.292870e+03 4.93130000e+00
1.293600e+03 6.21412000e+00
1.294330e+03 8.04237000e+00
1.295060e+03 1.07566000e+01
1.295790e+03 1.49458000e+01
1.296520e+03 2.16714000e+01
1.297250e+03 3.25824000e+01
1.298130e+03 5.21088000e+01
1.299000e+03 6.50890000e+01
1.299880e+03 5.20238000e+01
1.300750e+03 3.25007000e+01
1.301560e+03 2.07131000e+01
1.302370e+03 1.38234000e+01
1.303180e+03 9.71496000e+00
1.303990e+03 7.14154000e+00
1.305600e+03 4.28214000e+00
1.307220e+03 2.83790000e+00
1.308840e+03 2.01664000e+00
1.310460e+03 1.50810000e+00
