11-Na_n-g
>  11-Na-23:1.000000
6.194600e+05 3.50000000e-04
6.216700e+05 3.50000000e-04
6.225600e+05 3.50000000e-04
6.246700e+05 3.50000000e-04
6.255700e+05 3.50000000e-04
6.266200e+05 3.50000000e-04
6.271100e+05 3.50000000e-04
6.275900e+05 3.50000000e-04
6.289800e+05 3.50000000e-04
6.301200e+05 3.50000000e-04
6.303600e+05 3.50000000e-04
6.333700e+05 3.50000000e-04
6.341000e+05 3.50000000e-04
6.359700e+05 3.50000000e-04
6.367000e+05 3.50000000e-04
6.392200e+05 3.50000000e-04
6.427900e+05 3.50000000e-04
6.489700e+05 3.50000000e-04
6.527800e+05 3.50000000e-04
6.574200e+05 3.50000000e-04
6.600000e+05 3.50000000e-04
6.633500e+05 3.48760000e-04
6.682200e+05 3.46976000e-04
6.697700e+05 3.46413000e-04
6.739100e+05 3.44920000e-04
6.813900e+05 3.42261000e-04
6.825200e+05 3.41864000e-04
6.830100e+05 3.41692000e-04
6.834200e+05 3.41548000e-04
6.835800e+05 3.41492000e-04
6.840700e+05 3.41321000e-04
6.848000e+05 3.41066000e-04
6.865100e+05 3.40470000e-04
6.879700e+05 3.39963000e-04
6.887800e+05 3.39683000e-04
6.939400e+05 3.37910000e-04
6.957700e+05 3.37287000e-04
6.983800e+05 3.36403000e-04
7.011300e+05 3.35478000e-04
7.022800e+05 3.35092000e-04
7.044400e+05 3.34372000e-04
7.074800e+05 3.33364000e-04
7.077500e+05 3.33275000e-04
7.103500e+05 3.32419000e-04
7.133300e+05 3.31445000e-04
7.138700e+05 3.31269000e-04
7.181700e+05 3.29878000e-04
7.185300e+05 3.29762000e-04
7.217800e+05 3.28720000e-04
7.225400e+05 3.28478000e-04
7.256800e+05 3.27481000e-04
7.260600e+05 3.27361000e-04
7.302800e+05 3.26033000e-04
7.334800e+05 3.25036000e-04
7.354900e+05 3.24413000e-04
7.386800e+05 3.23430000e-04
7.409900e+05 3.22723000e-04
7.448600e+05 3.21546000e-04
7.468300e+05 3.20952000e-04
7.471300e+05 3.20861000e-04
7.476800e+05 3.20696000e-04
7.481000e+05 3.20570000e-04
7.487300e+05 3.20380000e-04
7.493000e+05 3.20210000e-04
7.500000e+05 3.20000000e-04
7.500400e+05 3.19955000e-04
7.523300e+05 3.17398000e-04
7.549100e+05 3.14550000e-04
7.572600e+05 3.11987000e-04
7.575300e+05 3.11694000e-04
7.589400e+05 3.10172000e-04
7.616300e+05 3.07296000e-04
7.627300e+05 3.06131000e-04
7.634700e+05 3.05351000e-04
7.651500e+05 3.03589000e-04
7.656600e+05 3.03057000e-04
7.661600e+05 3.02536000e-04
7.665000e+05 3.02183000e-04
7.670000e+05 3.01665000e-04
7.688500e+05 2.99758000e-04
7.705300e+05 2.98040000e-04
7.717000e+05 2.96852000e-04
7.732100e+05 2.95329000e-04
7.760700e+05 2.92472000e-04
7.779100e+05 2.90654000e-04
7.795900e+05 2.89008000e-04
7.809300e+05 2.87705000e-04
7.829500e+05 2.85755000e-04
7.861400e+05 2.82712000e-04
7.867800e+05 2.82107000e-04
7.895000e+05 2.79556000e-04
7.960500e+05 2.73541000e-04
8.000000e+05 2.70000000e-04
8.017300e+05 2.69280000e-04
8.044500e+05 2.68156000e-04
8.101600e+05 2.65822000e-04
8.127800e+05 2.64763000e-04
8.182200e+05 2.62590000e-04
8.264400e+05 2.59366000e-04
8.272900e+05 2.59037000e-04
8.326600e+05 2.56974000e-04
8.405500e+05 2.53996000e-04
8.426900e+05 2.53199000e-04
8.504600e+05 2.50344000e-04
8.524400e+05 2.49625000e-04
8.578500e+05 2.47681000e-04
8.589400e+05 2.47293000e-04
8.657400e+05 2.44895000e-04
8.719400e+05 2.42745000e-04
8.738000e+05 2.42106000e-04
8.800000e+05 2.40000000e-04
8.803500e+05 2.39968000e-04
8.836400e+05 2.39670000e-04
8.865700e+05 2.39406000e-04
8.922800e+05 2.38895000e-04
8.933900e+05 2.38796000e-04
8.966400e+05 2.38508000e-04
8.972900e+05 2.38450000e-04
8.991600e+05 2.38285000e-04
9.022900e+05 2.38010000e-04
9.024900e+05 2.37992000e-04
9.045600e+05 2.37811000e-04
9.057000e+05 2.37711000e-04
9.075200e+05 2.37552000e-04
9.113900e+05 2.37216000e-04
9.115900e+05 2.37198000e-04
9.132100e+05 2.37058000e-04
9.150300e+05 2.36901000e-04
9.173000e+05 2.36706000e-04
9.227600e+05 2.36239000e-04
9.265400e+05 2.35917000e-04
9.286800e+05 2.35736000e-04
9.336900e+05 2.35314000e-04
9.364100e+05 2.35087000e-04
9.432400e+05 2.34518000e-04
9.441000e+05 2.34447000e-04
9.464200e+05 2.34256000e-04
9.496100e+05 2.33993000e-04
9.525700e+05 2.33751000e-04
9.532000e+05 2.33700000e-04
9.590500e+05 2.33224000e-04
9.621200e+05 2.32976000e-04
9.642500e+05 2.32805000e-04
9.646300e+05 2.32774000e-04
9.657600e+05 2.32683000e-04
9.664500e+05 2.32628000e-04
9.666700e+05 2.32610000e-04
9.671300e+05 2.32574000e-04
9.678100e+05 2.32519000e-04
9.682700e+05 2.32482000e-04
9.684900e+05 2.32465000e-04
9.691800e+05 2.32410000e-04
9.712200e+05 2.32247000e-04
9.733500e+05 2.32078000e-04
9.741800e+05 2.32012000e-04
9.764600e+05 2.31831000e-04
9.791900e+05 2.31616000e-04
9.805500e+05 2.31509000e-04
9.819200e+05 2.31401000e-04
9.824500e+05 2.31360000e-04
9.844200e+05 2.31206000e-04
9.857900e+05 2.31099000e-04
9.870000e+05 2.31004000e-04
9.889700e+05 2.30851000e-04
9.922000e+05 2.30600000e-04
