Pt-198(n,g) JEFF-3.2
Energy(eV) XS(b)
5070.07 1.36820
5070.63 1.55345
5071.19 1.77901
5071.75 2.05622
5072.31 2.40246
5072.88 2.84209
5073.44 3.41209
5074.00 4.16455
5074.56 5.18437
5075.12 6.60597
5075.68 8.65505
5076.24 11.6955
5076.80 16.3388
5077.37 23.4495
5078.13 37.5659
5078.89 47.1200
5079.27 44.4317
5079.65 37.8193
5080.42 23.6601
5080.89 17.4371
5081.36 13.0746
5082.30 7.88371
5083.24 5.16946
5084.18 3.62145
5085.12 2.66616
5086.06 2.04068
5087.95 1.30142
5089.83 0.900089
5091.71 0.658934
5095.48 0.396590
5099.25 0.264760
5103.01 0.189381
5106.78 0.142307
5110.54 0.110971
5118.07 0.0731426
5125.61 0.0520620
5133.14 0.0391244
5140.67 0.0306213
5155.73 0.0204952
5170.80 0.0149337
5185.86 0.0115638
5200.92 0.00937861
5231.05 0.00684561
5261.17 0.00554674
5321.43 0.00458296
5381.68 0.00492365
5411.81 0.00569777
5441.93 0.00729408
5472.06 0.0108496
5487.12 0.0144210
5502.18 0.0209358
5509.72 0.0264197
5517.25 0.0347828
5524.78 0.0484669
5532.31 0.0731683
5536.08 0.0937731
5539.84 0.124925
5543.61 0.175272
5547.37 0.264505
5549.26 0.337580
5551.14 0.446052
5553.02 0.616996
5554.91 0.909163
5555.85 1.13989
5556.79 1.47000
5557.26 1.69141
5557.73 1.96633
5558.20 2.31320
5558.67 2.75793
5559.14 3.34291
5559.61 4.13028
5560.08 5.22142
5560.55 6.78207
5561.03 9.11425
5561.50 12.7395
5561.97 18.6386
5562.44 28.3322
5562.98 45.4288
5563.53 57.2248
5563.81 54.1180
5564.08 46.1504
5564.63 28.9202
5565.09 19.0655
5565.56 13.0466
5566.02 9.33117
5566.49 6.94410
5567.42 4.22596
5568.35 2.82206
5569.29 2.01057
5570.22 1.50302
5572.08 0.928980
5573.94 0.630101
5575.81 0.455317
5577.67 0.344460
5579.53 0.269810
5583.26 0.178692
5586.98 0.127343
5590.71 0.0956002
5594.44 0.0746274
5601.89 0.0495270
5609.34 0.0356756
5616.79 0.0272519
5624.24 0.0217698
5639.15 0.0153790
5654.05 0.0121375
5668.96 0.0113266
5672.68 0.0122030
5676.41 0.0153723
5678.27 0.0200127
5680.14 0.0331067
5681.07 0.0508024
5682.00 0.0981599
5682.46 0.159123
5682.93 0.311902
5683.16 0.492761
5683.40 0.894871
5683.51 1.30928
5683.63 2.06742
5683.75 3.63734
5683.80 5.06228
5683.86 7.25590
5683.94 11.5912
5684.02 14.5093
5684.10 11.5969
5684.18 7.26024
5684.26 4.52935
5684.34 2.98275
5684.49 1.51738
5684.64 0.903006
5684.80 0.596095
5685.11 0.315052
5685.41 0.195963
5686.03 0.0990314
5686.65 0.0615238
5687.88 0.0329058
5689.12 0.0223392
5691.58 0.0144583
5694.05 0.0115585
5698.99 0.00932817
5703.92 0.00843407
