35-Br_n-tot
>  35-Br-79:0.506900
>  35-Br-81:0.493100
3.639640e+02 5.58577965e+00
3.652680e+02 5.54405456e+00
3.659190e+02 5.52768302e+00
3.661360e+02 5.52462327e+00
3.665710e+02 5.52129009e+00
3.668970e+02 5.52415457e+00
3.672230e+02 5.53383370e+00
3.675490e+02 5.55580581e+00
3.678750e+02 5.60237375e+00
3.682000e+02 5.70629397e+00
3.683630e+02 5.80696505e+00
3.685260e+02 5.97914550e+00
3.686890e+02 6.30450253e+00
3.687710e+02 6.58497779e+00
3.688520e+02 7.01867877e+00
3.689340e+02 7.73612446e+00
3.690150e+02 9.02305116e+00
3.690970e+02 1.15830833e+01
3.691370e+02 1.38074153e+01
3.691780e+02 1.70720110e+01
3.692390e+02 2.40440812e+01
3.693000e+02 2.86774768e+01
3.693610e+02 2.40432058e+01
3.694220e+02 1.70680411e+01
3.694860e+02 1.24308219e+01
3.695500e+02 9.89475113e+00
3.696130e+02 8.45970341e+00
3.696770e+02 7.59479782e+00
3.697410e+02 7.03922372e+00
3.698050e+02 6.66469622e+00
3.699320e+02 6.20785703e+00
3.700600e+02 5.95108840e+00
3.701870e+02 5.79258457e+00
3.704420e+02 5.61355140e+00
3.706970e+02 5.51809867e+00
3.708470e+02 5.48362901e+00
3.709520e+02 5.45964452e+00
3.712070e+02 5.42006523e+00
3.714620e+02 5.39094953e+00
3.719720e+02 5.34937011e+00
3.724830e+02 5.31905959e+00
3.735030e+02 5.27256274e+00
3.745230e+02 5.23378783e+00
3.755430e+02 5.19813918e+00
3.755580e+02 5.19764297e+00
3.775830e+02 5.12942324e+00
3.802680e+02 5.04220677e+00
3.816640e+02 4.99502599e+00
3.826240e+02 4.96299174e+00
