Nd-145(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
248.905 9.56294
248.946 6.84744
248.987 5.17001
249.069 3.29541
249.150 2.32698
249.232 1.76139
249.395 1.15777
249.558 0.856129
249.721 0.681791
250.048 0.494823
250.700 0.343493
251.353 0.284690
252.659 0.255066
253.964 0.290547
255.269 0.414307
255.922 0.548079
256.575 0.796590
256.901 1.00688
257.228 1.32765
257.554 1.85156
257.717 2.24748
257.880 2.79250
258.043 3.57299
258.207 4.74590
258.370 6.62545
258.533 9.91336
258.615 12.5723
258.696 16.4699
258.778 22.5079
258.859 32.5773
258.941 51.1854
258.982 66.9942
259.023 91.1992
259.063 130.665
259.104 200.310
259.145 335.200
259.165 449.739
259.186 613.685
259.218 981.367
259.250 1226.19
259.282 981.111
259.314 613.428
259.341 409.504
259.368 283.159
259.394 204.128
259.421 152.817
259.474 93.7597
259.527 62.9551
259.580 45.0098
259.634 33.7233
259.740 20.9210
259.846 14.2205
259.953 10.2950
260.059 7.79809
260.165 6.11591
260.378 4.05854
260.591 2.89747
260.803 2.17905
261.016 1.70427
261.016 1.70390
261.017 1.70298
261.017 1.70225
261.018 1.70060
261.020 1.69749
261.023 1.69130
261.030 1.67884
261.044 1.65435
261.071 1.60720
261.126 1.51905
261.236 1.36412
261.456 1.12119
261.897 0.805154
262.337 0.615459
262.777 0.493401
263.658 0.353195
264.538 0.282101
266.299 0.229607
268.060 0.243275
269.821 0.331920
270.701 0.433282
271.141 0.512705
271.582 0.624236
272.022 0.786692
272.462 1.03509
272.682 1.21144
272.902 1.44127
273.122 1.74842
273.342 2.17168
273.563 2.77797
273.783 3.68890
274.003 5.14881
274.223 7.70487
274.333 9.77232
274.443 12.8002
274.553 17.4957
274.663 25.3195
274.773 39.7943
274.828 52.0835
274.883 70.9002
274.938 101.655
274.993 155.873
275.048 260.965
275.076 350.285
275.103 479.017
275.147 766.845
275.190 958.079
275.233 765.868
275.277 478.750
275.307 337.874
275.338 244.595
275.369 182.407
275.399 140.212
275.461 89.1345
275.522 61.2034
275.583 44.4302
275.644 33.6679
275.767 21.1842
275.889 14.5291
276.012 10.5773
276.134 8.04392
276.257 6.32445
276.502 4.20790
276.747 3.00590
276.992 2.25850
277.237 1.76244
277.727 1.16568
278.217 0.834330
278.707 0.631505
279.197 0.498527
280.177 0.340704
281.157 0.254534
283.118 0.169707
285.078 0.132769
287.038 0.115985
290.958 0.112054
294.879 0.139076
296.839 0.170276
298.799 0.225574
