73-Ta_n-g
> 73-Ta-181:1.000000
7.694930e+01 2.30991000e+02
7.697210e+01 1.58597000e+02
7.699490e+01 1.15687000e+02
7.701770e+01 8.83827000e+01
7.706330e+01 5.72180000e+01
7.710890e+01 4.11045000e+01
7.715450e+01 3.20585000e+01
7.724570e+01 2.41972000e+01
7.733690e+01 2.45584000e+01
7.738250e+01 2.81438000e+01
7.742810e+01 3.57786000e+01
7.747370e+01 5.17018000e+01
7.749650e+01 6.60698000e+01
7.751930e+01 8.89999000e+01
7.754210e+01 1.28255000e+02
7.756490e+01 2.02263000e+02
7.757630e+01 2.65371000e+02
7.758770e+01 3.60686000e+02
7.759910e+01 5.09179000e+02
7.761050e+01 7.41652000e+02
7.762530e+01 1.18382000e+03
7.764000e+01 1.47856000e+03
7.765480e+01 1.18329000e+03
7.766950e+01 7.40783000e+02
7.767930e+01 5.35272000e+02
7.768910e+01 3.95093000e+02
7.770860e+01 2.33581000e+02
7.772820e+01 1.51910000e+02
7.774770e+01 1.06261000e+02
7.776730e+01 7.84771000e+01
7.778680e+01 6.04316000e+01
7.782590e+01 3.92585000e+01
7.786510e+01 2.78114000e+01
7.790420e+01 2.09323000e+01
7.798240e+01 1.34207000e+01
7.806060e+01 9.62414000e+00
7.813880e+01 7.45948000e+00
7.829530e+01 5.33931000e+00
7.845170e+01 4.76858000e+00
7.852990e+01 5.00872000e+00
7.860810e+01 5.82444000e+00
7.868640e+01 7.84125000e+00
7.872550e+01 9.83533000e+00
7.876460e+01 1.32636000e+01
7.880370e+01 1.97482000e+01
7.882320e+01 2.53444000e+01
7.884280e+01 3.40134000e+01
7.886240e+01 4.83720000e+01
7.888190e+01 7.42329000e+01
7.890150e+01 1.25905000e+02
7.891120e+01 1.71158000e+02
7.892100e+01 2.37904000e+02
7.892830e+01 3.04107000e+02
7.893550e+01 3.79809000e+02
7.895000e+01 4.74468000e+02
7.896450e+01 3.79691000e+02
7.897900e+01 2.37724000e+02
7.899440e+01 1.42943000e+02
7.900970e+01 9.16311000e+01
7.902510e+01 6.28100000e+01
7.904040e+01 4.55204000e+01
7.905570e+01 3.44714000e+01
7.907110e+01 2.70393000e+01
7.910180e+01 1.80278000e+01
7.913250e+01 1.30003000e+01
7.916320e+01 9.92056000e+00
7.922460e+01 6.49754000e+00
7.928590e+01 4.73207000e+00
7.934730e+01 3.69842000e+00
7.947010e+01 2.58770000e+00
7.959290e+01 2.02713000e+00
7.971570e+01 1.70242000e+00
7.996120e+01 1.36386000e+00
8.045230e+01 1.16772000e+00
8.094340e+01 1.28067000e+00
8.143450e+01 1.76092000e+00
8.168010e+01 2.28829000e+00
8.192560e+01 3.26680000e+00
8.204840e+01 4.09130000e+00
8.217120e+01 5.34340000e+00
8.229390e+01 7.37477000e+00
8.241670e+01 1.09907000e+01
8.247810e+01 1.39626000e+01
8.253950e+01 1.83902000e+01
8.260090e+01 2.54031000e+01
8.266230e+01 3.74748000e+01
8.269300e+01 4.70756000e+01
8.272360e+01 6.09207000e+01
