U-238(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
136.047 12.6628
136.057 12.4434
136.075 12.2896
136.113 12.2139
136.188 12.1797
136.338 12.1542
136.639 12.1166
137.240 12.0459
138.441 11.9089
140.845 11.6401
142.047 11.4999
143.249 11.3412
143.850 11.2437
144.150 11.1855
144.451 11.1166
144.751 11.0323
144.901 10.9838
145.052 10.9353
145.127 10.9160
145.202 10.9084
145.277 10.9303
145.352 11.0290
145.390 11.1454
145.427 11.3559
145.465 11.7528
145.502 12.5505
145.521 13.2592
145.540 14.3662
145.559 16.1938
145.577 19.4271
145.596 25.8759
145.606 31.6843
145.615 41.0291
145.624 57.2209
145.634 88.1803
145.639 114.848
145.643 155.404
145.648 219.003
145.650 262.563
145.653 316.671
145.656 407.745
145.659 513.901
145.665 656.652
145.668 626.040
145.671 539.751
145.677 348.913
145.684 216.359
145.691 145.014
145.697 104.401
145.704 79.7057
145.710 63.7369
145.717 52.8636
145.730 39.4565
145.744 31.7681
145.757 27.0033
145.783 21.5653
145.810 18.6580
145.836 16.9152
145.862 15.7739
145.889 14.9795
145.942 13.9612
145.995 13.3484
146.048 12.9444
146.100 12.6606
146.206 12.2894
146.312 12.0588
146.418 11.9013
146.523 11.7864
146.735 11.6278
146.946 11.5212
147.369 11.3796
147.792 11.2826
148.215 11.2064
149.061 11.0839
150.753 10.8854
151.599 10.7993
151.811 10.7823
152.022 10.7756
152.128 10.7859
152.181 10.8014
152.234 10.8336
152.286 10.9061
152.313 10.9780
152.339 11.1053
152.366 11.3610
152.379 11.5949
152.392 11.9821
152.405 12.6883
152.412 13.2795
152.419 14.1710
152.425 15.5937
152.432 18.0265
152.438 22.5214
152.445 31.2399
152.451 43.6531
152.456 51.7293
152.462 43.4252
152.468 31.2392
152.474 22.8024
152.481 18.3233
152.487 15.8453
152.493 14.3922
152.499 13.4536
152.506 12.8264
152.518 12.0754
152.531 11.6555
152.543 11.4014
152.568 11.1191
152.593 10.9744
152.619 10.8899
152.669 10.7991
152.719 10.7522
152.769 10.7236
152.869 10.6893
153.070 10.6507
153.271 10.6233
153.672 10.5763
154.073 10.5321
155.679 10.3564
157.284 10.1727
158.087 10.0768
158.488 10.0330
158.589 10.0270
158.689 10.0330
158.739 10.0516
158.789 10.1107
158.815 10.1895
158.840 10.3837
158.852 10.6052
158.865 11.0625
158.871 11.4994
158.877 12.2224
158.884 13.5476
158.890 15.9933
158.896 19.6373
158.901 22.0099
158.907 19.5693
158.913 15.9908
158.918 13.8114
158.923 12.5525
158.928 11.7934
158.934 11.3137
158.944 10.7756
158.954 10.5008
158.975 10.2435
158.996 10.1317
159.038 10.0365
159.080 9.99601
159.163 9.95805
159.246 9.93686
159.580 9.88071
160.246 9.78061
161.580 9.55526
162.247 9.41814
162.914 9.25069
163.247 9.14866
163.581 9.02776
