Ba-138(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
103248 2.23072
103261 2.58556
103267 2.89777
103274 3.37556
103280 4.17724
103287 5.58264
103293 8.30252
103296 10.6020
103300 13.9017
103305 21.7487
103310 27.2077
103315 22.4686
103321 14.9945
103324 11.0614
103328 8.52291
103332 6.83141
103336 5.67533
103344 4.25477
103351 3.47957
103359 3.00232
103366 2.69486
103382 2.32629
103397 2.12107
103412 1.99275
103443 1.84234
103473 1.75481
103504 1.69532
103565 1.61217
103687 1.49354
103809 1.38854
104054 1.16526
104298 0.896195
104543 0.562957
104787 0.187786
104848 0.108050
104909 0.0528652
104971 0.0455018
105001 0.0718987
105032 0.128210
105062 0.225846
105093 0.379271
105123 0.610394
105154 0.946419
