28-Ni_n-tot
>  28-Ni-58:0.680770
>  28-Ni-59:0.000000
>  28-Ni-60:0.262230
>  28-Ni-61:0.011399
>  28-Ni-62:0.036346
>  28-Ni-64:0.009255
3.133860e+03 1.76510188e+01
3.134970e+03 1.76615003e+01
3.136080e+03 1.76763919e+01
3.136380e+03 1.76822306e+01
3.136640e+03 1.76872907e+01
3.137200e+03 1.77028226e+01
3.137750e+03 1.77273652e+01
3.138310e+03 1.77719142e+01
3.138590e+03 1.78100857e+01
3.138860e+03 1.78693009e+01
3.139140e+03 1.79663995e+01
3.139420e+03 1.81288361e+01
3.139710e+03 1.83755490e+01
3.140000e+03 1.85106931e+01
3.140290e+03 1.83066235e+01
3.140580e+03 1.80447062e+01
3.140870e+03 1.78857287e+01
3.141160e+03 1.78012585e+01
3.141460e+03 1.77551050e+01
3.141750e+03 1.77285247e+01
3.142040e+03 1.77123746e+01
3.142330e+03 1.77022609e+01
3.142910e+03 1.76916467e+01
3.143500e+03 1.76874274e+01
3.144080e+03 1.76861691e+01
3.145250e+03 1.76876892e+01
3.146410e+03 1.76914166e+01
3.147580e+03 1.76960831e+01
3.148500e+03 1.77001514e+01
3.149910e+03 1.77063866e+01
3.152250e+03 1.77172124e+01
3.154580e+03 1.77281509e+01
3.156690e+03 1.77381306e+01
3.159250e+03 1.77502444e+01
3.160630e+03 1.77568341e+01
3.166690e+03 1.77857714e+01
3.168580e+03 1.77947964e+01
3.172750e+03 1.78150265e+01
3.177910e+03 1.78400594e+01
3.178810e+03 1.78446045e+01
3.181840e+03 1.78599062e+01
3.184880e+03 1.78752585e+01
3.187910e+03 1.78905602e+01
3.190940e+03 1.79058619e+01
3.193970e+03 1.79211637e+01
3.196580e+03 1.79343444e+01
3.197000e+03 1.79366761e+01
3.199030e+03 1.79479460e+01
3.200000e+03 1.79573314e+01
3.203000e+03 1.79863584e+01
3.206000e+03 1.80153855e+01
3.209000e+03 1.80444125e+01
3.211840e+03 1.80718914e+01
3.214690e+03 1.80994671e+01
3.215240e+03 1.81047887e+01
3.217530e+03 1.81295640e+01
3.220380e+03 1.81603978e+01
3.226060e+03 1.82218490e+01
3.231750e+03 1.82834084e+01
3.233910e+03 1.83067772e+01
3.237440e+03 1.83515882e+01
3.243130e+03 1.84238189e+01
3.243240e+03 1.84252153e+01
3.252570e+03 1.85681486e+01
3.254500e+03 1.86078834e+01
3.261900e+03 1.87602345e+01
3.265880e+03 1.88901636e+01
3.271240e+03 1.90651434e+01
3.275900e+03 1.93097819e+01
3.277250e+03 1.94168530e+01
3.280570e+03 1.96801687e+01
3.285230e+03 2.02830560e+01
3.289900e+03 2.13105006e+01
3.294950e+03 2.30556299e+01
3.300000e+03 2.42771461e+01
3.305050e+03 2.31431730e+01
3.310100e+03 2.14981143e+01
3.313370e+03 2.08640743e+01
3.315490e+03 2.04530229e+01
3.320880e+03 1.99235793e+01
3.325000e+03 1.97150213e+01
3.326270e+03 1.96507328e+01
3.331660e+03 1.95066813e+01
3.337050e+03 1.94317203e+01
3.342440e+03 1.93964438e+01
3.350000e+03 1.93917768e+01
3.353220e+03 1.93897891e+01
3.364000e+03 1.94265314e+01
3.374780e+03 1.94844314e+01
3.396340e+03 1.96299703e+01
3.400000e+03 1.96577345e+01
3.417900e+03 1.97935215e+01
3.439460e+03 1.99650207e+01
3.450000e+03 2.00508376e+01
3.461020e+03 2.01405628e+01
3.482580e+03 2.03183783e+01
3.500000e+03 2.04635179e+01
3.525690e+03 2.06785708e+01
3.547330e+03 2.08609666e+01
3.568810e+03 2.10423214e+01
3.598700e+03 2.12957639e+01
3.600000e+03 2.13132371e+01
3.626750e+03 2.16727824e+01
3.655050e+03 2.20533597e+01
3.700000e+03 2.26587502e+01
3.724700e+03 2.29914119e+01
3.741290e+03 2.32151838e+01
3.750000e+03 2.33327394e+01
3.800000e+03 2.40075710e+01
