50-Sn_n-g
> 50-Sn-112:0.009700
> 50-Sn-114:0.006600
> 50-Sn-115:0.003400
> 50-Sn-116:0.145400
> 50-Sn-117:0.076800
> 50-Sn-118:0.242200
> 50-Sn-119:0.085900
> 50-Sn-120:0.325800
> 50-Sn-122:0.046300
> 50-Sn-124:0.057900
7.144620e+01 2.65834436e-02
7.149370e+01 2.69730387e-02
7.159240e+01 2.87170677e-02
7.161060e+01 2.90615946e-02
7.172740e+01 3.29565823e-02
7.184430e+01 4.06044732e-02
7.190270e+01 4.74639501e-02
7.196120e+01 5.85254401e-02
7.201960e+01 7.79123700e-02
7.207800e+01 1.16011085e-01
7.207810e+01 1.16127143e-01
7.210730e+01 1.50025098e-01
7.213650e+01 2.03833055e-01
7.216570e+01 2.92946102e-01
7.219490e+01 4.42976119e-01
7.221210e+01 5.77018176e-01
7.222750e+01 6.97036859e-01
7.226000e+01 8.66607687e-01
7.229260e+01 6.97304101e-01
7.232510e+01 4.43279809e-01
7.234700e+01 3.24033217e-01
7.236880e+01 2.43135639e-01
7.241250e+01 1.50434489e-01
7.245620e+01 1.03888946e-01
7.245870e+01 1.02406733e-01
7.249990e+01 7.80006958e-02
7.254360e+01 6.23106406e-02
7.258740e+01 5.21501531e-02
7.259510e+01 5.11051657e-02
7.267480e+01 4.03250178e-02
7.276220e+01 3.39941571e-02
7.283940e+01 3.06712777e-02
7.284960e+01 3.02448223e-02
7.297800e+01 2.74410005e-02
7.302440e+01 2.64592562e-02
7.316950e+01 2.50951188e-02
7.319920e+01 2.48416172e-02
7.322000e+01 2.47692829e-02
7.336100e+01 2.45904015e-02
7.337410e+01 2.45943963e-02
7.341040e+01 2.47224534e-02
7.355250e+01 2.57185154e-02
7.360070e+01 2.62097552e-02
7.372370e+01 2.84639772e-02
7.374400e+01 2.88803470e-02
7.379100e+01 3.00627902e-02
7.383970e+01 3.19636856e-02
7.388620e+01 3.40454287e-02
7.393550e+01 3.72649456e-02
7.395970e+01 3.90905913e-02
7.398140e+01 4.07456975e-02
7.403120e+01 4.67521626e-02
7.407650e+01 5.30998477e-02
7.412410e+01 6.30331457e-02
7.412690e+01 6.38711232e-02
7.417170e+01 7.91942421e-02
7.421930e+01 1.03519472e-01
7.422270e+01 1.06443006e-01
7.426680e+01 1.47359702e-01
7.427060e+01 1.52781872e-01
7.429060e+01 1.83171279e-01
7.431440e+01 2.33379857e-01
7.431840e+01 2.45533199e-01
7.433820e+01 3.09193099e-01
7.436200e+01 4.18806705e-01
7.436630e+01 4.46553144e-01
7.439600e+01 6.49551881e-01
7.441420e+01 7.37424123e-01
7.442300e+01 7.85061493e-01
7.443000e+01 8.22960777e-01
7.443810e+01 8.01742253e-01
7.446200e+01 7.56566197e-01
7.446400e+01 7.55208490e-01
7.448600e+01 6.96002717e-01
7.449800e+01 6.87464209e-01
7.450990e+01 7.01340379e-01
7.452290e+01 7.49356447e-01
7.454000e+01 8.37029550e-01
7.454780e+01 8.56821477e-01
7.457000e+01 9.33872060e-01
7.457270e+01 9.14945957e-01
7.459760e+01 7.54887407e-01
7.460010e+01 7.40023621e-01
7.463010e+01 4.82472539e-01
7.464740e+01 3.78954097e-01
7.465490e+01 3.36540109e-01
7.467970e+01 2.45946545e-01
7.469720e+01 2.03246564e-01
7.470440e+01 1.86813954e-01
7.472920e+01 1.48178457e-01
7.474710e+01 1.30356723e-01
7.477880e+01 1.01422384e-01
7.479690e+01 9.14844028e-02
7.482830e+01 7.62090985e-02
7.487790e+01 6.04048308e-02
7.489650e+01 5.60730275e-02
7.492740e+01 5.01122871e-02
7.499610e+01 4.12098014e-02
7.500000e+01 4.07763861e-02
7.502650e+01 3.78341314e-02
7.509570e+01 3.28904281e-02
7.512230e+01 3.13202145e-02
7.512560e+01 3.11267760e-02
7.522470e+01 2.70966610e-02
7.529490e+01 2.48933600e-02
7.532380e+01 2.41956824e-02
7.542290e+01 2.23256322e-02
7.549420e+01 2.12828634e-02
7.551890e+01 2.09978409e-02
7.562110e+01 1.98210175e-02
7.569340e+01 1.91988094e-02
7.581930e+01 1.83621037e-02
7.609190e+01 1.70500653e-02
7.621570e+01 1.65893136e-02
7.632700e+01 1.62880581e-02
7.649040e+01 1.59108934e-02
7.661210e+01 1.56844630e-02
7.688880e+01 1.52842794e-02
7.700850e+01 1.51442886e-02
7.768580e+01 1.45245182e-02
7.780130e+01 1.44398862e-02
7.791960e+01 1.43695499e-02
7.859420e+01 1.41301143e-02
7.869430e+01 1.41001391e-02
7.927960e+01 1.40506290e-02
7.938700e+01 1.40490366e-02
8.071680e+01 1.40742208e-02
8.087350e+01 1.41260340e-02
8.097260e+01 1.41623304e-02
8.106160e+01 1.41968858e-02
8.125000e+01 1.43012605e-02
8.351410e+01 1.59487297e-02
8.367930e+01 1.61437274e-02
8.414380e+01 1.66939868e-02
8.491270e+01 1.76113682e-02
8.579620e+01 1.91809820e-02
8.631130e+01 2.01525355e-02
8.724900e+01 2.29346875e-02
8.731510e+01 2.31323276e-02
8.750000e+01 2.36859398e-02
8.770990e+01 2.43742547e-02
8.910850e+01 3.21158123e-02
8.980780e+01 3.83725000e-02
9.050720e+01 4.77152940e-02
9.053080e+01 4.81576197e-02
9.062500e+01 4.99281278e-02
9.085680e+01 5.43714411e-02
9.103160e+01 5.84032219e-02
9.120650e+01 6.30096275e-02
9.129390e+01 6.55648864e-02
9.138130e+01 6.83110413e-02
9.146870e+01 7.12687532e-02
9.155610e+01 7.44604291e-02
9.164350e+01 7.79131320e-02
9.173100e+01 8.16560557e-02
9.181840e+01 8.57239326e-02
9.190580e+01 9.01564325e-02
9.199320e+01 9.50002124e-02
9.208060e+01 1.00307555e-01
