57-La_n-tot
> 57-La-139:1.000000
1.432990e+03 8.91197000e+01
1.433000e+03 1.10131000e+02
1.433010e+03 8.91298000e+01
1.433020e+03 5.64527000e+01
1.433040e+03 3.37537000e+01
1.433050e+03 2.24698000e+01
1.433060e+03 1.57634000e+01
1.433070e+03 1.21251000e+01
1.433090e+03 9.63746000e+00
1.433100e+03 8.11073000e+00
1.433120e+03 6.18903000e+00
1.433150e+03 5.13114000e+00
1.433170e+03 4.48959000e+00
1.433220e+03 3.78573000e+00
1.433320e+03 3.22428000e+00
1.433420e+03 3.01005000e+00
1.433620e+03 2.84805000e+00
1.433820e+03 2.78879000e+00
