46-Pd_n-tot
> 46-Pd-102:0.011554
> 46-Pd-104:0.126189
> 46-Pd-105:0.252945
> 46-Pd-106:0.309583
> 46-Pd-108:0.299728
1.017480e+02 9.28388618e+00
1.017850e+02 9.07015973e+00
1.018190e+02 8.93933855e+00
1.018520e+02 8.85642602e+00
1.019190e+02 8.76068112e+00
1.019860e+02 8.70419079e+00
1.020520e+02 8.66328776e+00
1.021860e+02 8.59843750e+00
1.023200e+02 8.54349509e+00
1.024120e+02 8.51062568e+00
1.025870e+02 8.44811343e+00
1.028550e+02 8.37120435e+00
1.031220e+02 8.33342413e+00
1.031610e+02 8.33770966e+00
1.032560e+02 8.36108534e+00
1.033890e+02 8.44653453e+00
1.035230e+02 8.65011299e+00
1.035900e+02 8.84895475e+00
1.036570e+02 9.18270988e+00
1.037240e+02 9.78682547e+00
1.037900e+02 1.09988909e+01
1.038240e+02 1.20913917e+01
1.038570e+02 1.38283170e+01
1.038910e+02 1.67129090e+01
1.039240e+02 2.15851909e+01
1.039620e+02 3.01381986e+01
1.040000e+02 3.61417466e+01
1.040380e+02 3.07695912e+01
1.040760e+02 2.23569084e+01
1.041010e+02 1.84120976e+01
1.041260e+02 1.57149895e+01
1.041770e+02 1.25747968e+01
1.042270e+02 1.09621362e+01
1.042770e+02 1.00481355e+01
1.043270e+02 9.48125141e+00
1.043780e+02 9.10597717e+00
1.044780e+02 8.65091151e+00
1.045780e+02 8.38972831e+00
1.046790e+02 8.22072981e+00
1.048250e+02 8.06793673e+00
1.048800e+02 8.01040846e+00
1.050810e+02 7.87674285e+00
1.052820e+02 7.77687831e+00
1.056830e+02 7.62171120e+00
1.060310e+02 7.50940407e+00
1.060850e+02 7.49203965e+00
1.063220e+02 7.42235781e+00
1.064870e+02 7.39014464e+00
1.066340e+02 7.36408775e+00
1.072370e+02 7.25851497e+00
1.072910e+02 7.24938016e+00
1.078400e+02 7.16354939e+00
1.081410e+02 7.11995661e+00
1.084430e+02 7.08200751e+00
1.087450e+02 7.05848186e+00
1.088950e+02 7.05986558e+00
1.088980e+02 7.06029118e+00
1.090460e+02 7.08210301e+00
1.091970e+02 7.15057005e+00
1.092720e+02 7.22295267e+00
1.093480e+02 7.34859701e+00
1.094230e+02 7.58249196e+00
1.094820e+02 7.96164025e+00
1.094980e+02 8.06524172e+00
1.095360e+02 8.51049353e+00
1.095740e+02 9.22996751e+00
1.096110e+02 1.04507510e+01
1.096490e+02 1.25558855e+01
1.096900e+02 1.60638012e+01
1.097300e+02 1.84915325e+01
1.097710e+02 1.62937946e+01
1.098110e+02 1.28372639e+01
1.098570e+02 1.03690799e+01
1.099030e+02 9.06629283e+00
1.099480e+02 8.34697717e+00
1.099940e+02 7.91841762e+00
1.100400e+02 7.64481865e+00
1.100860e+02 7.45977562e+00
1.101770e+02 7.23193217e+00
