Ti-46(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
87110.1 2.75545
87120.1 1.75407
87130.1 1.23170
87140.0 0.936646
87159.9 0.653081
87179.9 0.544852
87199.8 0.508722
87239.6 0.527685
87279.5 0.610290
87319.3 0.756209
87339.2 0.871130
87359.1 1.05235
87369.1 1.20351
87379.1 1.47515
87384.0 1.73707
87389.0 2.27096
87391.5 2.82872
87394.0 3.99834
87395.3 5.20224
87396.5 7.52514
87397.1 9.67922
87397.7 13.1878
87398.4 19.4522
87399.0 31.1418
87399.5 45.3669
87400.0 51.6428
87400.5 37.6736
87401.0 21.5318
87401.4 13.8581
87401.8 9.21858
87402.6 4.60242
87403.4 2.65376
87404.1 1.73411
87405.7 0.982205
87407.2 0.746824
87413.5 0.711245
87425.9 0.975345
