Zn-66(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
26692.0 14.6923
26692.3 13.8771
26693.0 12.9835
26694.4 12.2668
26695.7 11.9885
26698.4 11.7700
26701.2 11.6829
26706.6 11.6063
26712.0 11.5671
26733.8 11.4768
26777.4 11.3405
26864.4 11.0937
27038.6 10.6511
27212.7 10.2616
27299.8 10.0834
27343.3 9.99794
27365.1 9.95676
27376.0 9.94116
27381.4 9.95579
27384.1 10.0534
27385.5 10.4235
27386.2 11.5704
27386.5 14.3058
27386.7 18.8222
27386.8 24.1567
27386.8 33.4819
27386.9 48.2384
27387.0 57.4344
27387.1 48.5410
27387.2 33.8673
27387.3 21.1138
27387.4 15.9000
27387.7 12.3692
27388.3 10.7512
27389.4 10.1650
27391.6 9.98178
27396.0 9.92146
27404.9 9.88966
27422.7 9.85209
27458.2 9.78597
27529.1 9.66049
27671.1 9.42566
27955.0 9.00837
28239.0 8.64743
28381.0 8.48427
28451.9 8.40648
28487.4 8.36848
28505.2 8.34972
28514.0 8.34054
28518.5 8.33646
