Gd-156(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
664.743 0.129085
665.410 0.0922402
666.077 0.0755124
666.744 0.0668486
668.077 0.0593493
673.412 0.0610697
678.747 0.0760368
684.082 0.102293
689.417 0.149887
692.084 0.189786
694.752 0.251271
697.419 0.356244
698.086 0.395017
698.753 0.441969
699.420 0.500078
699.753 0.534666
700.087 0.573982
700.420 0.619118
700.754 0.671488
701.087 0.733094
701.420 0.806655
701.754 0.896196
702.087 1.00760
702.421 1.15008
702.754 1.33860
703.088 1.59900
703.421 1.97878
703.754 2.57454
704.088 3.60779
704.421 5.68636
704.588 7.64344
704.755 11.0118
704.921 17.5816
705.005 23.5117
705.088 33.1817
705.172 50.5288
705.213 64.8155
705.255 85.9638
705.297 119.086
705.338 174.155
705.380 272.058
705.422 452.857
705.461 729.191
705.500 933.418
705.539 764.807
705.579 481.238
705.607 336.466
705.635 241.492
705.664 179.050
705.692 136.954
705.749 86.5998
705.806 59.4175
705.863 43.2406
705.920 32.9342
705.977 25.9687
706.033 21.0688
706.147 14.8001
706.261 11.1095
706.374 8.76621
706.488 7.19529
706.545 6.59856
706.602 6.09611
706.715 5.30369
706.829 4.71906
706.943 4.28088
707.056 3.94835
707.170 3.69505
707.397 3.35759
707.625 3.17538
707.852 3.09967
708.307 3.17289
708.762 3.48405
709.216 4.03277
709.671 4.88213
710.126 6.17318
710.581 8.18763
711.035 11.5084
711.490 17.4682
711.717 22.3641
711.945 29.5980
712.172 40.8344
712.399 59.3117
712.627 91.6338
712.854 149.967
713.077 240.114
713.300 301.907
713.523 243.110
713.746 152.265
713.992 89.3058
714.239 56.0736
714.485 37.7866
714.732 26.9731
714.978 20.1439
715.224 15.5892
715.717 10.1171
716.210 7.09895
716.703 5.26803
717.688 3.26474
718.674 2.26184
719.659 1.70215
720.645 1.37365
721.631 1.18508
723.602 1.10261
724.587 1.22298
725.573 1.53744
726.558 2.28656
727.051 3.04057
727.298 3.60869
727.421 3.96537
727.544 4.38511
727.667 4.88420
727.790 5.48305
727.852 5.82827
727.914 6.20964
727.975 6.63233
728.037 7.10245
728.160 8.21560
728.283 9.62700
728.406 11.4521
728.530 13.8675
728.653 17.1540
728.776 21.7789
728.899 28.5630
729.022 39.0458
729.146 56.3546
729.207 69.4747
729.269 87.4590
729.330 112.773
729.392 149.349
729.454 203.230
729.515 282.100
729.608 449.658
729.700 554.481
729.793 437.765
729.885 272.776
729.948 195.437
730.011 143.241
730.073 108.009
730.136 83.7330
730.262 53.9138
730.387 37.3502
730.513 27.3103
730.638 20.8153
730.889 13.2315
731.140 9.15629
731.392 6.72356
731.894 4.09085
732.396 2.77146
732.898 2.01688
733.400 1.54427
733.902 1.22825
734.907 0.843385
735.911 0.625343
737.919 0.397109
739.928 0.283980
741.937 0.218520
745.954 0.148194
749.971 0.112791
753.988 0.0928911
762.023 0.0755956
770.057 0.0771819
774.074 0.0861276
778.091 0.105217
782.109 0.147133
784.117 0.188356
786.126 0.262286
788.134 0.417004
789.139 0.568564
790.143 0.840955
790.645 1.06768
791.147 1.41008
791.398 1.65116
791.649 1.96345
791.901 2.37808
792.026 2.63825
792.152 2.94497
792.277 3.31038
792.403 3.74969
792.528 4.28517
792.654 4.94590
792.779 5.77554
792.905 6.83499
793.030 8.21847
793.156 10.0722
793.281 12.6372
793.407 16.3195
793.532 21.8717
793.658 30.7856
793.784 46.3635
793.846 58.8520
793.909 76.8677
793.972 104.059
794.035 146.940
794.097 217.964
794.160 337.271
794.230 540.082
794.300 677.706
794.370 544.307
794.440 340.550
794.493 234.788
794.546 166.650
794.599 122.511
794.652 93.0714
794.758 58.2313
794.863 39.5753
794.969 28.5399
795.075 21.5254
795.287 13.4740
795.498 9.21906
795.710 6.70906
795.922 5.10628
796.133 4.02266
796.557 2.69398
796.980 1.94257
797.403 1.47747
797.827 1.17034
798.673 0.804254
799.520 0.604771
801.213 0.412373
802.906 0.335351
804.600 0.309321
807.986 0.344694
809.679 0.404928
