In-113(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
235.681 10.0418
235.775 11.7957
235.823 13.6344
235.870 16.8663
235.917 23.0684
235.941 28.4203
235.965 36.6114
235.988 49.9894
236.012 73.2144
236.036 117.243
236.047 153.460
236.059 204.429
236.080 329.707
236.100 418.912
236.120 343.479
236.141 221.601
236.165 130.566
236.190 84.0394
236.214 58.9529
236.238 44.3055
236.263 35.0309
236.287 28.8325
236.336 21.3336
236.385 17.1095
236.433 14.4893
236.531 11.4977
236.628 9.88288
236.726 8.89021
236.921 7.74306
237.116 7.09713
237.311 6.67846
237.700 6.16241
238.090 5.88277
238.285 5.82822
238.480 5.87713
238.675 6.17066
238.773 6.54208
238.870 7.27652
238.967 8.88187
239.016 10.4353
239.065 13.1041
239.114 18.1745
239.138 22.5482
239.162 29.2665
239.187 40.3151
239.211 59.7261
239.235 97.2155
239.248 128.774
239.260 173.462
239.280 280.096
239.300 355.347
239.320 290.809
239.340 187.546
239.358 124.973
239.377 87.2915
239.395 64.2639
239.413 49.6121
239.449 32.8393
239.485 24.1463
239.521 19.0630
239.557 15.8495
239.630 12.1380
239.702 10.1448
239.774 8.94074
239.919 7.60370
240.063 6.90849
240.208 6.50597
240.497 6.15762
240.642 6.16590
240.786 6.33638
240.931 6.78267
241.076 7.79456
241.220 10.2055
241.292 12.6714
241.365 17.0960
241.437 25.9418
241.473 33.9599
241.509 46.8774
241.546 69.4511
241.564 87.3972
241.582 112.854
241.600 150.664
241.618 208.296
241.636 300.135
241.654 445.962
241.677 728.281
241.700 931.574
241.723 764.138
241.746 490.764
241.760 369.555
241.774 283.759
241.802 179.241
241.830 123.004
241.858 90.3056
241.887 69.6814
241.915 55.9725
241.971 39.3672
242.027 30.0731
242.083 24.3256
242.195 17.8322
242.307 14.3888
242.419 12.3199
242.531 10.9621
242.644 10.0149
242.868 8.79321
243.092 8.04897
243.317 7.55121
243.541 7.19566
243.990 6.72111
244.438 6.41729
245.335 6.04520
246.233 5.82040
247.130 5.66609
248.924 5.46137
250.719 5.32627
252.513 5.22675
256.102 5.08199
259.692 4.97080
261.486 4.91907
263.281 4.86539
265.075 4.80456
265.972 4.76884
266.870 4.72764
267.318 4.70471
267.767 4.68077
268.216 4.65801
268.664 4.64425
268.889 4.64800
269.113 4.66938
269.337 4.72908
269.561 4.87986
269.674 5.03012
269.786 5.28219
269.898 5.72908
270.010 6.58608
270.066 7.32340
270.122 8.45088
270.178 10.2726
270.234 13.4359
270.290 19.5587
270.319 24.9544
270.347 33.4152
270.375 47.7087
