Cr-53(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
69801.8 12.6363
69804.3 11.9967
69806.9 11.6887
69812.1 11.3957
69817.2 11.2504
69827.5 11.0861
69837.8 10.9766
69858.4 10.8084
69879.0 10.6692
69920.2 10.4337
69961.4 10.2339
70043.8 9.89777
70126.1 9.61299
70290.9 9.12565
70455.6 8.69916
70785.2 7.94445
71114.7 7.27407
71444.2 6.67071
71773.7 6.14296
72103.2 5.74468
72268.0 5.64476
72350.4 5.64100
72391.5 5.65487
72412.1 5.66411
72422.4 5.66489
72427.6 5.65794
72430.2 5.64752
72432.7 5.72687
72433.5 6.02959
72434.2 5.99421
72437.8 5.75089
72441.4 5.72782
72448.5 5.72161
72462.7 5.73212
72491.1 5.77197
72548.0 5.89737
72661.8 6.41876
72718.7 6.93928
72775.6 7.83737
72832.5 9.52846
72889.4 12.9609
72934.6 17.5106
72979.8 20.7323
72990.0 20.6617
73030.1 18.0367
73070.2 14.9052
73111.4 12.9474
73152.7 12.0468
73235.1 11.9612
73400.0 14.3197
73587.0 14.8779
73774.0 11.8572
73810.0 11.5851
73932.0 12.3264
74054.0 15.4900
74298.0 23.1402
74323.7 23.6034
74349.4 23.9735
74375.2 24.2781
74388.0 24.5169
74391.2 24.6707
74394.4 25.0185
74396.1 25.4092
74397.7 26.2284
74399.3 28.4188
74400.1 31.0272
74400.9 36.2290
74401.5 43.5366
74402.2 48.4476
74402.9 43.7470
74403.6 36.6372
74404.4 31.3125
74405.2 28.6526
74406.8 26.4412
74408.5 25.6018
74410.1 25.2090
