Pb-206(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
80349.6 1.17693
80351.7 1.71129
80353.8 2.64336
80355.9 4.30893
80357.9 6.90538
80360.0 8.64461
80362.1 6.92609
80364.2 4.33576
80365.4 3.21960
80366.7 2.42991
80369.1 1.48118
80371.6 0.978496
80374.1 0.688684
80376.6 0.508246
80379.1 0.389961
80384.1 0.249534
80389.1 0.172800
80394.1 0.126651
80404.0 0.0762474
80414.0 0.0508539
80424.0 0.0363101
80443.9 0.0211621
80483.8 0.00975725
80523.6 0.00559963
80603.4 0.00255031
80683.1 0.00146082
81002.1 0.000392819
81640.1 0.000123514
82278.0 8.68890E-05
82437.5 9.52066E-05
82597.0 0.000130754
82676.8 0.000184361
82756.5 0.000338294
82796.4 0.000550073
82816.3 0.000758802
82836.2 0.00113346
82856.2 0.00191101
82866.1 0.00265868
82876.1 0.00396474
82886.1 0.00656567
82891.1 0.00895941
82896.0 0.0129348
82901.0 0.0202727
82903.5 0.0264736
82906.0 0.0359302
82908.5 0.0512636
82911.0 0.0781044
82913.5 0.129466
82914.7 0.172791
82916.0 0.234116
82918.0 0.375006
82920.0 0.468637
82922.0 0.374834
82924.0 0.234574
82925.6 0.160081
82927.2 0.112887
82928.7 0.0825906
82930.3 0.0625213
82933.4 0.0388938
82936.5 0.0263589
82939.7 0.0189597
82942.8 0.0142814
82949.0 0.00892330
82955.3 0.00609475
82961.5 0.00443022
82974.0 0.00264888
82986.5 0.00176733
82999.0 0.00126871
83024.0 0.000754334
83073.9 0.000371200
83123.9 0.000232406
83223.9 0.000130537
83323.8 9.37264E-05
83523.7 6.62978E-05
83723.5 5.60658E-05
84523.0 4.65724E-05
84922.8 4.78350E-05
85322.5 5.38977E-05
85522.4 6.20195E-05
85722.2 8.34934E-05
85922.1 0.000189338
85972.1 0.000292612
86022.1 0.000568705
86047.0 0.000924613
86059.5 0.00125709
86072.0 0.00182062
86084.5 0.00288865
86090.8 0.00382152
86097.0 0.00528778
86103.3 0.00778000
86109.5 0.0124447
86112.6 0.0164265
86115.7 0.0224190
86118.9 0.0317597
86122.0 0.0464373
86126.0 0.0745788
86130.0 0.0948602
86134.0 0.0772142
86138.0 0.0484966
86142.5 0.0281586
86147.1 0.0175402
86151.6 0.0117548
86156.1 0.00836458
86160.6 0.00622922
86165.1 0.00481082
86174.1 0.00311491
86183.1 0.00218147
