Cl-37(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
178145 0.000548817
178298 0.000445090
178450 0.000400165
178755 0.000403535
179060 0.000497884
179257 0.000615347
179453 0.000809980
179551 0.000973271
179650 0.00127013
179699 0.00155253
179748 0.00206977
179797 0.00319057
179822 0.00427892
179846 0.00603792
179860 0.00743591
179883 0.00999665
179905 0.0113556
179935 0.00922155
179964 0.00604360
179986 0.00442335
180008 0.00337546
180052 0.00223707
180096 0.00168643
180141 0.00137984
180317 0.000876991
180494 0.000660652
180670 0.000517542
181056 0.000324293
181442 0.000221118
181827 0.000162958
182213 0.000128475
182985 9.45702E-05
183756 8.48325E-05
184528 9.30163E-05
184913 0.000106705
185299 0.000132951
185685 0.000186469
185878 0.000235642
186071 0.000317088
186456 0.000785769
186553 0.00109935
186601 0.00133340
186649 0.00165013
186697 0.00208902
186746 0.00271108
186794 0.00360646
186842 0.00488658
186881 0.00623761
186920 0.00775603
186997 0.00950620
187036 0.00885526
187074 0.00748631
187151 0.00469474
187198 0.00350415
187245 0.00266591
187338 0.00165923
187432 0.00112875
187525 0.000824901
187619 0.000638176
187713 0.000517033
187900 0.000378461
188087 0.000310142
188274 0.000277262
188649 0.000269629
189023 0.000319048
189397 0.000441593
189772 0.000708094
189959 0.000946624
190146 0.00130163
190424 0.00207200
190702 0.00277787
190872 0.00331164
190957 0.00428635
191000 0.00538999
191042 0.00734995
191088 0.0106474
191134 0.0128032
191180 0.0104296
191226 0.00691412
191258 0.00519245
191292 0.00395548
191326 0.00313223
191395 0.00215585
191463 0.00162046
191531 0.00128861
191668 0.000900663
191804 0.000680125
192078 0.000438146
192351 0.000309994
192624 0.000232568
192897 0.000181905
193444 0.000121573
193990 8.82575E-05
194536 6.78959E-05
195629 4.52884E-05
196722 3.36947E-05
197815 2.70432E-05
200000 2.04988E-05
202022 1.85683E-05
204044 1.99717E-05
205054 2.30678E-05
206065 3.11553E-05
206571 4.08064E-05
206824 4.93077E-05
207076 6.29399E-05
207329 8.68909E-05
207582 0.000134721
207708 0.000178404
207834 0.000249260
207961 0.000370923
208087 0.000584090
208152 0.000740528
208217 0.000915383
208346 0.00111362
208476 0.000876883
208606 0.000553753
208750 0.000334936
208894 0.000220156
209038 0.000157127
209182 0.000120113
209470 8.19289E-05
209758 6.47747E-05
210333 5.33858E-05
210909 5.53927E-05
211485 6.79471E-05
211773 8.03913E-05
212060 0.000100907
212348 0.000138604
212636 0.000225896
212924 0.000591673
213068 0.00178416
213104 0.00286756
213140 0.00553177
213158 0.00862653
213176 0.0153452
213194 0.0340433
213203 0.0577751
213212 0.107706
213219 0.172437
213225 0.216546
213232 0.174086
213239 0.109002
213245 0.0699368
213251 0.0472046
213264 0.0247807
213276 0.0149799
213288 0.0100377
213313 0.00543864
213337 0.00346701
213386 0.00187309
213435 0.00127898
213533 0.000900242
213631 0.000885130
213729 0.00107111
213827 0.00151503
213876 0.00190319
213925 0.00248278
213974 0.00336547
214023 0.00471726
214159 0.0100858
214193 0.00989598
214228 0.00867389
214296 0.00554227
214346 0.00388924
214395 0.00279850
214444 0.00208364
214494 0.00160421
214593 0.00103593
214691 0.000731970
214889 0.000441914
215087 0.000318562
215482 0.000235734
215877 0.000242856
216272 0.000321603
216470 0.000404224
216668 0.000542395
216865 0.000787886
217063 0.00127039
217162 0.00169897
217260 0.00237356
217359 0.00348534
217458 0.00535945
217675 0.0112188
217784 0.00959441
217892 0.00620900
217978 0.00426210
218064 0.00302178
218150 0.00224382
218237 0.00175549
218323 0.00146529
218409 0.00135665
218495 0.00155461
218538 0.00193481
218581 0.00272757
218619 0.00366519
218656 0.00371749
218732 0.00177833
218760 0.00136944
