47-Ag_n-g
> 47-Ag-107:0.518390
> 47-Ag-109:0.481610
8.605360e+01 9.43517289e-01
8.636920e+01 1.38574323e+00
8.652710e+01 1.75217704e+00
8.668490e+01 2.30183954e+00
8.684270e+01 3.18008528e+00
8.700050e+01 4.71053691e+00
8.715830e+01 7.73809249e+00
8.723730e+01 1.05032277e+01
8.731620e+01 1.50730040e+01
8.739510e+01 2.34029985e+01
8.743450e+01 3.03809353e+01
8.747400e+01 4.09093973e+01
8.751340e+01 5.77396299e+01
8.753320e+01 7.01063802e+01
8.755290e+01 8.65831904e+01
8.757260e+01 1.09008847e+02
8.759240e+01 1.40094333e+02
8.761210e+01 1.83706977e+02
8.763180e+01 2.44449044e+02
8.764890e+01 3.12839564e+02
8.766590e+01 3.90987984e+02
8.770000e+01 4.88613166e+02
8.771610e+01 4.61508879e+02
8.771710e+01 4.59825384e+02
8.773410e+01 3.90824143e+02
8.776820e+01 2.44249486e+02
8.779670e+01 1.62227910e+02
8.782520e+01 1.11738304e+02
8.785380e+01 8.03252707e+01
8.788230e+01 6.00128660e+01
8.793930e+01 3.67290508e+01
8.799640e+01 2.46157942e+01
8.805340e+01 1.75916624e+01
8.811040e+01 1.31817578e+01
8.822450e+01 8.18333129e+00
8.833860e+01 5.57393117e+00
8.845260e+01 4.04557218e+00
8.856670e+01 3.07504273e+00
8.868080e+01 2.42090696e+00
8.890890e+01 1.62164910e+00
8.913710e+01 1.17077340e+00
8.936520e+01 8.91880703e-01
8.959340e+01 7.07638745e-01
9.004960e+01 4.88219533e-01
9.050590e+01 3.72205284e-01
9.096220e+01 3.30017514e-01
9.107630e+01 3.43896488e-01
9.119040e+01 3.93130452e-01
9.124740e+01 4.50172105e-01
9.130440e+01 5.59266167e-01
9.136150e+01 7.87371765e-01
9.139000e+01 9.92829363e-01
9.141850e+01 1.30198723e+00
9.145930e+01 1.94061493e+00
9.150000e+01 2.36554271e+00
9.154080e+01 1.93446163e+00
9.158150e+01 1.28909306e+00
9.161440e+01 9.36891149e-01
9.164730e+01 7.15412641e-01
9.171300e+01 4.81815900e-01
9.177880e+01 3.72309273e-01
9.181080e+01 3.43325275e-01
9.184460e+01 3.12720844e-01
9.197610e+01 2.51937797e-01
9.210770e+01 2.21249067e-01
9.263380e+01 1.69830360e-01
9.368610e+01 1.30120894e-01
9.579080e+01 9.64524593e-02
9.590540e+01 9.56327014e-02
9.789540e+01 8.23610086e-02
1.000000e+02 7.57654193e-02
1.005640e+02 7.90244356e-02
1.007050e+02 8.20148078e-02
1.008460e+02 8.91097919e-02
1.009170e+02 9.69241432e-02
1.009870e+02 1.12666147e-01
1.010220e+02 1.27125756e-01
1.010580e+02 1.50600098e-01
1.010930e+02 1.91174121e-01
1.011280e+02 2.62868134e-01
1.011640e+02 3.77389384e-01
1.012000e+02 4.54313364e-01
1.012360e+02 3.77484424e-01
1.012720e+02 2.62976826e-01
1.012970e+02 2.08950036e-01
1.013210e+02 1.72714461e-01
1.013700e+02 1.31442023e-01
1.014190e+02 1.10880304e-01
1.014680e+02 9.95053879e-02
