Rh-103(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
376.728 5.47574
376.775 5.28812
376.869 5.10039
376.962 5.01337
377.149 4.93641
377.336 4.90281
377.710 4.87153
378.084 4.85500
378.832 4.83359
379.580 4.81701
382.572 4.76014
385.563 4.70733
386.311 4.69657
387.059 4.69219
387.433 4.69863
387.807 4.72821
387.994 4.77207
388.088 4.81451
388.181 4.88739
388.275 5.02611
388.321 5.14697
388.368 5.33564
388.415 5.65286
388.462 6.23470
388.485 6.72005
388.508 7.43324
388.532 8.51733
388.555 10.1522
388.588 13.4644
388.620 15.6642
388.653 13.4532
388.685 10.1507
388.719 7.96160
388.753 6.76620
388.787 6.09033
388.821 5.68368
388.855 5.42215
388.889 5.24574
388.957 5.03127
389.025 4.91087
389.093 4.83678
389.229 4.75353
389.365 4.70960
389.500 4.68303
389.772 4.65236
390.315 4.62173
390.859 4.60282
393.032 4.54536
395.206 4.48825
397.380 4.42486
399.553 4.35240
400.640 4.31283
401.727 4.27384
402.814 4.24802
403.357 4.25495
403.901 4.30375
404.172 4.36388
404.444 4.47395
404.716 4.68099
404.988 5.09620
405.259 6.03004
405.395 6.96123
405.531 8.60333
405.667 11.8279
405.735 14.6957
405.803 19.2551
405.871 27.0427
405.939 41.5695
405.973 53.8140
406.006 71.9710
406.040 99.7520
406.074 142.091
406.098 183.116
406.122 230.628
406.170 294.284
406.194 280.498
406.218 241.901
406.266 156.421
406.307 105.718
406.349 74.6467
406.391 55.3812
406.432 42.9543
406.516 28.6178
406.599 21.0914
406.683 16.6633
406.766 13.8435
406.933 10.5709
407.099 8.80320
407.266 7.73115
407.433 7.02625
407.599 6.53430
407.933 5.90258
408.266 5.52014
408.600 5.26604
408.933 5.08541
409.600 4.84448
410.266 4.68842
411.600 4.48798
412.933 4.35189
414.267 4.24190
416.934 4.04713
419.601 3.84949
422.268 3.62637
424.935 3.36728
426.268 3.23347
426.935 3.18979
427.269 3.23687
427.435 3.42504
427.519 3.78927
427.560 4.23639
427.602 5.14246
427.636 6.37113
427.670 7.18571
427.704 6.36153
427.738 5.13084
427.777 4.25769
427.816 3.80636
427.894 3.41423
428.050 3.18269
428.361 3.07338
428.984 3.02147
430.230 3.12138
430.853 3.35138
431.476 3.86787
432.098 5.12325
432.410 6.86767
432.488 7.85735
432.566 9.65862
432.605 11.2602
432.644 13.8766
432.682 18.5478
432.721 27.3800
432.756 39.8969
432.790 48.2768
432.824 40.2419
432.859 28.1456
432.895 20.1017
432.932 15.8795
433.005 12.4074
433.151 11.2821
433.444 13.8730
433.737 19.6577
433.883 24.1999
434.029 30.4908
434.176 39.4412
434.322 52.6078
434.468 72.8776
434.615 105.961
434.761 164.366
434.834 211.272
434.907 278.727
434.981 379.642
435.054 536.321
435.127 789.326
435.200 1200.92
435.290 1973.18
435.380 2534.65
435.471 2084.46
435.561 1338.78
435.626 961.833
435.690 708.563
435.755 538.629
435.819 422.016
435.948 279.105
436.077 199.383
436.206 150.684
436.335 118.849
436.592 81.0224
436.850 60.1381
437.108 47.3194
437.366 38.8301
437.624 32.8837
438.139 25.2418
438.655 20.6398
439.171 17.6165
439.686 15.5027
440.718 12.7751
441.749 11.1159
442.781 10.0288
443.296 9.68633
443.425 9.66446
443.554 9.74640
443.619 9.89194
443.683 10.2268
443.715 10.5494
443.747 11.0801
443.780 11.9931
443.812 13.5882
443.846 16.1985
443.880 17.9320
443.914 16.1547
443.948 13.5004
443.972 12.1926
443.997 11.3200
444.045 10.3354
444.093 9.83812
444.142 9.55362
444.238 9.24477
444.335 9.07506
444.528 8.87054
444.722 8.72930
445.495 8.32435
446.268 8.03128
446.655 7.98144
446.752 8.02470
446.849 8.16154
446.897 8.31821
446.945 8.61767
446.994 9.24711
447.018 9.81896
447.042 10.6807
447.076 12.4464
447.110 13.6205
447.144 12.4253
447.178 10.6378
447.221 9.29490
447.263 8.63297
447.305 8.28144
447.348 8.07535
447.432 7.85275
447.517 7.73556
447.686 7.60709
447.855 7.52862
448.194 7.42226
448.532 7.35907
448.870 7.37229
449.040 7.44960
449.209 7.64528
449.378 8.13185
449.463 8.63103
449.547 9.51401
449.632 11.2218
449.674 12.7067
449.716 15.0027
449.759 18.7555
449.801 25.3232
449.843 37.7363
449.886 62.4184
449.904 79.3225
449.923 99.0235
449.960 126.189
449.997 105.764
450.035 70.9619
450.079 44.5284
450.123 30.8709
450.168 23.4226
450.212 19.0168
450.257 16.2164
450.301 14.3294
450.390 12.0185
450.479 10.7010
450.568 9.87316
450.745 8.91311
450.923 8.38399
451.100 8.05191
451.456 7.65564
451.811 7.42128
452.166 7.26059
452.877 7.04203
454.298 6.76957
455.719 6.58361
458.561 6.31932
461.403 6.12948
467.087 5.86658
468.508 5.81888
469.929 5.78279
470.640 5.77609
470.995 5.78064
471.351 5.79766
471.706 5.84467
471.883 5.89484
472.061 5.98668
472.239 6.17534
472.328 6.35150
472.416 6.64758
472.505 7.19863
472.550 7.66924
472.594 8.39293
472.638 9.57945
472.683 11.6894
472.727 15.8233
472.749 19.3731
