46-Pd_n-g
> 46-Pd-102:0.011554
> 46-Pd-104:0.126189
> 46-Pd-105:0.252945
> 46-Pd-106:0.309583
> 46-Pd-108:0.299728
1.048250e+02 4.99093309e-01
1.048800e+02 4.59853547e-01
1.050810e+02 3.85133018e-01
1.052820e+02 3.39994679e-01
1.056830e+02 2.87447323e-01
1.060310e+02 2.60196132e-01
1.060850e+02 2.56074484e-01
1.063220e+02 2.43114311e-01
1.064870e+02 2.37151954e-01
1.066340e+02 2.33810685e-01
1.072370e+02 2.22051917e-01
1.072910e+02 2.21427884e-01
1.078400e+02 2.19959563e-01
1.081410e+02 2.23504299e-01
1.084430e+02 2.33962755e-01
1.087450e+02 2.60966786e-01
1.088950e+02 2.88950494e-01
1.088980e+02 2.89943308e-01
1.090460e+02 3.39433260e-01
1.091970e+02 4.39341903e-01
1.092720e+02 5.29438661e-01
1.093480e+02 6.75201954e-01
1.094230e+02 9.32591782e-01
1.094820e+02 1.33456573e+00
1.094980e+02 1.44387456e+00
1.095360e+02 1.90536799e+00
1.095740e+02 2.64285026e+00
1.096110e+02 3.88104791e+00
1.096490e+02 5.99365390e+00
1.096900e+02 9.46391882e+00
1.097300e+02 1.17672431e+01
1.097710e+02 9.46082245e+00
1.098110e+02 5.99003542e+00
1.098570e+02 3.54934471e+00
1.099030e+02 2.27714259e+00
1.099480e+02 1.58319922e+00
1.099940e+02 1.17531118e+00
1.100400e+02 9.18798680e-01
1.100860e+02 7.48261538e-01
1.101770e+02 5.44227316e-01
