63-Eu_n-tot
> 63-Eu-151:0.478100
> 63-Eu-153:0.521900
6.479590e+00 4.43793288e+01
6.480130e+00 4.43241355e+01
6.483190e+00 4.40130173e+01
6.484260e+00 4.39093834e+01
6.490370e+00 4.33242538e+01
6.492520e+00 4.31386055e+01
6.504740e+00 4.21101477e+01
6.509030e+00 4.18157945e+01
6.533480e+00 4.02440973e+01
6.542060e+00 3.98828055e+01
6.590960e+00 3.82684422e+01
6.608130e+00 3.81261929e+01
6.705910e+00 3.96729089e+01
6.740250e+00 4.07622891e+01
6.806310e+00 4.54946799e+01
6.820870e+00 4.73014847e+01
6.872380e+00 5.40822541e+01
6.935830e+00 6.95234321e+01
6.938440e+00 7.01730428e+01
6.971470e+00 8.48318813e+01
7.004500e+00 1.09852103e+02
7.027250e+00 1.36352406e+02
7.050000e+00 1.60626196e+02
7.095500e+00 1.76334045e+02
7.132900e+00 2.22471392e+02
7.151600e+00 2.65717798e+02
7.165740e+00 3.13613762e+02
7.170300e+00 3.29078766e+02
7.189000e+00 4.23359727e+02
7.207700e+00 5.68086453e+02
7.226400e+00 7.98129168e+02
7.245100e+00 1.16768146e+03
7.267550e+00 1.82685242e+03
7.290000e+00 2.28106669e+03
7.312450e+00 1.90180444e+03
7.334900e+00 1.33985062e+03
7.350350e+00 1.11533018e+03
7.365800e+00 1.03000377e+03
7.381250e+00 1.07417075e+03
7.395650e+00 1.24337702e+03
7.396700e+00 1.25571871e+03
7.407530e+00 1.46901850e+03
7.418350e+00 1.73137132e+03
7.440000e+00 2.05921454e+03
7.450830e+00 1.93467931e+03
7.461650e+00 1.65781661e+03
7.483300e+00 1.07250317e+03
7.509300e+00 6.37969252e+02
7.535300e+00 4.14327157e+02
7.561300e+00 2.91872536e+02
7.587300e+00 2.18803255e+02
7.625560e+00 1.60793970e+02
7.639300e+00 1.40033562e+02
