20-Ca_n-tot
>  20-Ca-40:0.969371
>  20-Ca-42:0.006470
>  20-Ca-43:0.001350
>  20-Ca-44:0.020899
>  20-Ca-46:0.000040
>  20-Ca-48:0.001870
6.537830e+03 2.55433878e+00
6.646030e+03 2.54752897e+00
6.700130e+03 2.54410988e+00
6.713090e+03 2.54328533e+00
6.754240e+03 2.54069179e+00
6.808340e+03 2.53724026e+00
6.835390e+03 2.53549042e+00
6.835460e+03 2.53548584e+00
6.862440e+03 2.53376064e+00
6.889490e+03 2.53203071e+00
6.896640e+03 2.53158948e+00
6.903010e+03 2.53126704e+00
6.916540e+03 2.53066814e+00
6.927230e+03 2.53041149e+00
6.930070e+03 2.53058814e+00
6.936830e+03 2.53128895e+00
6.942520e+03 2.53227139e+00
6.943590e+03 2.53317335e+00
6.946970e+03 2.53636259e+00
6.950170e+03 2.53976991e+00
6.950350e+03 2.54087028e+00
6.953730e+03 2.56221873e+00
6.954000e+03 2.56402035e+00
6.955910e+03 2.64546418e+00
6.956390e+03 2.71971960e+00
6.956860e+03 2.90260329e+00
6.957100e+03 3.11509505e+00
6.957120e+03 3.15351088e+00
6.957340e+03 3.57623590e+00
6.957460e+03 4.03821657e+00
6.957580e+03 4.85618901e+00
6.957700e+03 6.46477068e+00
6.957760e+03 7.86539427e+00
6.957820e+03 9.87284405e+00
6.957910e+03 1.42749012e+01
6.958000e+03 1.72101063e+01
6.958090e+03 1.42762551e+01
6.958180e+03 9.87487335e+00
6.958250e+03 7.75634751e+00
6.958310e+03 6.35451008e+00
6.958430e+03 4.75065469e+00
6.958560e+03 3.95452420e+00
6.958680e+03 3.51736487e+00
6.958930e+03 3.08076224e+00
6.959180e+03 2.88140345e+00
6.959680e+03 2.71121506e+00
6.960180e+03 2.64328561e+00
6.960500e+03 2.63186442e+00
6.962170e+03 2.57461849e+00
6.963880e+03 2.57082958e+00
6.965570e+03 2.57051684e+00
6.966160e+03 2.57180089e+00
6.967260e+03 2.57912852e+00
6.968950e+03 2.59661070e+00
6.970640e+03 2.62336453e+00
6.973320e+03 2.68871858e+00
6.974130e+03 2.70489253e+00
6.976000e+03 2.74334722e+00
6.978680e+03 2.71293881e+00
6.981360e+03 2.65161362e+00
6.983040e+03 2.62240112e+00
6.984710e+03 2.60120859e+00
6.988070e+03 2.57485944e+00
6.990090e+03 2.56604280e+00
6.991420e+03 2.56033992e+00
6.994770e+03 2.55169529e+00
6.998130e+03 2.54606657e+00
7.000000e+03 2.54388749e+00
7.001480e+03 2.54216289e+00
7.008190e+03 2.53713367e+00
7.014890e+03 2.53401476e+00
7.021600e+03 2.53184792e+00
7.021990e+03 2.53176219e+00
7.035010e+03 2.52902711e+00
7.048430e+03 2.52708941e+00
7.061840e+03 2.52556563e+00
7.071110e+03 2.52471286e+00
7.085800e+03 2.52336137e+00
7.088660e+03 2.52310258e+00
7.115490e+03 2.52103690e+00
7.142310e+03 2.51914125e+00
7.195970e+03 2.51558994e+00
7.213410e+03 2.51448634e+00
7.249620e+03 2.51221294e+00
7.303270e+03 2.50892295e+00
7.410570e+03 2.50247217e+00
7.468640e+03 2.49906776e+00
7.500000e+03 2.49725364e+00
7.588890e+03 2.49217821e+00
7.625180e+03 2.49010465e+00
7.839780e+03 2.47830317e+00
7.979090e+03 2.47123790e+00
8.000000e+03 2.47020702e+00
8.054390e+03 2.46752600e+00
8.106670e+03 2.46531453e+00
8.161690e+03 2.46298269e+00
8.268990e+03 2.45949857e+00
8.365550e+03 2.45829592e+00
8.376290e+03 2.45816123e+00
8.429940e+03 2.45902630e+00
8.483600e+03 2.46172864e+00
8.495000e+03 2.46294968e+00
8.537250e+03 2.46747088e+00
8.590900e+03 2.47847523e+00
8.624440e+03 2.49122320e+00
8.644550e+03 2.49886347e+00
8.698200e+03 2.53550463e+00
8.753890e+03 2.59669391e+00
8.760600e+03 2.60406527e+00
8.818610e+03 2.65038933e+00
8.823000e+03 2.65389419e+00
8.883330e+03 2.61188809e+00
8.885400e+03 2.61044633e+00
8.947800e+03 2.53909140e+00
8.948050e+03 2.53889819e+00
9.000000e+03 2.49873837e+00
9.012780e+03 2.48888131e+00
9.013560e+03 2.48827982e+00
9.045140e+03 2.47385536e+00
9.077500e+03 2.45912032e+00
9.079330e+03 2.45829574e+00
9.093680e+03 2.45425409e+00
9.101770e+03 2.45203907e+00
9.109860e+03 2.44993081e+00
9.117950e+03 2.44809066e+00
9.122000e+03 2.44741622e+00
9.126040e+03 2.44714554e+00
9.128060e+03 2.44730879e+00
9.130090e+03 2.44784717e+00
9.132110e+03 2.44907157e+00
9.134130e+03 2.45166001e+00
9.136150e+03 2.45742130e+00
9.137160e+03 2.46298540e+00
9.138180e+03 2.47247988e+00
9.139190e+03 2.49036534e+00
9.139690e+03 2.50572644e+00
9.140200e+03 2.52935821e+00
9.140700e+03 2.56825834e+00
9.141210e+03 2.63738061e+00
9.141720e+03 2.77320981e+00
9.141970e+03 2.88995961e+00
9.142220e+03 3.05892851e+00
9.142610e+03 3.43072131e+00
9.143000e+03 3.67873314e+00
9.143390e+03 3.43067907e+00
9.143780e+03 3.05876768e+00
9.144170e+03 2.82041574e+00
9.144560e+03 2.68716902e+00
9.144950e+03 2.61007893e+00
9.145090e+03 2.59318844e+00
9.145340e+03 2.56304911e+00
9.145730e+03 2.53252652e+00
9.146120e+03 2.51183222e+00
9.146900e+03 2.48641304e+00
9.147680e+03 2.47206415e+00
9.148450e+03 2.46318455e+00
9.150010e+03 2.45317558e+00
9.151570e+03 2.44789131e+00
9.153130e+03 2.44469803e+00
9.154690e+03 2.44256883e+00
