Rb-85(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2082.15 388.338
2082.30 261.521
2082.46 172.122
2082.61 120.183
2082.76 88.9499
2082.92 69.3549
2083.07 56.1930
2083.22 47.0462
2083.53 35.3431
2083.84 28.3960
2084.14 23.8963
2084.76 18.5445
2085.37 15.5319
2085.99 13.6345
2086.60 12.3422
2087.21 11.4121
2088.44 10.1657
2089.67 9.37449
2090.89 8.82830
2092.12 8.42841
2094.58 7.88016
2097.03 7.51936
2099.49 7.26119
2101.94 7.06525
2106.85 6.78198
2111.76 6.58130
2121.58 6.30088
2131.40 6.10010
2141.22 5.93974
2146.13 5.87044
2151.04 5.81124
2153.49 5.79107
2154.72 5.78759
2155.95 5.79463
2157.17 5.82744
2157.79 5.86723
2158.40 5.94434
2159.01 6.11149
2159.32 6.27440
2159.63 6.55836
2159.93 7.12040
2160.09 7.63278
2160.24 8.46715
2160.40 9.97811
2160.47 11.2278
2160.55 13.0597
2160.63 15.9627
2160.70 20.7221
2160.78 29.2744
2160.85 44.7666
2160.93 68.2495
2161.00 83.9060
2161.07 68.2105
2161.15 44.7170
2161.20 33.3390
2161.25 25.8664
2161.30 20.7603
2161.35 17.3315
2161.45 13.1113
2161.55 10.7851
2161.65 9.38453
2161.75 8.48147
2161.95 7.43126
2162.16 6.86890
2162.36 6.53347
2162.76 6.16975
2163.17 5.98611
2163.57 5.87958
2164.38 5.76454
2165.19 5.70419
2165.99 5.66628
2167.61 5.61815
2170.84 5.55828
2174.07 5.51216
2180.54 5.43025
2187.00 5.35275
2193.46 5.27726
2199.93 5.20505
2203.16 5.17326
2206.39 5.15418
2208.01 5.16203
2208.82 5.17934
2209.62 5.21841
2210.43 5.31060
2210.84 5.40435
2211.24 5.57309
2211.64 5.91709
2211.85 6.23863
2212.05 6.78125
2212.25 7.79953
2212.35 8.67745
2212.45 10.0412
2212.55 12.3098
2212.65 16.4317
2212.70 19.8648
2212.75 24.7811
2212.80 32.0976
2212.85 42.9748
2212.93 65.8115
2213.00 81.0731
2213.07 65.8385
2213.15 43.0077
2213.20 31.2559
2213.26 23.7743
2213.31 18.8864
2213.36 15.6024
2213.47 11.6613
2213.58 9.55536
2213.69 8.29310
2213.80 7.49456
2214.01 6.57204
2214.23 6.07916
2214.45 5.78769
2214.66 5.59938
2214.88 5.47147
2215.31 5.31149
2215.75 5.21861
2216.61 5.11731
2217.48 5.06299
2218.35 5.02798
2220.08 4.98161
2223.54 4.91950
2227.01 4.86841
2233.94 4.77402
2237.40 4.73527
2238.27 4.73262
2239.14 4.74609
2239.57 4.77329
2240.00 4.85187
2240.22 4.95123
2240.44 5.18072
2240.55 5.42737
2240.65 5.89729
2240.71 6.30567
2240.76 6.93434
2240.82 7.93809
2240.87 9.55474
