53-I_n-tot
>  53-I-127:1.000000
1.740980e+02 4.99727000e+01
1.741180e+02 6.63259000e+01
1.741390e+02 9.06173000e+01
1.741700e+02 1.42584000e+02
1.742000e+02 1.78962000e+02
1.742310e+02 1.46966000e+02
1.742610e+02 9.60580000e+01
1.742910e+02 6.28261000e+01
1.743220e+02 4.39588000e+01
1.743520e+02 3.29181000e+01
1.743820e+02 2.60788000e+01
1.744430e+02 1.85201000e+01
1.745040e+02 1.46850000e+01
1.745640e+02 1.24722000e+01
1.746250e+02 1.10716000e+01
1.747460e+02 9.44090000e+00
1.748670e+02 8.53757000e+00
1.749880e+02 7.96639000e+00
1.752310e+02 7.27279000e+00
1.757160e+02 6.55068000e+00
1.762010e+02 6.13281000e+00
1.766850e+02 5.84614000e+00
1.771700e+02 5.67259000e+00
1.774130e+02 5.67187000e+00
1.775340e+02 5.72836000e+00
1.776550e+02 5.87183000e+00
1.777760e+02 6.21469000e+00
1.778370e+02 6.55239000e+00
1.778980e+02 7.12816000e+00
1.779580e+02 8.19282000e+00
1.780190e+02 1.04150000e+01
1.780490e+02 1.25035000e+01
1.780790e+02 1.59692000e+01
1.781100e+02 2.20690000e+01
1.781400e+02 3.31264000e+01
1.781700e+02 5.04480000e+01
1.782000e+02 6.25467000e+01
1.782300e+02 5.19455000e+01
1.782600e+02 3.49910000e+01
1.782930e+02 2.29664000e+01
1.783270e+02 1.65369000e+01
1.783600e+02 1.29369000e+01
1.783930e+02 1.07858000e+01
1.784260e+02 9.40478000e+00
1.784600e+02 8.47379000e+00
1.785260e+02 7.32983000e+00
1.785930e+02 6.67803000e+00
1.786590e+02 6.26764000e+00
1.787920e+02 5.78932000e+00
1.789250e+02 5.52125000e+00
1.790580e+02 5.34786000e+00
1.793240e+02 5.12830000e+00
1.798560e+02 4.87585000e+00
1.803880e+02 4.70698000e+00
1.825160e+02 4.24624000e+00
1.846440e+02 3.89727000e+00
1.867720e+02 3.59050000e+00
1.888990e+02 3.33561000e+00
1.899630e+02 3.27484000e+00
1.910270e+02 3.36789000e+00
1.915590e+02 3.55447000e+00
1.920910e+02 3.94692000e+00
1.926230e+02 4.75581000e+00
1.931550e+02 6.49872000e+00
1.934210e+02 8.10830000e+00
1.936870e+02 1.06954000e+01
1.939530e+02 1.51027000e+01
1.942190e+02 2.32525000e+01
1.943520e+02 3.00782000e+01
1.944850e+02 4.03082000e+01
1.946180e+02 5.64700000e+01
1.947510e+02 8.38544000e+01
1.948840e+02 1.34971000e+02
1.949510e+02 1.78466000e+02
1.950170e+02 2.44795000e+02
1.950840e+02 3.51823000e+02
1.951500e+02 5.36858000e+02
1.952170e+02 8.82501000e+02
1.952500e+02 1.16497000e+03
1.952830e+02 1.56006000e+03
1.953420e+02 2.54816000e+03
1.954000e+02 3.25058000e+03
1.954590e+02 2.64911000e+03
1.955170e+02 1.68638000e+03
1.955520e+02 1.26822000e+03
1.955870e+02 9.70272000e+02
1.956570e+02 6.06476000e+02
1.957270e+02 4.10664000e+02
1.957970e+02 2.96452000e+02
1.958670e+02 2.24580000e+02
1.959370e+02 1.76740000e+02
1.960770e+02 1.18976000e+02
1.962180e+02 8.67551000e+01
1.963580e+02 6.69090000e+01
1.966380e+02 4.46103000e+01
1.969180e+02 3.29085000e+01
1.971980e+02 2.59394000e+01
1.974780e+02 2.14145000e+01
1.977590e+02 1.82877000e+01
1.983190e+02 1.43140000e+01
1.988790e+02 1.19400000e+01
1.994400e+02 1.03837000e+01
2.000000e+02 9.29435000e+00
2.007880e+02 8.22829000e+00
2.015770e+02 7.49815000e+00
2.023650e+02 6.99577000e+00
2.031540e+02 6.70262000e+00
2.039420e+02 6.73917000e+00
2.043360e+02 7.03097000e+00
2.047300e+02 7.77155000e+00
2.049270e+02 8.48444000e+00
2.051250e+02 9.64197000e+00
2.053220e+02 1.16157000e+01
2.055190e+02 1.52461000e+01
2.057160e+02 2.27545000e+01
2.058140e+02 2.97912000e+01
2.059130e+02 4.15675000e+01
2.060120e+02 6.32382000e+01
2.060610e+02 8.14161000e+01
2.061100e+02 1.08698000e+02
2.061590e+02 1.52008000e+02
2.062090e+02 2.24871000e+02
2.062580e+02 3.56496000e+02
2.062820e+02 4.60607000e+02
2.063070e+02 6.02602000e+02
2.063540e+02 9.78413000e+02
2.064000e+02 1.24350000e+03
2.064470e+02 1.01257000e+03
2.064930e+02 6.45273000e+02
2.065230e+02 4.74941000e+02
2.065530e+02 3.57149000e+02
2.066140e+02 2.18462000e+02
2.066740e+02 1.46670000e+02
2.067340e+02 1.05766000e+02
2.067940e+02 8.04981000e+01
2.068540e+02 6.38602000e+01
2.069750e+02 4.40272000e+01
2.070950e+02 3.30821000e+01
2.072160e+02 2.63951000e+01
2.074560e+02 1.89241000e+01
2.076970e+02 1.50154000e+01
2.079380e+02 1.26876000e+01
2.081790e+02 1.11712000e+01
2.084200e+02 1.01172000e+01
2.089010e+02 8.76281000e+00
2.093830e+02 7.93696000e+00
2.098650e+02 7.38145000e+00
2.103460e+02 6.98100000e+00
2.113100e+02 6.43643000e+00
2.122730e+02 6.07621000e+00
2.142000e+02 5.61088000e+00
2.161260e+02 5.30636000e+00
2.180530e+02 5.07926000e+00
2.219060e+02 4.73552000e+00
2.257590e+02 4.45080000e+00
2.276860e+02 4.31087000e+00
2.296130e+02 4.16463000e+00
2.315390e+02 4.01234000e+00
2.325030e+02 3.94338000e+00
2.334660e+02 3.90590000e+00
2.339480e+02 3.92087000e+00
2.344290e+02 3.98977000e+00
2.349110e+02 4.17368000e+00
2.353920e+02 4.62746000e+00
2.356330e+02 5.07471000e+00
2.358740e+02 5.82103000e+00
2.361150e+02 7.13729000e+00
