Zn-67(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
4039.28 0.0360789
4048.30 0.0415038
4057.31 0.0525230
4066.32 0.0772399
4070.82 0.102105
4075.33 0.147171
4077.58 0.184733
4079.83 0.241347
4082.09 0.332327
4084.34 0.492013
4086.59 0.811705
4087.72 1.10713
4088.84 1.60176
4089.97 2.52242
4090.53 3.30903
4091.10 4.52121
4091.66 6.51569
4092.22 10.0830
4092.51 12.9802
4092.79 17.1372
4093.07 23.2634
4093.35 32.2013
4093.78 51.5159
4094.20 64.3392
4094.63 51.4568
4095.05 32.1525
4095.47 19.8938
4095.89 12.9977
4096.31 8.99825
4096.73 6.54308
4097.15 4.94709
4097.57 3.86419
4098.41 2.53623
4099.26 1.78786
4100.10 1.32780
4101.78 0.815693
4103.46 0.552968
4105.14 0.400739
4106.82 0.304784
4108.50 0.240447
4111.86 0.162232
4115.22 0.118302
4118.59 0.0911958
4121.95 0.0733229
4128.67 0.0521148
4135.40 0.0412923
4138.76 0.0389168
4142.12 0.0405794
4145.48 0.0635798
4146.32 0.0882295
4147.16 0.154685
4147.58 0.239844
4148.00 0.450913
4148.21 0.697010
4148.42 1.23251
4148.53 1.76777
4148.63 2.72703
4148.74 4.62998
4148.79 6.30367
4148.84 8.71496
4148.92 13.9469
4149.00 17.4427
4149.08 13.9470
4149.16 8.71505
4149.23 5.69314
4149.30 3.89515
