Se-78(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
7.00000E+06 0.00168572
7.05941E+06 0.00163690
7.11881E+06 0.00158988
7.17822E+06 0.00154459
7.23762E+06 0.00150095
7.29904E+06 0.00145748
7.36047E+06 0.00141562
7.42189E+06 0.00137529
7.48331E+06 0.00133643
7.54682E+06 0.00129772
7.61033E+06 0.00126045
7.67383E+06 0.00122454
7.73734E+06 0.00118994
7.80301E+06 0.00115548
7.86867E+06 0.00112229
7.93434E+06 0.00109032
8.00000E+06 0.00105951
8.05104E+06 0.00103569
8.10209E+06 0.00101256
8.15313E+06 0.000990076
8.20417E+06 0.000968231
8.27445E+06 0.000939153
8.34473E+06 0.000911183
8.41500E+06 0.000884271
8.48528E+06 0.000858367
8.54867E+06 0.000838236
8.61207E+06 0.000818721
8.67546E+06 0.000799799
8.73885E+06 0.000781447
8.80414E+06 0.000763120
8.86943E+06 0.000745354
8.93471E+06 0.000728127
9.00000E+06 0.000711419
9.01521E+06 0.000709219
9.03043E+06 0.000707030
9.04564E+06 0.000704851
9.06085E+06 0.000702683
9.07607E+06 0.000700524
9.09128E+06 0.000698377
9.10650E+06 0.000696239
9.12171E+06 0.000694111
9.13692E+06 0.000691993
9.15214E+06 0.000689886
9.16735E+06 0.000687788
9.18256E+06 0.000685700
9.19778E+06 0.000683622
9.21299E+06 0.000681553
9.22820E+06 0.000679494
9.24342E+06 0.000677445
9.25863E+06 0.000675406
9.27384E+06 0.000673375
9.28906E+06 0.000671355
9.30427E+06 0.000669343
9.31948E+06 0.000667341
9.33470E+06 0.000665348
9.34991E+06 0.000663364
9.36512E+06 0.000661390
9.38034E+06 0.000659424
9.39555E+06 0.000657468
9.41076E+06 0.000655520
9.42598E+06 0.000653582
9.44119E+06 0.000651652
9.45640E+06 0.000649731
9.47162E+06 0.000647819
9.48683E+06 0.000645915
9.50287E+06 0.000644913
9.51890E+06 0.000643914
9.53494E+06 0.000642919
9.55098E+06 0.000641926
9.56701E+06 0.000640937
9.58305E+06 0.000639951
9.59909E+06 0.000638968
9.61512E+06 0.000637989
9.63116E+06 0.000637012
9.64720E+06 0.000636039
9.66323E+06 0.000635068
9.67927E+06 0.000634101
9.69531E+06 0.000633137
9.71134E+06 0.000632176
9.72738E+06 0.000631218
9.74342E+06 0.000630263
9.75945E+06 0.000629311
9.77549E+06 0.000628362
9.79153E+06 0.000627416
9.80756E+06 0.000626472
9.82360E+06 0.000625532
9.83964E+06 0.000624595
9.85567E+06 0.000623661
9.87171E+06 0.000622730
9.88775E+06 0.000621801
9.90378E+06 0.000620876
9.91982E+06 0.000619953
9.93585E+06 0.000619033
9.95189E+06 0.000618116
9.96793E+06 0.000617202
9.98396E+06 0.000616291
1.00000E+07 0.000615382
1.00610E+07 0.000618525
1.01220E+07 0.000621664
