Cr-50(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
92304.4 0.0319842
92420.5 0.0562841
92536.6 0.0945986
92652.7 0.150322
92768.9 0.227737
92885.0 0.332214
93117.2 0.651498
93349.4 1.18813
93581.6 2.07217
93813.8 3.51311
94046.0 5.83193
94264.3 9.18580
94482.5 13.9466
94919.0 25.2414
95137.3 28.2034
95355.5 27.9596
95792.0 22.5570
96159.4 17.8813
96526.7 14.4310
96894.1 11.9982
97261.5 10.2593
97996.2 8.01325
98363.5 7.26031
98455.4 7.09786
98547.2 6.94416
98639.1 6.79906
98685.0 6.73266
98707.9 6.71468
98719.4 6.75910
98725.2 6.94065
98728.0 7.38131
98729.5 8.09395
98730.9 10.1743
98732.4 13.8089
98733.9 10.2939
98735.1 8.35512
98736.4 7.58159
98738.9 7.04188
98743.8 6.77863
98753.7 6.67105
98773.5 6.61295
98813.0 6.54787
98892.2 6.43658
99050.4 6.23207
99367.0 5.87094
100000 5.29200
100417 4.98725
100626 4.85222
100730 4.78817
100782 4.75662
100808 4.74071
100821 4.73428
100828 4.74161
100831 4.79405
100833 4.98738
100833 5.53350
100834 6.63837
100834 12.6505
100834 20.9565
100835 13.0364
100835 6.88664
100836 5.70265
100836 5.08732
100838 4.84028
100841 4.76086
100848 4.73296
100862 4.71719
100888 4.69897
100942 4.66762
101049 4.60844
101264 4.49699
101694 4.29601
102553 3.96175
103412 3.69274
103841 3.57614
104056 3.52142
104164 3.49485
104217 3.48175
104244 3.47539
104258 3.47308
104264 3.47584
104268 3.49313
104269 3.55848
104270 3.73531
104271 4.09425
104271 6.46642
104271 9.52775
104271 6.53642
104272 4.13000
104272 3.71490
104273 3.55363
104275 3.49447
104279 3.47492
104286 3.46775
104301 3.46260
104331 3.45506
104390 3.44092
104508 3.41335
104744 3.35996
105217 3.25925
105453 3.21235
105689 3.17123
105808 3.15853
105867 3.15868
105926 3.17004
105985 3.21029
106014 3.25749
106044 3.34821
