La-139(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2380.55 3.00284
2380.65 3.97576
2380.75 6.12823
2380.80 8.21788
2380.85 11.7946
2380.90 18.4807
2380.93 24.1320
2380.95 32.6513
2380.98 46.1272
2381.00 68.6792
2381.03 108.698
2381.05 179.952
2381.08 299.650
2381.10 387.226
2381.13 323.286
2381.15 209.673
2381.17 143.280
2381.19 101.017
2381.22 74.6370
2381.24 58.1326
2381.28 38.2741
2381.32 27.6441
2381.37 21.3067
2381.41 17.2168
2381.50 12.4044
2381.58 9.75968
2381.67 8.13293
2381.75 7.05072
2381.84 6.28814
2382.01 5.29437
2382.18 4.69159
2382.36 4.28993
2382.53 4.00528
2382.87 3.63079
2383.22 3.39849
2383.56 3.24030
2383.91 3.12642
2384.60 2.97275
2385.28 2.87373
2386.66 2.75240
2388.04 2.67913
2389.42 2.62870
2392.17 2.56039
2394.93 2.51278
2397.68 2.47490
2403.19 2.41223
2414.21 2.30063
2425.23 2.17850
2430.74 2.10595
2436.25 2.02078
2441.77 1.91761
2447.28 1.78973
2450.03 1.71489
2452.79 1.63421
2455.54 1.55502
2458.30 1.50463
2459.67 1.51576
2461.05 1.58806
2462.43 1.79325
2463.81 2.30980
2464.50 2.81925
2465.18 3.66262
2465.87 5.12354
2466.56 7.82530
2466.91 10.0700
2467.25 13.3681
2467.60 18.4506
2467.94 26.6635
2468.28 40.9740
2468.63 68.1242
2468.80 91.2645
2468.97 126.010
2469.14 179.558
2469.32 262.358
2469.56 437.944
2469.80 571.282
2470.04 476.739
2470.28 310.853
2470.48 217.958
2470.67 158.076
2470.86 119.118
2471.05 92.9722
2471.43 61.6782
2471.81 44.5508
2472.20 34.1703
2472.58 27.4250
2473.34 19.4093
2474.11 14.9577
2474.87 12.2063
2475.64 10.3670
2476.40 9.06610
2477.93 7.37028
2479.46 6.33039
2480.99 5.63466
2482.51 5.14042
2485.57 4.48863
2488.63 4.08052
2491.68 3.80160
2494.74 3.59882
2500.86 3.32263
2506.97 3.14168
2513.08 3.01222
2519.20 2.91365
2531.43 2.76995
