38-Sr_n-tot
>  38-Sr-84:0.005600
>  38-Sr-86:0.098600
>  38-Sr-87:0.070000
>  38-Sr-88:0.825800
>  38-Sr-89:0.000000
>  38-Sr-90:0.000000
6.520980e+02 1.10936706e+01
6.529380e+02 1.05035114e+01
6.537850e+02 1.01205032e+01
6.544880e+02 9.89574820e+00
6.546330e+02 9.84949317e+00
6.553790e+02 9.66853723e+00
6.554800e+02 9.64644876e+00
6.571750e+02 9.38382084e+00
6.588700e+02 9.19803193e+00
6.592680e+02 9.16376286e+00
6.605650e+02 9.05275878e+00
6.622600e+02 8.93055937e+00
6.640480e+02 8.82113071e+00
6.656500e+02 8.72352905e+00
6.673450e+02 8.63028819e+00
6.681430e+02 8.58783385e+00
6.688270e+02 8.55990724e+00
6.690400e+02 8.55124535e+00
6.707350e+02 8.48296861e+00
6.715830e+02 8.44819772e+00
6.724300e+02 8.41261847e+00
6.728540e+02 8.39458342e+00
6.732780e+02 8.37677518e+00
6.736070e+02 8.36394581e+00
6.737010e+02 8.36029239e+00
6.741250e+02 8.34839851e+00
6.743370e+02 8.34698407e+00
6.745490e+02 8.35248283e+00
6.747610e+02 8.37216919e+00
6.749730e+02 8.42370765e+00
6.751850e+02 8.55765921e+00
6.752910e+02 8.70004425e+00
6.753960e+02 8.95931249e+00
6.755020e+02 9.48023722e+00
6.755550e+02 9.94865908e+00
6.756080e+02 1.06940639e+01
6.756610e+02 1.19647068e+01
6.757140e+02 1.43102907e+01
6.757410e+02 1.62615089e+01
6.757670e+02 1.91233115e+01
6.757940e+02 2.34093797e+01
6.758200e+02 2.97971524e+01
6.758600e+02 4.41191519e+01
6.759000e+02 5.48367814e+01
6.759400e+02 4.69679410e+01
6.759800e+02 3.34034805e+01
6.760100e+02 2.61476651e+01
6.760400e+02 2.13572498e+01
6.760700e+02 1.81822244e+01
6.761000e+02 1.60208691e+01
6.761600e+02 1.33942653e+01
6.762190e+02 1.19413691e+01
6.762790e+02 1.10546014e+01
6.763390e+02 1.04748327e+01
6.764590e+02 9.78273425e+00
6.765780e+02 9.39670733e+00
6.766980e+02 9.15687189e+00
6.768180e+02 8.99559745e+00
6.769370e+02 8.88089053e+00
6.771770e+02 8.72940765e+00
6.774160e+02 8.63429929e+00
6.776550e+02 8.56872393e+00
6.778950e+02 8.52029435e+00
6.783730e+02 8.45216952e+00
6.788520e+02 8.40470519e+00
6.793300e+02 8.36819446e+00
6.798090e+02 8.33809362e+00
6.807660e+02 8.28886516e+00
6.809060e+02 8.28285141e+00
6.817240e+02 8.25355421e+00
6.831670e+02 8.21058384e+00
6.836380e+02 8.19658629e+00
6.855530e+02 8.14723668e+00
6.874670e+02 8.10169488e+00
6.879470e+02 8.09101097e+00
6.912960e+02 8.01646932e+00
6.927270e+02 7.98652268e+00
6.936700e+02 7.96674864e+00
6.975070e+02 7.90898651e+00
6.989540e+02 7.88708858e+00
6.998970e+02 7.87332895e+00
7.022870e+02 7.83821182e+00
7.034820e+02 7.82051438e+00
7.046770e+02 7.80268926e+00
7.058720e+02 7.78471064e+00
7.066130e+02 7.77347488e+00
7.070670e+02 7.76647846e+00
7.076640e+02 7.75727597e+00
7.082620e+02 7.74816413e+00
7.088590e+02 7.73941831e+00
7.094570e+02 7.73170362e+00
7.097550e+02 7.72881771e+00
7.100540e+02 7.72730279e+00
7.103530e+02 7.72852504e+00
7.106520e+02 7.73564733e+00
7.109500e+02 7.75732229e+00
7.111000e+02 7.78081650e+00
7.111750e+02 7.79870540e+00
7.112120e+02 7.80988921e+00
7.112490e+02 7.82297254e+00
7.112870e+02 7.83838900e+00
7.113240e+02 7.85659016e+00
7.113610e+02 7.87831653e+00
7.113990e+02 7.90427667e+00
7.114360e+02 7.93574703e+00
7.114730e+02 7.97400180e+00
7.115110e+02 8.02105602e+00
7.115480e+02 8.07959119e+00
7.115850e+02 8.15347203e+00
7.116230e+02 8.24740105e+00
7.116600e+02 8.36917814e+00
7.116970e+02 8.52846403e+00
7.117350e+02 8.74090752e+00
7.117720e+02 9.02617101e+00
7.118090e+02 9.41245290e+00
7.118470e+02 9.93168119e+00
7.119230e+02 1.14479074e+01
7.120000e+02 1.26073712e+01
7.120380e+02 1.24246003e+01
7.120770e+02 1.18057262e+01
