Pd-105(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
215.873 11.3249
215.910 12.8753
215.948 11.3236
215.985 8.99238
216.027 7.37250
216.069 6.52228
216.110 6.05353
216.152 5.77673
216.194 5.60106
216.236 5.48374
216.319 5.34146
216.403 5.26168
216.486 5.21212
216.653 5.15517
216.987 5.10298
217.321 5.07626
217.989 5.04247
218.657 5.01629
219.992 4.96931
221.328 4.92440
222.664 4.88429
223.332 4.87212
224.000 4.87830
224.334 4.89790
224.667 4.94149
225.001 5.03322
225.335 5.23191
225.502 5.41520
225.669 5.70894
225.836 6.20715
226.003 7.12243
226.170 9.02125
226.254 10.8049
226.337 13.7957
226.421 19.3125
226.462 23.9540
226.504 30.9278
226.546 42.0205
226.588 60.7063
226.629 94.4295
226.650 121.258
226.671 157.726
226.691 202.883
226.711 255.070
226.750 324.460
226.790 265.215
226.829 170.377
226.853 128.780
226.877 99.3200
226.925 63.5424
226.973 44.3803
227.020 33.2515
227.068 26.2601
227.116 21.6170
227.212 16.0205
227.307 12.8980
227.403 10.9757
227.594 8.81625
227.786 7.68103
227.977 7.00387
228.169 6.56272
228.360 6.25681
228.743 5.86548
229.125 5.62879
229.508 5.47107
229.891 5.35833
230.656 5.20638
231.421 5.10613
232.952 4.97365
234.483 4.88016
236.014 4.80208
239.075 4.65775
242.137 4.50146
243.668 4.41117
245.198 4.30977
246.729 4.20050
247.494 4.15054
248.260 4.12007
249.025 4.15322
249.408 4.23300
249.791 4.41451
250.173 4.83059
250.365 5.23522
250.556 5.92811
250.747 7.25489
250.843 8.43355
250.939 10.3433
251.034 13.7817
251.130 20.9832
251.178 27.9856
251.226 40.1642
251.250 49.7997
251.273 63.3827
251.297 82.8372
251.321 110.601
251.341 140.899
251.361 175.967
251.400 222.405
251.420 211.961
251.439 183.335
251.479 120.448
251.508 88.3528
251.536 67.2700
251.594 44.3733
251.651 33.9228
251.709 29.0542
251.824 27.2026
251.939 32.1111
252.054 45.5376
252.112 58.0446
252.169 77.8962
252.227 111.109
252.284 170.912
252.313 219.424
252.342 288.726
252.370 390.103
252.399 536.785
252.445 871.118
252.490 1108.51
252.536 908.520
252.581 583.517
252.610 435.462
252.638 331.010
252.695 205.877
252.753 139.698
252.810 101.549
252.867 77.7045
252.924 61.9080
253.038 42.9015
253.152 32.2991
253.267 25.7598
253.495 18.3830
253.724 14.4773
253.952 12.1298
254.409 9.51528
254.866 8.13108
255.323 7.29186
256.238 6.36378
257.152 5.99440
257.609 6.03963
258.066 6.40089
258.294 6.81986
258.523 7.55152
258.751 8.86752
258.980 11.3955
259.209 16.8402
259.323 22.0901
259.437 31.0866
259.551 48.1251
259.608 62.7758
259.666 85.3359
259.723 122.266
259.780 187.069
259.808 238.570
259.837 310.857
259.866 414.473
259.894 561.195
259.942 913.826
259.990 1165.60
260.038 955.587
260.086 613.513
260.138 373.212
260.191 242.934
260.243 169.621
260.296 125.434
260.348 97.0531
260.400 77.8300
260.505 54.2775
260.610 40.9132
260.715 32.5975
260.924 23.1455
261.134 18.1286
261.343 15.1150
261.553 13.1440
261.762 11.7726
262.181 10.0152
262.600 8.95285
263.019 8.24818
263.438 7.74881
264.276 7.08932
265.114 6.67229
266.790 6.16817
268.466 5.86639
270.142 5.65859
273.494 5.37476
276.846 5.17004
280.198 4.99379
281.874 4.90784
282.712 4.86533
283.550 4.82569
284.388 4.79908
284.807 4.80205
285.226 4.83703
285.645 4.96140
285.855 5.11136
286.064 5.40881
286.274 6.06865
286.379 6.71939
286.483 7.85573
286.588 10.0612
286.641 12.0037
286.693 15.0557
