51-Sb_n-g
> 51-Sb-121:0.572100
> 51-Sb-123:0.427900
1.059610e+02 4.78524739e+00
1.061630e+02 3.41129425e+00
1.063650e+02 2.55868591e+00
1.065670e+02 1.99409705e+00
1.066590e+02 1.84016229e+00
1.069720e+02 1.31934848e+00
1.073760e+02 9.48377374e-01
1.077810e+02 7.23865768e-01
1.079910e+02 6.48663232e-01
1.081860e+02 5.82676687e-01
1.086570e+02 4.94539145e-01
1.089950e+02 4.44973661e-01
1.093230e+02 4.29759470e-01
1.096560e+02 4.40229771e-01
1.098040e+02 4.65209824e-01
1.099890e+02 5.05288355e-01
1.101560e+02 5.80029883e-01
1.103220e+02 7.17234933e-01
1.104050e+02 8.38300744e-01
1.104890e+02 1.04905932e+00
1.105300e+02 1.23424019e+00
1.105720e+02 1.55257227e+00
1.106130e+02 2.21477584e+00
1.106340e+02 2.85820931e+00
1.106550e+02 3.92559748e+00
1.106780e+02 5.65777850e+00
1.107000e+02 6.83357737e+00
1.107450e+02 4.21856678e+00
1.107790e+02 2.93129929e+00
1.108140e+02 2.50434779e+00
1.108820e+02 2.55084319e+00
1.109510e+02 3.16619252e+00
1.110190e+02 4.39227802e+00
1.110880e+02 6.79406108e+00
1.111220e+02 8.89930082e+00
