38-Sr_n-g
>  38-Sr-84:0.005600
>  38-Sr-86:0.098600
>  38-Sr-87:0.070000
>  38-Sr-88:0.825800
>  38-Sr-89:0.000000
>  38-Sr-90:0.000000
6.520980e+02 2.24254146e-01
6.529380e+02 1.67056740e-01
6.537850e+02 1.33003362e-01
6.544880e+02 1.14719366e-01
6.546330e+02 1.10961485e-01
6.553790e+02 9.75249560e-02
6.554800e+02 9.57924483e-02
6.571750e+02 7.74275244e-02
6.588700e+02 6.63224405e-02
6.592680e+02 6.45548665e-02
6.605650e+02 5.88737616e-02
6.622600e+02 5.34448315e-02
6.640480e+02 4.95090743e-02
6.656500e+02 4.60298372e-02
6.673450e+02 4.36119470e-02
6.681430e+02 4.29621159e-02
6.688270e+02 4.26914378e-02
6.690400e+02 4.26106152e-02
6.707350e+02 4.39854794e-02
6.715830e+02 4.63989071e-02
6.724300e+02 5.15806137e-02
6.728540e+02 5.62470075e-02
6.732780e+02 6.35811713e-02
6.736070e+02 7.31028846e-02
6.737010e+02 7.58247034e-02
6.741250e+02 9.81620836e-02
6.743370e+02 1.16840409e-01
6.745490e+02 1.45041044e-01
6.747610e+02 1.90419679e-01
6.749730e+02 2.70142414e-01
6.751850e+02 4.29868149e-01
6.752910e+02 5.77701716e-01
6.753960e+02 8.25107459e-01
6.755020e+02 1.28582493e+00
6.755550e+02 1.68002916e+00
6.756080e+02 2.28654339e+00
6.756610e+02 3.28690563e+00
6.757140e+02 5.07386486e+00
6.757410e+02 6.52566064e+00
6.757670e+02 8.61829310e+00
6.757940e+02 1.16947749e+01
6.758200e+02 1.61846973e+01
6.758600e+02 2.58880703e+01
6.759000e+02 3.23339933e+01
6.759400e+02 2.58598063e+01
6.759800e+02 1.61820694e+01
6.760100e+02 1.12007091e+01
6.760400e+02 7.98425887e+00
6.760700e+02 5.89217662e+00
6.761000e+02 4.49194638e+00
6.761600e+02 2.82776789e+00
6.762190e+02 1.93406607e+00
6.762790e+02 1.40369858e+00
6.763390e+02 1.06621609e+00
