Pb-204(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
15940.8 12.8783
15941.0 11.7012
15941.3 10.5329
15941.7 10.0244
15942.4 9.58247
15943.2 9.40799
15944.6 9.26915
15946.1 9.21576
15952.0 9.15699
15963.7 9.13413
15987.3 9.11591
16034.3 9.08839
16128.3 9.03827
16316.4 8.94628
16692.5 8.78281
17068.6 8.63533
17256.7 8.56452
17350.7 8.52941
17397.7 8.51277
17421.2 8.50962
17433.0 8.53093
17438.8 8.63301
17440.3 8.73688
17441.8 9.01618
17442.5 9.37745
17443.2 10.2581
17443.6 11.2929
17444.0 13.4459
17444.2 15.6878
17444.3 19.4363
17444.5 26.5632
17444.6 32.5152
17444.7 41.5480
17444.9 61.1465
17445.0 74.9223
17445.2 61.4039
17445.3 41.8668
17445.4 32.8221
17445.5 26.8477
17445.7 19.3982
17445.9 15.5852
17446.1 13.4369
17446.4 11.2686
17446.8 10.2633
17447.6 9.39352
17448.3 9.03853
17449.9 8.75684
17451.4 8.64946
17457.4 8.53475
17469.6 8.49864
17493.8 8.48046
17542.4 8.45972
17590.9 8.44630
17603.0 8.44956
17615.1 8.47088
17621.2 8.50756
17627.3 8.61954
17630.3 8.77781
17631.8 8.93414
17633.3 9.21042
17634.9 9.77361
17635.6 10.2988
17636.4 11.1678
17637.1 12.8035
17637.5 14.2019
17637.9 16.3526
17638.3 19.8756
17638.7 26.1211
17639.0 38.2630
17639.2 48.5824
17639.4 62.4975
17639.7 94.9800
17640.0 116.841
17640.3 94.7626
17640.6 62.7622
17640.8 46.5904
17641.0 36.3391
17641.3 29.4549
17641.5 24.7223
17641.9 18.9367
17642.3 15.7261
17642.7 13.7450
17643.2 12.4965
17644.0 11.0330
17644.8 10.2349
17645.7 9.76225
17647.4 9.24350
17649.1 8.98098
17650.8 8.82929
17654.1 8.66889
17660.9 8.54266
17667.6 8.49285
17681.1 8.45090
17694.6 8.43143
17721.6 8.40966
17748.6 8.39474
17802.6 8.37022
17856.6 8.34776
17964.6 8.30381
18072.6 8.25869
18180.6 8.21022
18288.6 8.15386
18342.6 8.11843
18369.6 8.09658
18396.6 8.06941
18423.6 8.03181
18437.1 8.00534
18450.6 7.96880
18464.1 7.91248
18470.9 7.86977
18477.6 7.80806
18484.4 7.70948
18487.8 7.63333
18491.1 7.52337
18494.5 7.34871
18496.2 7.21645
18497.9 7.03099
18499.6 6.74935
18501.3 6.28386
18502.1 5.92912
18502.9 5.49691
18503.4 5.33079
18503.8 5.48295
18504.0 5.96587
18504.2 7.21241
18504.4 10.3242
18504.5 13.5329
18504.6 18.2336
18504.7 24.9545
18504.8 33.2156
18505.0 50.8727
18505.1 53.6386
18505.2 51.2747
18505.4 40.7363
18505.5 34.0288
18505.7 28.6864
18505.8 24.8271
18505.9 22.0112
18506.2 18.3049
18506.5 16.0467
18507.1 13.5157
18507.6 12.1853
18508.2 11.3530
18508.7 10.8042
18509.8 10.1103
18510.9 9.69607
18512.0 9.42154
18514.3 9.08090
18516.5 8.87731
18518.7 8.74289
18523.2 8.57518
18527.6 8.47414
18532.0 8.40649
18540.9 8.32042
18549.8 8.26706
18558.7 8.22990
18576.5 8.17962
18594.3 8.14498
18612.1 8.11773
18647.6 8.07234
18683.2 8.02785
18718.7 7.96999
18736.5 7.92482
18745.4 7.89222
18754.3 7.84624
18763.2 7.77368
18767.6 7.71757
18772.1 7.63565
18776.5 7.50248
18778.7 7.39870
18780.9 7.24665
18783.2 7.00184
18784.3 6.81324
18785.4 6.54175
18786.5 6.11822
18787.6 5.37171
18788.2 4.73947
18788.7 3.80481
18789.0 3.19312
18789.3 2.70058
18789.4 2.84618
18789.6 4.07431
18789.7 8.99443
18789.8 15.3732
18789.8 27.3546
18789.9 39.2972
18789.9 54.4169
18790.0 89.5191
18790.1 94.7222
18790.1 89.7500
18790.2 70.1966
18790.3 48.2558
18790.4 35.6856
18790.5 28.5148
18790.6 24.3751
18790.9 19.1787
18791.1 16.4897
18791.4 14.7563
18791.6 13.6387
18792.0 12.2261
18792.5 11.3603
18793.0 10.7979
18793.9 10.0906
18794.8 9.66961
18795.8 9.39070
18797.6 9.04413
18799.5 8.83635
18801.4 8.69900
18805.1 8.52727
18808.8 8.42359
18812.5 8.35418
18820.0 8.26608
18827.4 8.21164
18834.9 8.17410
18849.7 8.12418
18879.5 8.06628
18909.3 8.02931
19028.5 7.93203
19147.6 7.84981
19266.7 7.76144
19385.9 7.65272
19445.4 7.58244
19505.0 7.49120
19534.8 7.43226
19564.6 7.35879
19594.4 7.26236
19624.1 7.12667
19639.0 7.03405
19653.9 6.91470
19668.8 6.75365
19683.7 6.52243
19691.2 6.36353
19698.6 6.15928
19706.0 5.88582
19713.5 5.50210
19717.2 5.24505
19720.9 4.92484
