Cu-65(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
12158.5 12.6873
12158.6 17.1093
12158.7 21.9604
12158.8 27.5324
12159.0 34.5094
12159.1 32.4147
12159.2 27.4581
12159.4 17.0518
12159.5 12.0483
12159.7 8.92071
12159.9 5.29020
12160.2 3.38591
12160.5 2.36325
12160.7 1.71746
12161.0 1.31430
12161.5 0.838443
12162.0 0.576377
12162.6 0.422486
12163.6 0.253607
12164.7 0.168993
12165.7 0.120699
12167.8 0.0705368
12169.9 0.0462932
12172.0 0.0328748
12176.2 0.0192345
12180.4 0.0127830
12184.6 0.00924678
12193.0 0.00569292
12201.5 0.00403758
12209.9 0.00313780
12226.7 0.00224943
12243.5 0.00184864
12260.3 0.00164148
12294.0 0.00146198
12428.5 0.00150420
12563.1 0.00189213
12697.6 0.00264168
12832.2 0.00420182
12899.4 0.00569286
12966.7 0.00828363
13034.0 0.0133984
13067.6 0.0180662
13101.3 0.0257773
13118.1 0.0316671
13134.9 0.0398455
13143.3 0.0451746
13151.7 0.0516395
13160.1 0.0595778
13168.5 0.0694573
13176.9 0.0819385
13185.4 0.0979705
13193.8 0.118943
13202.2 0.146922
13210.6 0.185006
13219.0 0.237803
13227.4 0.311802
13235.8 0.414435
13250.4 0.659467
13265.0 0.808814
13279.6 0.636577
13294.2 0.432950
13296.5 0.502225
13297.0 0.584803
13297.6 0.793763
13297.9 1.03959
13298.2 1.53689
13298.5 2.79292
13298.6 4.20781
13298.7 6.91807
13298.9 10.8929
13299.0 13.8046
13299.1 11.2392
13299.3 7.18361
13299.4 5.14636
13299.5 3.70478
13299.7 2.17635
13299.9 1.46789
13300.1 1.09280
13300.5 0.732691
13300.8 0.574429
13301.6 0.433744
13302.4 0.374236
13305.6 0.289782
13312.0 0.225977
13324.7 0.154786
13337.4 0.112159
13350.1 0.0846055
13375.5 0.0527318
13400.9 0.0359167
13426.3 0.0260627
13451.7 0.0198301
13502.4 0.0127420
13553.2 0.00908378
13604.0 0.00708897
13654.8 0.00654930
13680.2 0.00910073
13686.6 0.0120610
13692.9 0.0204944
13699.3 0.0634496
13700.9 0.104916
13702.4 0.211583
13703.2 0.345230
13704.0 0.657764
13704.4 1.00756
13704.8 1.69581
13705.0 2.34533
13705.2 3.41779
13705.4 5.30712
13705.6 8.68191
13706.0 18.3038
13706.2 15.3043
13706.4 9.61088
13706.5 7.11292
13706.6 5.29306
13706.9 3.14775
13707.1 2.04459
13707.3 1.44260
13707.8 0.812684
13708.3 0.518902
13709.2 0.264175
13710.2 0.160376
13712.0 0.0785059
13713.9 0.0475499
13717.7 0.0242594
13721.4 0.0157967
13729.0 0.00954865
13736.5 0.00728243
13751.5 0.00557735
13766.6 0.00493087
13796.7 0.00451601
13811.7 0.00488244
13819.3 0.00673926
13823.0 0.0138335
13824.9 0.0388023
13825.9 0.116177
13826.3 0.307483
13826.6 0.654461
13826.8 1.84327
13827.0 3.67521
13827.2 1.83498
13827.5 0.564580
13827.8 0.256601
13828.3 0.0922578
13829.4 0.0306692
13831.6 0.0114327
13835.9 0.00603754
13844.7 0.00460512
13862.2 0.00424844
13897.1 0.00429462
13967.0 0.00515335
14001.9 0.00608389
14036.9 0.00767892
14071.8 0.0109613
14080.5 0.0126693
14089.3 0.0160188
14093.6 0.0197925
14098.0 0.0293266
14100.2 0.0418083
14102.4 0.0751901
14103.5 0.118961
14104.6 0.232827
14105.1 0.376369
14105.7 0.713058
14105.9 1.10576
14106.2 1.89109
14106.5 3.85298
14106.6 6.14832
14106.7 10.3318
14106.9 16.3507
14107.0 20.4507
14107.1 16.0393
14107.3 10.0902
14107.4 6.46916
14107.5 4.28621
14107.7 2.19674
14108.0 1.31305
14108.2 0.869538
14108.7 0.462797
14109.2 0.289244
14110.1 0.148056
14111.1 0.0938346
14113.0 0.0521693
14114.9 0.0371716
14118.7 0.0266424
14122.6 0.0235245
14130.2 0.0227988
14137.9 0.0244889
14153.2 0.0313681
14168.5 0.0435576
14183.8 0.0657105
14191.4 0.0839469
14199.1 0.110962
14206.8 0.153129
14214.4 0.222937
14222.1 0.346881
14229.7 0.578427
14244.0 1.26646
14247.6 1.24335
14251.2 1.08849
14258.3 0.690926
14262.9 0.501147
14267.5 0.369477
14276.6 0.216686
14285.8 0.139557
14294.9 0.0966670
14304.1 0.0706817
14313.2 0.0539009
14331.6 0.0343465
14349.9 0.0238932
14368.2 0.0177309
14386.5 0.0141577
14395.6 0.0143868
14400.2 0.0202660
14402.5 0.0435276
14403.7 0.119453
14404.2 0.321792
14404.5 0.727084
14404.7 1.23763
14404.8 2.39345
14405.0 4.75905
14405.2 2.38457
14405.4 0.969011
14405.6 0.497754
14406.0 0.197242
14406.8 0.0695376
14408.5 0.0271218
14411.7 0.0144708
14418.3 0.0104968
14431.3 0.00849208
14457.5 0.00657454
14509.7 0.00449132
14562.0 0.00336165
14614.3 0.00267498
14718.8 0.00191831
14823.4 0.00153904
15032.4 0.00122470
15241.5 0.00119118
15450.6 0.00139784
15555.1 0.00165597
15659.7 0.00213949
15764.2 0.00314836
15816.5 0.00411098
15868.7 0.00577696
15921.0 0.00904109
15947.1 0.0119968
15973.3 0.0168395
15999.4 0.0255763
16012.5 0.0328249
16025.5 0.0436657
16038.6 0.0608408
16051.7 0.0899710
16064.7 0.143718
16077.8 0.250187
16100.0 0.572377
16105.6 0.575671
16111.1 0.513153
16122.2 0.329349
16132.6 0.206382
16142.9 0.134853
16153.3 0.0931325
16163.6 0.0675741
16174.0 0.0510648
16184.3 0.0398874
16205.0 0.0262862
16225.7 0.0187183
16246.4 0.0141933
16267.1 0.0118464
16277.4 0.0134269
16282.6 0.0232719
16285.2 0.0606711
16286.5 0.183912
16287.1 0.526540
16287.5 1.21116
16287.6 2.13474
16287.8 4.30677
16287.9 6.86629
16288.0 8.60828
16288.1 6.84882
16288.2 4.29313
16288.3 2.50342
16288.5 1.57885
16288.7 0.765588
16289.2 0.286687
16290.2 0.0949612
16292.1 0.0324917
16296.0 0.0145242
16303.8 0.00925616
16319.4 0.00711692
16350.5 0.00546133
16412.8 0.00382152
16475.2 0.00298850
16537.5 0.00252382
16662.1 0.00215957
16724.4 0.00235749
16740.0 0.00263188
16755.6 0.00343169
16763.4 0.00454874
16771.2 0.00770322
16775.1 0.0120562
16779.0 0.0241437
16780.9 0.0405542
16782.8 0.0847518
16783.8 0.143228
16784.8 0.292274
16785.3 0.476782
16785.8 0.895934
16786.0 1.36956
16786.3 2.26909
16786.5 4.32943
16786.6 6.40717
16786.7 9.88400
16786.9 16.0212
16787.0 19.6726
16787.1 18.4064
16787.1 15.4703
16787.3 9.81698
16787.4 6.36643
16787.5 4.43943
16787.7 2.42732
16787.9 1.50212
16788.2 1.01389
16788.6 0.540826
16789.1 0.337939
16789.9 0.166805
16790.8 0.0999543
16792.6 0.0476915
16794.4 0.0283953
16797.9 0.0140174
16801.5 0.00883492
16808.6 0.00506409
16815.7 0.00372692
