31-Ga_n-tot
>  31-Ga-69:0.601080
>  31-Ga-71:0.398920
1.135830e+03 7.16250293e+00
1.136050e+03 6.88654538e+00
1.136280e+03 6.74041559e+00
1.136500e+03 6.65382537e+00
1.136730e+03 6.59820654e+00
1.136960e+03 6.56041145e+00
1.137410e+03 6.51311345e+00
1.137860e+03 6.48552608e+00
1.138760e+03 6.45530378e+00
1.139670e+03 6.43887140e+00
1.140570e+03 6.42813236e+00
1.142380e+03 6.41359074e+00
1.145990e+03 6.39360762e+00
1.149600e+03 6.37697942e+00
1.156830e+03 6.34603202e+00
1.164060e+03 6.31588644e+00
1.188900e+03 6.21257877e+00
1.192970e+03 6.19485715e+00
1.220390e+03 6.07073599e+00
1.228260e+03 6.03420385e+00
1.236130e+03 5.99753947e+00
1.240070e+03 5.97952958e+00
1.244000e+03 5.96299691e+00
1.245970e+03 5.95684709e+00
1.247940e+03 5.95681026e+00
1.248920e+03 5.96501089e+00
1.249410e+03 5.97531736e+00
1.249900e+03 5.99555367e+00
1.250400e+03 6.03952205e+00
1.250640e+03 6.08234125e+00
1.250780e+03 6.12411373e+00
1.250890e+03 6.15689397e+00
1.251130e+03 6.30290729e+00
1.251260e+03 6.43417734e+00
1.251380e+03 6.64701625e+00
1.251500e+03 7.02333689e+00
1.251630e+03 7.77452479e+00
1.251690e+03 8.46333065e+00
1.251750e+03 9.55454155e+00
1.251810e+03 1.13975352e+01
1.251870e+03 1.45797351e+01
1.251940e+03 1.97987284e+01
1.252000e+03 2.32880802e+01
1.252070e+03 1.98001291e+01
1.252130e+03 1.45810338e+01
1.252180e+03 1.18525399e+01
1.252230e+03 1.01072926e+01
1.252280e+03 8.98506480e+00
1.252330e+03 8.25289580e+00
1.252430e+03 7.37722550e+00
1.252530e+03 6.90792134e+00
1.252630e+03 6.63040978e+00
1.252730e+03 6.45364525e+00
1.252920e+03 6.25032236e+00
1.253120e+03 6.14196781e+00
1.253320e+03 6.07794893e+00
1.253720e+03 6.00837219e+00
1.254110e+03 5.97278282e+00
1.254510e+03 5.95172527e+00
