27-Co_n-g
>  27-Co-59:1.000000
9.924350e+03 5.11157000e-03
1.000000e+04 4.97165000e-03
1.017000e+04 5.64367000e-03
1.025500e+04 6.56421000e-03
1.034000e+04 8.28469000e-03
1.042490e+04 1.18145000e-02
1.046740e+04 1.50955000e-02
1.050990e+04 2.05800000e-02
1.055240e+04 3.07203000e-02
1.057370e+04 3.93273000e-02
1.059490e+04 5.24827000e-02
1.061620e+04 7.39099000e-02
1.063740e+04 1.11654000e-01
1.064800e+04 1.41864000e-01
1.065870e+04 1.84845000e-01
1.066930e+04 2.47236000e-01
1.067990e+04 3.37857000e-01
1.071300e+04 7.00707000e-01
1.072130e+04 6.71991000e-01
1.072960e+04 5.78916000e-01
1.074610e+04 3.65063000e-01
1.076070e+04 2.37473000e-01
1.077520e+04 1.60871000e-01
1.078980e+04 1.14415000e-01
1.080430e+04 8.50000000e-02
1.083350e+04 5.20099000e-02
1.086260e+04 3.52102000e-02
1.089170e+04 2.56061000e-02
1.092080e+04 1.96325000e-02
1.097910e+04 1.29211000e-02
1.103730e+04 9.44104000e-03
1.109550e+04 7.40849000e-03
1.121200e+04 5.24770000e-03
1.132850e+04 4.18482000e-03
1.144490e+04 3.59833000e-03
1.156140e+04 3.28920000e-03
1.161960e+04 3.25891000e-03
1.164880e+04 3.39483000e-03
1.166330e+04 3.93624000e-03
1.167060e+04 6.01661000e-03
1.167420e+04 1.39876000e-02
1.167610e+04 4.34794000e-02
1.167700e+04 1.44579000e-01
1.167740e+04 4.36336000e-01
1.167770e+04 1.11227000e+00
1.167780e+04 2.10986000e+00
1.167790e+04 6.79386000e+00
1.167800e+04 1.04498000e+01
1.167810e+04 6.79405500e+00
1.167820e+04 2.41783000e+00
1.167830e+04 1.37694000e+00
1.167850e+04 5.77811000e-01
1.167890e+04 1.95920000e-01
1.167960e+04 6.01604000e-02
1.168110e+04 1.86595000e-02
1.168420e+04 7.29018000e-03
1.169020e+04 4.31623000e-03
1.170220e+04 3.59383000e-03
1.172630e+04 3.54414000e-03
1.177450e+04 4.28483000e-03
1.179860e+04 5.43793000e-03
1.181060e+04 6.60667000e-03
1.182270e+04 8.74540000e-03
1.183470e+04 1.33000000e-02
1.184070e+04 1.77885000e-02
1.184680e+04 2.58579000e-02
1.184980e+04 3.25819000e-02
1.185280e+04 4.26685000e-02
1.185580e+04 5.88518000e-02
1.185880e+04 8.72332000e-02
1.186180e+04 1.43955000e-01
1.186330e+04 1.96557000e-01
1.186480e+04 2.83956000e-01
1.186630e+04 4.47367000e-01
1.186710e+04 5.86017000e-01
1.186780e+04 7.99065000e-01
1.186860e+04 1.15427000e+00
1.186940e+04 1.78038000e+00
1.187010e+04 3.00990000e+00
1.187050e+04 4.08516000e+00
1.187090e+04 5.60884000e+00
1.187140e+04 8.99935000e+00
1.187200e+04 1.12054000e+01
1.187260e+04 8.93615000e+00
1.187320e+04 5.60831000e+00
1.187350e+04 4.05096000e+00
1.187390e+04 3.00986000e+00
1.187470e+04 1.78051000e+00
1.187540e+04 1.15445000e+00
1.187620e+04 8.02816000e-01
1.187690e+04 5.88450000e-01
1.187770e+04 4.49040000e-01
1.187920e+04 2.85626000e-01
1.188070e+04 1.97550000e-01
1.188220e+04 1.44873000e-01
1.188510e+04 8.79373000e-02
1.188810e+04 5.93118000e-02
1.189110e+04 4.30300000e-02
1.189410e+04 3.28392000e-02
1.189710e+04 2.60822000e-02
1.190310e+04 1.79176000e-02
1.190910e+04 1.33700000e-02
1.192110e+04 8.74574000e-03
1.193310e+04 6.56058000e-03
1.194500e+04 5.35896000e-03
1.196900e+04 4.15994000e-03
1.201690e+04 3.47165000e-03
1.202890e+04 3.58510000e-03
1.204090e+04 4.13472000e-03
1.204690e+04 4.98536000e-03
1.205290e+04 7.46432000e-03
1.205590e+04 1.09292000e-02
1.205890e+04 2.06206000e-02
1.206040e+04 3.38870000e-02
1.206190e+04 7.03381000e-02
1.206260e+04 1.18844000e-01
1.206340e+04 2.46889000e-01
1.206370e+04 4.11910000e-01
1.206410e+04 8.04139000e-01
1.206430e+04 1.26573000e+00
1.206450e+04 2.18236000e+00
1.206460e+04 3.17265000e+00
1.206470e+04 4.72163000e+00
1.206480e+04 1.02593050e+01
1.206490e+04 2.07545000e+01
1.206500e+04 2.61172000e+01
1.206510e+04 2.10785000e+01
1.206520e+04 1.06798250e+01
1.206530e+04 5.56178000e+00
1.206550e+04 2.96487000e+00
1.206560e+04 1.80897000e+00
1.206570e+04 1.21045000e+00
1.206600e+04 6.34902000e-01
1.206630e+04 3.95344000e-01
1.206690e+04 1.93869000e-01
1.206740e+04 1.15331000e-01
1.206860e+04 5.51834000e-02
1.206970e+04 3.29597000e-02
1.207200e+04 1.65190000e-02
1.207430e+04 1.06018000e-02
1.207880e+04 6.29047000e-03
1.208340e+04 4.75277000e-03
1.209250e+04 3.62294000e-03
1.210160e+04 3.20844000e-03
1.213810e+04 2.74695000e-03
1.221100e+04 2.55250000e-03
1.235680e+04 2.46437000e-03
1.264850e+04 2.68275000e-03
1.279430e+04 3.12051000e-03
1.294020e+04 4.29135000e-03
1.301310e+04 5.69819000e-03
1.304950e+04 6.92544000e-03
1.308600e+04 8.85974000e-03
1.312250e+04 1.21687000e-02
1.315890e+04 1.85437000e-02
1.317710e+04 2.42292000e-02
1.319540e+04 3.34679000e-02
1.321360e+04 5.05654000e-02
1.322270e+04 6.84614000e-02
1.322730e+04 9.64949000e-02
1.322960e+04 1.73201000e-01
1.323070e+04 4.16897000e-01
1.323100e+04 6.31491000e-01
1.323130e+04 1.10292000e+00
1.323150e+04 2.51853000e+00
1.323170e+04 4.50682000e+00
1.323180e+04 7.91992500e+00
1.323190e+04 1.50261000e+01
1.323200e+04 1.88553000e+01
1.323210e+04 1.50206000e+01
1.323220e+04 9.45167000e+00
1.323230e+04 5.75575000e+00
1.323240e+04 3.60076000e+00
1.323260e+04 1.79998000e+00
1.323280e+04 1.05613000e+00
1.323300e+04 7.18090000e-01
1.323330e+04 4.08857000e-01
1.323370e+04 2.81451000e-01
1.323530e+04 1.44788000e-01
1.323840e+04 1.14387000e-01
1.324460e+04 1.29553000e-01
1.325080e+04 1.65057000e-01
1.325700e+04 2.21258000e-01
1.326330e+04 3.12851000e-01
1.326950e+04 4.72216000e-01
1.327260e+04 5.98254000e-01
1.327570e+04 7.75731000e-01
1.327880e+04 1.03001000e+00
1.328190e+04 1.39301000e+00
1.329200e+04 2.93164000e+00
1.329450e+04 2.82215000e+00
1.329710e+04 2.43648000e+00
1.330210e+04 1.53460000e+00
1.330760e+04 8.98895000e-01
1.331320e+04 5.62423000e-01
1.331870e+04 3.77808000e-01
1.332420e+04 2.69181000e-01
1.332970e+04 2.00645000e-01
1.333530e+04 1.55125000e-01
1.334630e+04 1.00515000e-01
1.335740e+04 7.04623000e-02
1.336840e+04 5.22462000e-02
1.339050e+04 3.22766000e-02
1.341260e+04 2.21716000e-02
1.343470e+04 1.63771000e-02
1.347890e+04 1.03446000e-02
1.352310e+04 7.46592000e-03
1.356730e+04 5.97261000e-03
1.361150e+04 5.70702000e-03
1.363360e+04 8.23472000e-03
1.364470e+04 1.93018000e-02
1.364750e+04 3.06134000e-02
1.365020e+04 6.17212000e-02
1.365160e+04 1.03226000e-01
1.365300e+04 2.13175000e-01
1.365370e+04 3.52807000e-01
1.365440e+04 6.96337000e-01
1.365470e+04 1.10196000e+00
1.365500e+04 1.95091000e+00
1.365520e+04 2.84694000e+00
1.365540e+04 4.35923000e+00
1.365560e+04 7.28504000e+00
1.365570e+04 1.16704150e+01
1.365590e+04 2.17409000e+01
1.365600e+04 2.68373000e+01
1.365610e+04 2.17432000e+01
1.365630e+04 1.33974000e+01
1.365640e+04 8.94087000e+00
1.365650e+04 6.01094000e+00
1.365660e+04 4.24243000e+00
1.365670e+04 3.12624000e+00
1.365700e+04 1.87797000e+00
1.365720e+04 1.24393000e+00
1.365770e+04 6.57252000e-01
1.365820e+04 4.05098000e-01
1.365910e+04 1.98860000e-01
1.366010e+04 1.19203000e-01
1.366200e+04 5.74720000e-02
1.366390e+04 3.47995000e-02
1.367160e+04 1.18718000e-02
1.368690e+04 5.77690000e-03
1.371750e+04 4.00469000e-03
1.377880e+04 3.25503000e-03
