Gd-158(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1613.75 0.0222587
1623.46 0.0149813
1633.17 0.0115472
1642.88 0.00968393
1662.29 0.00801185
1681.71 0.00776076
1701.12 0.00872838
1720.54 0.0119904
1730.25 0.0161821
1735.10 0.0219290
1737.53 0.0354929
1738.14 0.0479547
1738.74 0.0817110
1739.05 0.126965
1739.35 0.248307
1739.50 0.406584
1739.65 0.806937
1739.73 1.29408
1739.77 1.72522
1739.80 2.41403
1739.84 3.60761
1739.88 5.91753
1739.90 7.94661
1739.92 11.1052
1739.94 16.2207
1739.96 24.2061
1739.98 38.9471
1740.00 48.3670
1740.02 38.9476
1740.04 24.2068
1740.06 16.5679
1740.08 11.7554
1740.10 8.49741
1740.11 6.47017
1740.15 4.01765
1740.18 2.71894
1740.22 1.95761
1740.25 1.47594
1740.32 0.931676
1740.46 0.469302
1740.60 0.287885
1740.88 0.147074
1741.16 0.0949805
1741.72 0.0565299
1742.27 0.0430690
1744.50 0.0320805
1748.96 0.0367564
1753.41 0.0496780
1757.87 0.0742140
1760.10 0.0950234
1762.33 0.126829
1764.56 0.178963
1766.78 0.273260
1767.90 0.352115
1769.01 0.471413
1770.13 0.664566
1771.24 1.00789
1771.80 1.28971
1772.08 1.47767
1772.35 1.70907
1772.63 2.00062
1772.91 2.37215
1773.19 2.85950
1773.33 3.16023
1773.47 3.51086
1773.61 3.92624
1773.75 4.41572
1774.03 5.71294
1774.30 7.68026
1774.44 9.05797
1774.58 10.8362
1774.72 13.2027
1774.86 16.3895
1775.00 20.8434
1775.14 27.3001
1775.28 37.1597
1775.42 52.7443
1775.56 78.7369
1775.70 122.929
1775.85 196.831
1776.00 246.807
1776.15 198.065
1776.30 123.886
1776.40 90.1277
1776.50 67.0363
1776.69 39.8451
1776.89 25.8992
1777.08 18.0623
1777.28 13.2403
1777.47 10.1121
1777.86 6.42386
1778.25 4.43105
1778.64 3.23727
1779.42 1.94225
1780.20 1.29256
1780.97 0.922296
1781.75 0.691323
1782.53 0.537666
1784.09 0.352331
1785.64 0.249242
1787.20 0.186016
1788.76 0.144528
