82-Pb_n-tot
> 82-Pb-204:0.014000
> 82-Pb-206:0.241000
> 82-Pb-207:0.221000
> 82-Pb-208:0.524000
6.711230e+03 1.10953091e+01
6.714490e+03 1.09768923e+01
6.717760e+03 1.09063371e+01
6.721020e+03 1.08601169e+01
6.727540e+03 1.08039002e+01
6.734060e+03 1.07712987e+01
6.740580e+03 1.07501268e+01
6.747100e+03 1.07352913e+01
6.753630e+03 1.07243139e+01
6.766670e+03 1.07091091e+01
6.779710e+03 1.06990101e+01
6.792760e+03 1.06917444e+01
6.805800e+03 1.06862108e+01
6.831890e+03 1.06781884e+01
6.857970e+03 1.06724838e+01
6.910150e+03 1.06644531e+01
6.962320e+03 1.06586061e+01
7.014500e+03 1.06538039e+01
7.118850e+03 1.06456451e+01
7.327540e+03 1.06310722e+01
7.500000e+03 1.06185573e+01
7.536240e+03 1.06159942e+01
7.640590e+03 1.06077013e+01
7.744940e+03 1.05983381e+01
7.849290e+03 1.05873536e+01
7.953640e+03 1.05738606e+01
8.005810e+03 1.05657471e+01
8.057980e+03 1.05564097e+01
8.110160e+03 1.05456086e+01
8.162330e+03 1.05333658e+01
8.214510e+03 1.05212028e+01
8.227550e+03 1.05188779e+01
8.234070e+03 1.05179857e+01
8.240600e+03 1.05173470e+01
