73-Ta_n-tot
> 73-Ta-181:1.000000
7.655220e+01 3.15766000e+01
7.657890e+01 3.78633000e+01
7.660560e+01 4.63905000e+01
7.663230e+01 5.83262000e+01
7.665900e+01 7.56722000e+01
7.668570e+01 1.02112000e+02
7.671240e+01 1.44953000e+02
7.673900e+01 2.20354000e+02
7.675240e+01 2.81036000e+02
7.676570e+01 3.68751000e+02
7.677910e+01 5.00942000e+02
7.679240e+01 7.08946000e+02
7.680580e+01 1.05066000e+03
7.681910e+01 1.62050000e+03
7.683460e+01 2.62996000e+03
7.685000e+01 3.33632000e+03
7.686550e+01 2.70791000e+03
7.688090e+01 1.71802000e+03
7.689230e+01 1.20974000e+03
7.690370e+01 8.75584000e+02
7.691510e+01 6.55616000e+02
7.692650e+01 5.06870000e+02
7.694930e+01 3.28109000e+02
7.697210e+01 2.30479000e+02
7.699490e+01 1.71911000e+02
7.701770e+01 1.34184000e+02
7.706330e+01 9.03188000e+01
7.710890e+01 6.69315000e+01
7.715450e+01 5.32425000e+01
7.724570e+01 3.98296000e+01
7.733690e+01 3.69636000e+01
7.738250e+01 3.94076000e+01
7.742810e+01 4.61834000e+01
7.747370e+01 6.16977000e+01
7.749650e+01 7.62130000e+01
7.751930e+01 9.98040000e+01
7.754210e+01 1.40796000e+02
7.756490e+01 2.19084000e+02
7.757630e+01 2.86407000e+02
7.758770e+01 3.88696000e+02
7.759910e+01 5.49044000e+02
7.761050e+01 8.01826000e+02
7.762530e+01 1.28801000e+03
7.764000e+01 1.62401000e+03
7.765480e+01 1.31589000e+03
7.766950e+01 8.36289000e+02
7.767930e+01 6.11153000e+02
7.768910e+01 4.56672000e+02
7.770860e+01 2.77402000e+02
7.772820e+01 1.85902000e+02
7.774770e+01 1.34300000e+02
7.776730e+01 1.02613000e+02
7.778680e+01 8.18461000e+01
7.782590e+01 5.71595000e+01
7.786510e+01 4.35511000e+01
7.790420e+01 3.52034000e+01
7.798240e+01 2.57984000e+01
7.806060e+01 2.08009000e+01
7.813880e+01 1.77777000e+01
7.829530e+01 1.44385000e+01
7.845170e+01 1.29322000e+01
7.852990e+01 1.27249000e+01
7.860810e+01 1.30593000e+01
7.868640e+01 1.45011000e+01
7.872550e+01 1.61394000e+01
7.876460e+01 1.91350000e+01
7.880370e+01 2.50726000e+01
7.882320e+01 3.03395000e+01
7.884280e+01 3.86424000e+01
7.886240e+01 5.26239000e+01
7.888190e+01 7.82138000e+01
7.890150e+01 1.30187000e+02
7.891120e+01 1.76266000e+02
7.892100e+01 2.44921000e+02
7.892830e+01 3.13746000e+02
7.893550e+01 3.93479000e+02
7.895000e+01 4.98583000e+02
7.896450e+01 4.07737000e+02
7.897900e+01 2.62660000e+02
7.899440e+01 1.63833000e+02
7.900970e+01 1.09556000e+02
7.902510e+01 7.86939000e+01
7.904040e+01 5.99673000e+01
7.905570e+01 4.78677000e+01
7.907110e+01 3.96405000e+01
7.910180e+01 2.95111000e+01
7.913250e+01 2.37352000e+01
7.916320e+01 2.01175000e+01
7.922460e+01 1.59640000e+01
7.928590e+01 1.37152000e+01
7.934730e+01 1.23294000e+01
7.947010e+01 1.07216000e+01
7.959290e+01 9.80926000e+00
7.971570e+01 9.20976000e+00
7.996120e+01 8.44422000e+00
8.045230e+01 7.60829000e+00
8.094340e+01 7.16751000e+00
8.143450e+01 7.05891000e+00
8.168010e+01 7.24288000e+00
8.192560e+01 7.82191000e+00
8.204840e+01 8.42160000e+00
8.217120e+01 9.43584000e+00
8.229390e+01 1.12348000e+01
8.241670e+01 1.46904000e+01
8.247810e+01 1.76700000e+01
8.253950e+01 2.22504000e+01
8.260090e+01 2.97240000e+01
8.266230e+01 4.29590000e+01
8.269300e+01 5.36913000e+01
8.272360e+01 6.93759000e+01
8.275430e+01 9.34805000e+01
8.278500e+01 1.32979000e+02
8.281570e+01 2.03664000e+02
8.283110e+01 2.61502000e+02
8.284640e+01 3.46505000e+02
8.286180e+01 4.77445000e+02
8.287710e+01 6.89749000e+02
8.289250e+01 1.05323000e+03
8.290780e+01 1.68986000e+03
8.292390e+01 2.73168000e+03
8.294000e+01 3.45311000e+03
8.295610e+01 2.79740000e+03
8.297220e+01 1.77211000e+03
8.298860e+01 1.09744000e+03
8.300500e+01 7.19836000e+02
8.302130e+01 5.02185000e+02
8.303770e+01 3.68966000e+02
8.305410e+01 2.82584000e+02
