Mo-95(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
550.009 0.613075
550.857 0.936538
551.280 1.20521
551.704 1.60971
552.128 2.25963
552.552 3.40208
552.764 4.32943
552.976 5.69433
553.188 7.82056
553.399 11.3947
553.505 14.1706
553.611 18.0806
553.717 23.8373
553.823 32.7600
553.929 47.5972
554.035 74.4925
554.088 96.6261
554.141 128.941
554.194 177.201
554.247 249.046
554.324 398.437
554.400 497.984
554.477 398.340
554.553 248.945
554.614 168.512
554.675 117.876
554.736 85.6683
554.796 64.5486
554.918 39.9311
555.040 26.9279
555.162 19.3159
555.283 14.5041
555.527 9.01750
555.770 6.13472
556.013 4.43954
556.257 3.36022
556.500 2.63159
556.987 1.73918
557.474 1.23484
557.960 0.922310
558.447 0.715486
559.421 0.467389
560.394 0.329997
561.368 0.246085
562.341 0.191140
562.341 0.191130
562.342 0.191103
562.342 0.191079
562.343 0.191033
562.345 0.190941
562.349 0.190752
562.357 0.190379
562.374 0.189636
562.406 0.188160
562.471 0.185265
562.601 0.179677
562.861 0.169265
563.380 0.151096
564.420 0.122900
566.498 0.0868314
568.576 0.0655472
570.655 0.0520064
574.811 0.0365710
578.968 0.0287065
587.281 0.0228406
591.438 0.0256107
592.477 0.0294895
593.516 0.0404899
594.036 0.0552490
594.556 0.0943141
594.815 0.143776
594.945 0.189229
595.075 0.264841
595.205 0.404033
595.270 0.521912
595.335 0.701367
595.400 0.992715
595.465 1.50166
595.530 2.47423
595.562 3.29110
595.595 4.45182
595.647 7.11301
595.700 8.88810
595.753 7.11363
595.805 4.45260
595.839 3.26501
595.872 2.43981
595.939 1.46715
596.005 0.964388
596.072 0.679574
596.138 0.504464
596.205 0.390194
596.338 0.255478
596.471 0.182534
596.604 0.138777
596.870 0.0912492
597.403 0.0537870
597.935 0.0396618
599.000 0.0291509
600.065 0.0254577
604.325 0.0228487
612.844 0.0282352
617.103 0.0360527
619.233 0.0433571
621.363 0.0560800
623.493 0.0821732
624.557 0.107533
625.622 0.153040
626.155 0.190961
626.687 0.248374
627.220 0.341555
627.752 0.507981
628.018 0.645459
628.285 0.851238
628.551 1.17946
628.817 1.75040
629.083 2.87717
629.216 3.90381
629.349 5.59608
629.483 8.66860
629.549 11.2337
629.616 15.0829
629.682 21.2082
629.749 31.6046
629.815 50.6812
629.882 87.2206
629.941 139.591
630.000 174.526
630.059 139.597
630.118 87.2317
630.180 52.6075
630.242 33.7039
630.303 23.0194
630.365 16.5798
630.427 12.4567
630.488 9.67856
630.612 6.30574
630.735 4.42530
630.859 3.27524
631.105 2.00363
631.352 1.35497
631.599 0.980581
631.846 0.745315
632.093 0.588046
632.586 0.397456
633.080 0.290990
634.067 0.182913
635.054 0.132422
636.041 0.105319
638.015 0.0799072
641.964 0.0679131
645.912 0.0736371
649.861 0.0913018
653.810 0.130483
655.784 0.172388
656.771 0.208779
657.758 0.269373
658.745 0.388606
659.239 0.501354
659.732 0.699566
660.226 1.10508
660.473 1.49291
660.720 2.17027
660.966 3.52154
661.090 4.76872
661.213 6.85530
661.337 10.7324
661.398 14.0458
661.460 19.1508
661.522 27.5481
661.583 42.5625
661.614 54.7503
661.645 72.2383
661.676 97.8911
661.707 135.412
661.753 216.505
661.800 270.543
661.847 216.488
661.893 135.394
661.928 93.7652
661.963 66.8486
661.998 49.3303
662.033 37.5998
662.103 23.6545
662.173 16.1605
662.243 11.7137
662.313 8.88339
662.452 5.62751
662.592 3.90600
662.732 2.88991
663.011 1.80443
663.290 1.26974
663.570 0.969966
664.128 0.668270
664.687 0.533233
665.246 0.467610
666.363 0.426371
668.598 0.493308
670.833 0.703033
671.950 0.889309
673.068 1.17402
674.185 1.63424
