Cl-35(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
10.0000 21.0267
10.0269 21.0194
10.6522 20.8564
11.2500 20.7081
11.4113 20.6681
11.5471 20.6345
12.1704 20.4850
12.5000 20.4093
12.9294 20.3106
13.2372 20.2399
13.6885 20.1402
14.3409 19.9960
14.4475 19.9733
15.0000 19.8557
15.2066 19.8117
15.3889 19.7729
15.9657 19.6540
16.7247 19.4976
17.5000 19.3435
18.2429 19.1958
19.7610 18.9281
20.0000 18.8859
20.0538 18.8765
21.2791 18.6656
21.2944 18.6630
22.7973 18.4114
23.0942 18.3617
23.7500 18.2539
24.3154 18.1610
26.0143 17.8882
26.4745 17.8205
27.5000 17.6726
27.7132 17.6418
28.1399 17.5803
29.4121 17.3997
29.7447 17.3525
31.1110 17.1617
31.2500 17.1423
31.7963 17.0661
32.8099 16.9266
33.7332 16.7996
34.5088 16.6944
35.0000 16.6337
36.2077 16.4845
37.9067 16.2782
38.7170 16.1798
39.6509 16.0679
41.3952 15.8588
41.4123 15.8567
42.5000 15.7280
43.1395 15.6523
43.6454 15.5978
44.8838 15.4656
45.4363 15.4067
48.3724 15.0959
48.5705 15.0750
50.0000 14.9255
51.8610 14.7309
55.3496 14.4050
56.2500 14.3218
58.8382 14.0829
59.4893 14.0228
62.3268 13.7628
62.5000 13.7486
65.8154 13.4763
68.6167 13.2482
69.3006 13.1925
71.4179 13.0212
72.7608 12.9223
74.2192 12.8158
75.0000 12.7587
77.0204 12.6111
81.3779 12.2951
85.7354 12.0142
87.5000 11.9012
90.0929 11.7353
90.8725 11.6854
94.4504 11.4577
95.0698 11.4228
98.8079 11.2131
100.000 11.1465
103.165 10.9699
103.629 10.9441
107.523 10.7278
108.144 10.6970
111.880 10.5126
112.500 10.4821
112.559 10.4791
115.927 10.3137
116.867 10.2674
119.973 10.1154
121.060 10.0677
124.019 9.93817
125.000 9.89538
128.065 9.76168
133.253 9.53643
134.933 9.47111
137.500 9.37161
138.440 9.33517
138.601 9.32893
143.005 9.15898
145.522 9.06188
147.052 9.00307
150.000 8.90073
151.098 8.86263
151.889 8.83518
155.144 8.72265
159.190 8.58279
164.949 8.40452
165.649 8.38283
170.707 8.22669
175.000 8.09460
175.324 8.08465
178.366 8.00099
179.940 7.95785
185.128 7.81568
190.315 7.67392
195.399 7.54809
200.000 7.43452
203.232 7.35473
211.065 7.17864
211.796 7.16221
217.394 7.03667
224.605 6.89187
224.663 6.89071
225.119 6.88154
231.815 6.74744
233.735 6.70901
236.994 6.64392
237.003 6.64374
241.360 6.56702
242.120 6.55363
245.718 6.49047
250.075 6.41396
254.433 6.33766
258.687 6.26317
261.656 6.21737
262.940 6.19756
267.090 6.13356
269.995 6.08876
272.693 6.04729
275.390 6.00583
279.540 5.94204
283.898 5.88319
286.319 5.85051
287.840 5.82996
291.990 5.77411
296.140 5.71828
298.215 5.69037
300.290 5.66256
302.365 5.63475
304.440 5.60695
306.515 5.58259
308.590 5.55833
310.665 5.53407
312.740 5.50983
314.815 5.48559
316.890 5.46146
317.147 5.45848
318.965 5.43734
321.040 5.41324
323.115 5.38925
325.190 5.36528
327.265 5.34133
329.340 5.31752
331.415 5.29679
332.972 5.28125
333.490 5.27612
335.047 5.26072
336.603 5.24534
338.159 5.22997
339.715 5.21477
341.272 5.19959
342.828 5.18444
344.384 5.16946
345.940 5.15451
346.978 5.14466
348.015 5.13484
349.053 5.12503
349.164 5.12399
350.090 5.11535
351.058 5.10637
351.128 5.10571
352.165 5.09610
353.203 5.08664
354.240 5.07721
355.278 5.06796
356.315 5.05875
356.733 5.05506
357.353 5.04966
358.390 5.04215
359.428 5.03488
360.465 5.02765
361.503 5.02072
362.540 5.01386
363.578 5.00729
364.615 5.00097
365.653 4.99494
366.690 4.98923
367.728 4.98389
368.765 4.97896
369.803 4.97453
370.322 4.97257
370.840 4.97065
371.359 4.96902
371.878 4.96743
372.397 4.96617
372.915 4.96498
373.434 4.96416
373.953 4.96342
374.472 4.96313
374.990 4.96293
375.509 4.96315
376.028 4.96371
376.547 4.96466
377.065 4.96604
377.584 4.96787
378.103 4.97023
378.622 4.97315
379.140 4.97671
379.659 4.98099
380.178 4.98615
380.279 4.98750
380.697 4.99343
381.215 5.00182
381.734 5.01134
382.253 5.02216
382.772 5.03445
383.290 5.04843
383.809 5.06434
384.069 5.07333
384.328 5.08251
384.587 5.09278
384.847 5.10328
385.106 5.11479
385.365 5.12712
385.625 5.14034
385.884 5.15454
386.144 5.16981
386.403 5.18624
386.662 5.20394
386.922 5.22303
387.181 5.24365
387.440 5.26595
387.700 5.29011
387.959 5.31633
388.219 5.34596
388.478 5.37812
388.737 5.41312
388.822 5.42563
388.997 5.45128
389.256 5.49476
389.515 5.54224
389.775 5.59425
390.034 5.65138
390.294 5.71437
390.553 5.78404
390.760 5.84526
390.916 5.89476
391.072 5.94765
391.175 5.98495
391.383 6.06492
391.590 6.15285
391.798 6.25400
392.005 6.36551
392.213 6.48893
392.317 6.55567
392.420 6.62611
392.524 6.70052
392.628 6.77924
392.732 6.86261
392.835 6.95101
392.939 7.04486
393.043 7.14465
393.147 7.25422
393.250 7.37081
393.354 7.49509
393.458 7.62777
393.562 7.76967
393.665 7.92170
393.769 8.08487
393.873 8.26035
393.977 8.45422
394.080 8.66319
394.184 8.88896
394.288 9.13346
394.392 9.39892
394.495 9.68789
394.599 10.0098
394.703 10.3616
394.807 10.7473
394.910 11.1716
395.014 11.6484
395.118 12.1759
395.170 12.4610
395.222 12.7617
395.274 13.0793
395.325 13.4208
395.377 13.7820
395.429 14.1644
395.512 14.8249
395.554 15.1888
395.595 15.5585
395.678 16.3749
395.740 17.0445
395.803 17.7694
395.865 18.5673
395.927 19.4343
395.989 20.3787
396.010 20.7225
396.052 21.4193
396.114 22.5627
396.176 23.8173
396.238 25.2143
396.301 26.7551
396.321 27.3235
396.363 28.4729
396.425 30.3857
396.446 31.0825
396.467 31.7864
396.508 33.3001
396.550 34.9306
396.591 36.7065
396.633 38.6247
396.653 39.6625
396.674 40.7097
396.716 42.9785
396.736 44.2095
396.757 45.4510
396.799 48.1486
396.819 49.6166
396.840 51.0955
396.882 54.3182
396.923 57.8572
396.944 59.7899
396.965 61.7357
397.006 65.9889
397.048 70.6726
397.068 73.2347
397.089 75.8146
397.131 81.4575
397.172 87.6669
397.193 91.0553
397.214 94.4661
397.255 101.891
397.297 109.995
397.317 114.366
397.338 118.762
397.380 128.180
397.421 138.215
397.442 143.513
397.483 154.139
397.587 181.204
