K-39(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
68779.0 16.4029
68780.6 16.1836
68787.0 15.9356
68799.7 15.8866
68812.4 15.9019
68837.8 15.9436
68888.6 15.9635
68990.3 15.6735
69193.5 14.0132
69600.0 9.52688
69944.9 6.74233
70289.8 4.99117
70634.7 3.89080
70979.6 3.17273
71669.4 2.33536
72359.2 1.88487
73049.0 1.61212
73738.8 1.43171
75118.4 1.20866
76498.0 1.07420
77877.6 0.981336
79257.1 0.910811
79946.9 0.881715
80291.8 0.870037
80464.3 0.867223
80550.5 0.871114
80593.6 0.887236
80615.2 0.935966
80626.0 1.05813
80631.4 1.28326
80634.0 1.56117
80636.7 2.13995
80640.9 3.37987
80645.0 2.10314
80649.0 1.36306
80653.0 1.11086
80661.0 0.955008
80676.9 0.889862
80708.7 0.870185
80772.3 0.868524
80836.0 0.875115
80899.6 0.890240
80963.3 0.924840
80995.1 0.959393
81026.9 1.02083
81058.7 1.14423
81074.6 1.25793
81090.5 1.44688
81106.5 1.79322
81114.4 2.08475
81122.4 2.52568
81130.3 3.23417
81138.3 4.45347
81146.2 6.73419
81154.2 11.2204
81161.0 17.4865
81167.8 21.7106
81174.6 17.5854
81181.3 11.3248
81188.6 7.09305
81195.9 4.81518
81203.1 3.53851
81210.4 2.77523
81217.7 2.28798
81224.9 1.96109
81239.5 1.56500
81254.0 1.34421
81268.5 1.20916
81297.6 1.05926
81326.6 0.982111
81355.7 0.937037
81413.8 0.888534
81471.9 0.863704
81530.0 0.848774
81646.2 0.831316
81878.6 0.812952
82111.0 0.800934
82575.8 0.781739
83040.7 0.764665
83970.3 0.733632
84435.2 0.720722
84667.6 0.717308
84783.8 0.722830
84841.9 0.748792
84856.4 0.773639
84870.9 0.837424
84878.2 0.916138
84885.5 1.10301
84889.1 1.31157
84892.7 1.74212
84894.5 2.15041
84896.4 2.83477
84898.2 4.08293
84900.0 6.43692
84901.6 9.84319
84903.2 12.1475
84904.9 9.86540
84906.5 6.40148
84907.8 4.54787
84909.1 3.38798
84911.6 2.16637
84914.2 1.60139
84916.8 1.30522
