56-Ba_n-g
> 56-Ba-130:0.001060
> 56-Ba-132:0.001010
> 56-Ba-134:0.024170
> 56-Ba-135:0.065920
> 56-Ba-136:0.078540
> 56-Ba-137:0.112320
> 56-Ba-138:0.716980
1.787170e+02 1.66054182e-02
1.789040e+02 1.67740976e-02
1.790910e+02 1.69616133e-02
1.794660e+02 1.74045606e-02
1.798400e+02 1.79631097e-02
1.802150e+02 1.86794735e-02
1.805890e+02 1.96166016e-02
1.809640e+02 2.08722933e-02
1.813390e+02 2.26049003e-02
1.817130e+02 2.50869254e-02
1.820880e+02 2.88140919e-02
1.824620e+02 3.47721856e-02
1.828370e+02 4.51494742e-02
1.830240e+02 5.34948240e-02
1.832110e+02 6.56610499e-02
1.833990e+02 8.43676366e-02
1.835860e+02 1.15208094e-01
1.837730e+02 1.71291074e-01
1.838670e+02 2.18156284e-01
1.839610e+02 2.88598013e-01
1.840540e+02 4.00833473e-01
1.841480e+02 5.91875643e-01
1.842410e+02 9.42974683e-01
1.843350e+02 1.61930817e+00
1.844180e+02 2.58196412e+00
1.845000e+02 3.22252853e+00
1.845830e+02 2.57952828e+00
1.846650e+02 1.61686388e+00
1.847250e+02 1.13479401e+00
1.847850e+02 8.18761483e-01
1.848450e+02 6.10831992e-01
