Si-28(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.66190E+06 0.000620574
1.66265E+06 0.000508992
1.66340E+06 0.000511260
1.66414E+06 0.000875414
1.66452E+06 0.00208737
1.66471E+06 0.00482897
1.66480E+06 0.00895412
1.66485E+06 0.0131188
1.66489E+06 0.0197841
1.66495E+06 0.0311854
1.66500E+06 0.0367417
1.66511E+06 0.0173294
1.66519E+06 0.00863565
1.66528E+06 0.00496064
1.66544E+06 0.00225656
1.66561E+06 0.00132806
1.66577E+06 0.000907351
1.66611E+06 0.000545971
1.66644E+06 0.000396713
1.66710E+06 0.000271445
1.66776E+06 0.000217316
1.66909E+06 0.000166157
1.67042E+06 0.000139704
1.67307E+06 0.000109913
1.67572E+06 9.22969E-05
1.68103E+06 7.12990E-05
1.68633E+06 5.89692E-05
1.69694E+06 4.53657E-05
1.70755E+06 3.85760E-05
1.72878E+06 3.36127E-05
1.75000E+06 3.49239E-05
1.75000E+06 0.000549999
1.75075E+06 0.000549310
1.75234E+06 0.000547847
1.75393E+06 0.000546384
1.75553E+06 0.000544912
1.75713E+06 0.000543440
1.75873E+06 0.000541968
1.76034E+06 0.000540487
1.76194E+06 0.000539015
1.76355E+06 0.000537534
1.76516E+06 0.000536053
1.76677E+06 0.000534572
1.76839E+06 0.000533081
1.77001E+06 0.000531591
1.77162E+06 0.000530110
1.77325E+06 0.000528610
1.77487E+06 0.000527120
1.77650E+06 0.000525620
1.77812E+06 0.000524130
1.77975E+06 0.000522630
1.78139E+06 0.000521121
1.78237E+06 0.000520220
1.78269E+06 0.000519925
1.78302E+06 0.000519622
1.78335E+06 0.000519318
1.78368E+06 0.000519014
1.78400E+06 0.000518720
1.78433E+06 0.000518416
1.78466E+06 0.000518113
1.78499E+06 0.000517809
1.78531E+06 0.000517515
1.78564E+06 0.000517211
1.78597E+06 0.000516908
1.78630E+06 0.000516604
1.78663E+06 0.000516300
1.78695E+06 0.000516006
1.78728E+06 0.000515702
1.78761E+06 0.000515399
1.78794E+06 0.000515095
1.78860E+06 0.000514488
1.78958E+06 0.000513586
1.79057E+06 0.000512676
1.79156E+06 0.000511765
1.79255E+06 0.000510854
1.79354E+06 0.000509943
1.79453E+06 0.000509032
1.79552E+06 0.000508122
1.79651E+06 0.000507211
1.79751E+06 0.000506291
1.79850E+06 0.000505380
1.79950E+06 0.000504460
1.80049E+06 0.000503549
1.80149E+06 0.000502629
1.80215E+06 0.000502022
1.80249E+06 0.000501709
