Nb-93(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
953.391 4.39121
953.483 3.21309
953.575 2.46150
953.758 1.59506
953.942 1.13552
954.125 0.863381
954.492 0.570907
954.859 0.425258
955.226 0.342225
955.960 0.255689
956.694 0.213599
957.428 0.189901
958.896 0.165649
961.832 0.149294
964.768 0.147255
970.640 0.161014
976.512 0.194853
982.384 0.259721
988.256 0.391213
991.192 0.511601
994.128 0.710292
997.064 1.07248
998.532 1.37711
1000.00 1.84117
1001.04 2.33288
1002.07 3.05735
1003.11 4.18887
1004.15 6.09839
1005.18 9.69819
1005.70 12.8158
1006.22 17.6888
1006.74 25.8724
1007.00 32.1818
1007.25 40.9698
1007.51 53.5967
1007.77 72.3340
1008.03 100.900
1008.29 144.552
1008.65 231.769
1009.00 290.093
1009.36 231.641
1009.71 144.425
1010.10 85.3832
1010.48 54.0180
1010.86 36.5671
1011.25 26.2150
1011.63 19.6365
1012.02 15.2553
1012.79 10.0126
1013.55 7.21444
1014.32 5.82131
1014.71 5.69285
1015.09 6.44560
1015.28 7.71588
1015.48 10.7907
1015.57 14.0010
1015.67 19.8904
1015.76 31.8379
1015.81 42.4042
1015.86 58.1164
1015.93 91.0038
1016.00 112.881
1016.07 90.8920
1016.14 57.8906
1016.20 40.2678
1016.25 29.2290
1016.30 22.1134
1016.36 17.3781
1016.47 11.7380
1016.57 8.73032
1016.79 5.75327
1017.01 4.37031
1017.44 3.08974
1017.87 2.47903
1018.74 1.84501
1019.61 1.48710
1021.34 1.06354
1023.07 0.812810
1026.54 0.530167
1030.00 0.379935
1034.87 0.263670
1039.74 0.198758
1044.60 0.158868
1049.47 0.132656
1059.20 0.101621
1068.94 0.0849934
1078.67 0.0756610
1088.41 0.0711950
1093.27 0.0711164
1098.14 0.0746055
1100.57 0.0805215
1101.79 0.0865636
1103.01 0.0975865
1104.22 0.120909
1104.83 0.143814
1105.44 0.184759
1106.05 0.269602
1106.35 0.350880
1106.66 0.492713
1106.96 0.774054
1107.11 1.03182
1107.27 1.45928
1107.42 2.24256
1107.49 2.90213
