Cu-65(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
14349.9 8.61322
14368.2 8.02404
14386.5 7.60244
14395.6 7.41857
14400.2 7.30750
14402.5 7.21303
14403.7 7.12803
14404.2 7.10680
14404.5 7.25565
14404.7 7.57048
14404.8 8.53327
14405.0 11.8196
14405.2 10.6079
14405.4 9.05790
14405.6 8.40400
14406.0 7.88558
14406.8 7.57854
14408.5 7.40827
14411.7 7.29262
14418.3 7.17535
14431.3 7.01146
14457.5 6.76543
14509.7 6.42410
14562.0 6.18669
14614.3 6.00482
14718.8 5.73030
14823.4 5.51983
15032.4 5.18983
15241.5 4.91899
15450.6 4.67754
15555.1 4.56549
15659.7 4.46326
15764.2 4.38724
15816.5 4.37622
15868.7 4.41260
15921.0 4.56867
15947.1 4.75364
15973.3 5.10019
15999.4 5.79586
16012.5 6.41120
16025.5 7.36982
16038.6 8.94795
16051.7 11.7249
16064.7 17.0395
16077.8 27.9861
16100.0 64.1492
16105.6 65.8585
16111.1 60.3641
16122.2 41.7553
16132.6 28.5834
16142.9 20.6635
16153.3 15.9171
16163.6 12.9370
16174.0 10.9662
16184.3 9.60080
16205.0 7.88293
16225.7 6.87641
16246.4 6.22762
16267.1 5.76856
16277.4 5.56220
16282.6 5.42304
16285.2 5.28738
16286.5 5.15658
16287.1 5.13474
16287.5 5.41784
16287.6 6.03568
16287.8 7.97703
16287.9 10.9323
16288.0 14.1975
16288.1 13.9115
16288.2 11.6824
16288.3 9.69680
16288.5 8.50779
16288.7 7.29759
16289.2 6.40988
16290.2 5.91589
16292.1 5.65339
16296.0 5.49276
16303.8 5.35004
16319.4 5.17034
16350.5 4.91924
16412.8 4.59792
16475.2 4.39286
16537.5 4.24684
16662.1 4.04616
16724.4 3.96276
16740.0 3.93585
16755.6 3.89590
16763.4 3.86248
16771.2 3.80265
16775.1 3.74740
16779.0 3.64581
16780.9 3.55317
16782.8 3.39265
16783.8 3.25892
16784.8 3.06662
16785.3 2.95341
16785.8 2.90578
16786.0 3.01871
16786.3 3.46956
16786.5 5.06872
16786.6 7.11570
16786.7 11.1668
16786.9 20.0671
16787.0 28.7866
16787.1 29.7328
16787.1 27.7603
16787.3 21.5834
16787.4 16.8979
16787.5 13.9462
16787.7 10.4742
16787.9 8.64297
16788.2 7.56019
16788.6 6.35827
16789.1 5.74894
16789.9 5.12949
16790.8 4.82687
16792.6 4.52654
16794.4 4.38033
16797.9 4.23574
16801.5 4.16396
16808.6 4.09177
16815.7 4.05487
16829.9 4.01645
16844.1 3.99630
16900.9 3.97076
17014.5 4.03394
17241.6 4.76309
17355.2 5.78842
17468.8 7.87797
17582.4 12.2879
17639.2 16.1661
17696.0 21.8781
17741.3 28.1758
17764.0 31.9818
17775.3 34.0863
17778.2 34.6571
17781.0 35.2754
17782.4 35.6293
17783.8 36.0571
17785.3 36.7336
17786.0 37.4259
17786.3 38.0687
17786.7 39.1356
17786.8 39.2997
17787.0 36.7572
17787.1 34.1420
17787.2 32.2529
17787.3 31.8855
17787.6 33.1185
17787.8 33.9998
17788.3 34.9273
17788.8 35.4138
17789.2 35.7319
17790.2 36.1637
17791.2 36.4807
17793.1 36.9897
17795.0 37.4314
17802.7 39.0460
17818.0 42.1619
17848.7 48.2620
17910.0 57.5551
17968.8 59.0702
17998.3 57.0005
18005.6 56.2395
18013.0 55.3679
18016.6 54.8675
18020.3 54.2812
18022.2 53.9195
18024.0 53.4604
18024.9 53.1695
18025.8 52.8442
18026.3 52.7256
18026.8 52.8405
18027.0 53.2057
18027.2 54.1917
18027.4 56.8669
18027.6 59.5409
