Cl-35(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
4257.94 0.347237
4258.21 0.323121
4258.48 0.301431
4258.71 0.284195
4258.94 0.268396
4259.17 0.253879
4259.41 0.240509
4259.66 0.227324
4259.91 0.215196
4260.16 0.204014
4260.40 0.193683
4260.65 0.184118
4260.90 0.175246
4261.15 0.167001
4261.40 0.159327
4261.73 0.149892
4262.07 0.141274
4262.40 0.133380
4262.73 0.126133
4263.06 0.119462
4263.40 0.113309
4263.73 0.107622
4264.06 0.102354
4264.39 0.0974652
4264.73 0.0929207
4265.06 0.0886884
4265.39 0.0847406
4265.72 0.0810523
4266.06 0.0776012
4266.39 0.0743674
4266.72 0.0713331
4267.05 0.0684822
4267.39 0.0658003
4267.72 0.0632741
4268.05 0.0608920
4268.38 0.0586431
4268.72 0.0565177
4269.38 0.0526027
4270.05 0.0490850
4270.71 0.0459124
4271.38 0.0430413
4272.04 0.0404347
4272.71 0.0380611
4273.37 0.0358935
4274.04 0.0339087
4274.70 0.0320868
4275.37 0.0304103
4276.03 0.0288643
4276.70 0.0274355
4277.36 0.0261124
4278.03 0.0248847
4278.69 0.0237436
4279.36 0.0226811
4280.02 0.0216901
4280.69 0.0207643
4281.35 0.0198982
4282.02 0.0190867
4282.68 0.0183253
4283.35 0.0176100
4284.01 0.0169371
4284.68 0.0163034
4285.34 0.0157058
4286.01 0.0151417
4286.67 0.0146086
4288.00 0.0136267
4289.33 0.0127445
4290.66 0.0119489
