Eu-153(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
47.8513 482.502
47.8515 484.530
47.8520 488.710
47.8529 497.123
47.8547 514.528
47.8585 551.786
47.8659 637.322
47.8808 860.585
47.9054 1383.91
47.9300 1744.57
47.9546 1412.34
47.9792 895.938
47.9991 610.928
48.0191 431.597
48.0390 317.819
48.0589 243.137
48.0988 156.000
48.1386 109.755
48.1785 82.5080
48.2183 65.1553
48.2980 45.1399
48.3777 34.4625
48.4574 28.1019
48.6168 21.2839
48.7762 18.1043
48.9356 16.8627
49.0950 17.8651
49.1747 21.1663
49.2146 25.9250
49.2345 30.5511
49.2544 38.1224
49.3000 60.5781
49.3456 43.1683
49.3728 37.1543
49.4000 37.6345
49.4271 44.4764
49.4543 61.2940
49.4772 85.7430
49.5000 102.833
49.5229 87.4246
49.5457 63.5609
49.5711 47.3005
49.5966 39.3413
49.6475 34.5148
49.6983 36.4106
49.7492 43.3124
49.8001 57.7671
49.8510 88.9172
49.8764 118.625
49.9018 168.685
49.9146 206.891
49.9273 258.966
49.9400 330.595
49.9527 428.302
49.9645 546.027
49.9764 681.359
50.0000 855.500
50.0118 810.115
50.0237 694.775
50.0473 445.792
50.0671 305.542
50.0868 218.945
50.1065 165.029
50.1263 130.325
50.1658 91.1999
50.2053 72.0014
50.2842 58.1384
50.3632 60.4788
50.4422 77.3613
50.4817 94.5168
50.5212 122.323
50.5606 169.369
50.6001 254.732
50.6199 324.271
50.6396 424.452
50.6594 571.466
50.6791 786.509
50.7096 1263.34
50.7400 1593.46
50.7705 1292.86
50.8009 823.065
50.8236 580.343
50.8462 421.408
50.8689 317.161
50.8915 246.906
50.9368 162.733
50.9822 116.946
51.0275 89.5831
51.0728 72.0512
51.1634 51.9087
51.2540 41.5348
51.3447 35.9441
51.5259 32.4921
51.7072 37.3369
51.7978 44.4762
51.8884 58.0076
51.9790 85.2305
52.0243 109.620
52.0697 148.548
52.1150 215.369
52.1376 267.780
52.1603 341.769
52.1829 449.860
52.2056 613.313
52.2283 868.446
52.2509 1268.39
52.2805 2041.20
52.3100 2573.78
52.3396 2083.96
52.3691 1322.09
52.3891 958.182
52.4091 710.634
52.4491 426.541
52.4891 283.607
52.5292 204.050
52.5692 156.054
52.6092 125.414
52.6892 91.7204
52.7692 78.7423
52.8493 83.0613
52.8893 95.5740
52.9293 122.605
52.9693 180.987
52.9893 233.405
53.0093 311.490
53.0245 391.547
53.0397 484.346
53.0700 606.255
53.1004 498.584
53.1307 327.338
53.1653 203.952
53.1999 138.834
