47-Ag_n-tot
> 47-Ag-107:0.518390
> 47-Ag-109:0.481610
1.069220e+02 4.98447954e+00
1.069420e+02 4.97591720e+00
1.070320e+02 4.94142464e+00
1.071370e+02 4.92163849e+00
1.072350e+02 4.91291359e+00
1.072520e+02 4.91490536e+00
1.073330e+02 4.93374385e+00
1.073810e+02 4.96415691e+00
1.074300e+02 5.02464457e+00
1.074720e+02 5.13502773e+00
1.074790e+02 5.15377799e+00
1.075040e+02 5.27079777e+00
1.075280e+02 5.44569441e+00
1.075640e+02 5.81918218e+00
1.076000e+02 6.06889397e+00
1.076360e+02 5.81257936e+00
1.076720e+02 5.43223476e+00
1.076920e+02 5.28510456e+00
