Mn-55(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
28636.7 0.00642640
28698.0 0.00665591
28728.6 0.00786615
28743.9 0.0127242
28751.6 0.0312325
28755.4 0.0979863
28757.4 0.316622
28758.3 0.909801
28758.8 2.09171
28759.0 3.66347
28759.3 7.03083
28759.4 11.2106
28759.6 14.0394
28759.8 11.2135
28759.9 7.03311
28760.1 4.07162
28760.3 2.54608
28760.7 1.21985
28761.5 0.451281
28763.0 0.143849
28766.1 0.0445650
28772.2 0.0162925
28784.4 0.00873643
28808.9 0.00676089
28857.9 0.00621497
28955.8 0.00600094
29151.7 0.00583311
29543.5 0.00568186
29935.3 0.00574482
30131.2 0.00622665
30180.2 0.00671686
30204.7 0.00720102
30229.2 0.00807509
30253.7 0.00991042
30265.9 0.0117016
30278.2 0.0148854
30290.4 0.0214053
30302.7 0.0382081
30308.8 0.0588426
30311.8 0.0773182
30314.9 0.107214
30318.0 0.160033
30319.5 0.202894
30321.0 0.265613
30322.6 0.361786
30324.1 0.517561
30325.6 0.784883
30326.4 0.990139
30327.1 1.25966
30330.2 2.65175
30331.0 2.56009
30331.8 2.21882
30333.3 1.40443
30335.1 0.805407
30336.9 0.498194
30338.7 0.332771
30340.4 0.236568
30342.2 0.176558
30344.0 0.136906
30347.5 0.0897142
30351.1 0.0639168
30354.6 0.0483482
30361.7 0.0313476
30368.8 0.0227675
30375.8 0.0178608
30390.0 0.0127484
30404.2 0.0102788
30418.3 0.00890381
30446.7 0.00750741
30503.3 0.00649366
30560.0 0.00614282
30786.6 0.00586663
31013.2 0.00591583
31126.5 0.00597839
31183.2 0.00603444
31211.5 0.00613833
31225.7 0.00648314
31232.8 0.00778498
31236.3 0.0126435
31238.1 0.0296714
31239.0 0.0829294
31239.4 0.212941
31239.9 1.22457
31240.1 2.44455
31240.2 1.22436
31240.7 0.225268
31241.1 0.0887518
31241.9 0.0319665
31243.6 0.0133318
31247.0 0.00798170
31253.7 0.00655192
31267.1 0.00619046
31294.0 0.00611650
31347.8 0.00613670
31455.3 0.00623413
31562.9 0.00639320
31616.6 0.00665817
31643.5 0.00749090
31656.9 0.0106217
31663.7 0.0225012
31667.0 0.0657160
31668.7 0.209091
31669.5 0.608601
31670.0 1.43989
31670.2 2.60666
31670.4 5.50577
31670.7 11.0024
31670.9 5.51138
31671.2 2.04645
31671.5 0.974794
31672.1 0.362911
31673.3 0.116339
31675.7 0.0370642
31680.5 0.0145813
31690.1 0.00859831
31709.3 0.00714056
31728.4 0.00724347
31738.0 0.00863447
31742.8 0.0140654
31745.2 0.0336410
31746.4 0.0969344
31747.0 0.265110
31747.3 0.590447
31747.6 1.91323
31747.8 3.81594
31748.1 1.91321
31748.4 0.609904
31748.6 0.283657
31749.2 0.104862
31750.3 0.0362624
31752.6 0.0148039
31757.2 0.00879185
31766.3 0.00719609
31784.5 0.00678709
31821.0 0.00670943
31894.0 0.00677642
32039.8 0.00703565
32185.7 0.00754608
32258.7 0.00865309
32276.9 0.00965902
32295.1 0.0123724
32304.3 0.0159928
32308.8 0.0195008
32313.4 0.0257045
32317.9 0.0382880
32320.2 0.0501061
32322.5 0.0702510
32324.8 0.108763
32325.9 0.142675
32327.1 0.196567
32328.2 0.289238
32329.3 0.466481
32329.9 0.620297
32330.5 0.856895
32331.1 1.23435
32331.6 1.82844
32332.3 2.93043
32333.0 3.65225
32333.7 2.91501
32334.4 1.82954
32335.1 1.10288
32335.9 0.707570
32336.6 0.484760
32337.3 0.352184
32338.0 0.266001
32338.8 0.208691
32340.2 0.138478
32341.7 0.0993015
