Cd-110(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1686.79 89.8064
1686.81 111.442
1686.83 89.8076
1686.85 55.7030
1686.87 39.2737
1686.89 28.4952
1686.90 21.3083
1686.92 16.4011
1686.95 10.4528
1686.98 7.18488
1687.01 5.17057
1687.04 3.92419
1687.10 2.47469
1687.16 1.68950
1687.22 1.23150
1687.34 0.733960
1687.46 0.486670
1687.58 0.346247
1687.82 0.201452
1688.30 0.0929866
1688.79 0.0536894
1689.75 0.0249769
1690.72 0.0147715
1692.65 0.00740632
1694.59 0.00481839
1702.32 0.00236516
1717.78 0.00193642
1733.24 0.00213506
1748.70 0.00260742
1764.16 0.00351344
1779.62 0.00549649
1787.35 0.00757251
1795.08 0.0118263
1798.95 0.0162125
1802.81 0.0257267
1804.74 0.0367243
1806.68 0.0643966
1807.64 0.100537
1808.13 0.135721
1808.61 0.199009
1809.09 0.332051
1809.33 0.462887
1809.57 0.696567
1809.70 0.891071
1809.82 1.18374
1809.94 1.65374
1810.06 2.47015
1810.18 4.11433
1810.24 5.65145
1810.30 8.18537
1810.36 12.9890
1810.39 17.0422
1810.42 23.2793
1810.45 33.5228
1810.48 51.8001
1810.51 87.8382
1810.53 119.014
1810.54 166.496
1810.56 265.394
1810.59 333.504
1810.61 265.662
1810.63 166.706
1810.65 114.264
1810.67 81.4577
1810.68 59.0984
1810.70 45.1085
1810.74 28.0866
1810.77 19.0208
1810.81 13.6859
1810.84 10.3016
1810.91 6.46764
1810.98 4.41065
1811.05 3.21384
1811.12 2.43826
1811.19 1.92099
1811.33 1.28101
1811.47 0.918643
1811.61 0.693954
1811.74 0.545211
1812.02 0.366520
1812.30 0.268351
1812.86 0.170135
1813.41 0.125344
1813.97 0.102301
1815.08 0.0832135
1816.20 0.0800246
1817.31 0.0851653
1819.53 0.116508
1820.65 0.146800
1821.76 0.194627
1822.87 0.274384
1823.99 0.420068
1824.54 0.542785
1825.10 0.729162
1825.66 1.03330
1826.21 1.57729
1826.49 2.02909
1826.77 2.70433
1827.05 3.78266
1827.32 5.66106
1827.60 9.37553
1827.74 12.7668
1827.88 18.3690
1828.02 28.5741
1828.09 37.1896
1828.16 49.9959
1828.23 70.7492
1828.30 105.761
1828.37 171.565
1828.44 297.773
1828.50 479.072
1828.56 597.637
1828.62 475.718
1828.68 297.642
1828.72 218.103
1828.75 162.795
1828.83 97.5098
1828.91 63.7039
1828.98 44.5054
1829.06 32.7121
1829.13 25.0006
1829.29 15.9554
1829.44 11.0140
