16-S_n-tot
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
1.727160e+05 4.98324472e+00
1.727230e+05 4.39554841e+00
1.727290e+05 4.09006724e+00
1.727430e+05 3.77048712e+00
1.727560e+05 3.60908130e+00
1.727830e+05 3.44513718e+00
1.728090e+05 3.36264577e+00
1.728630e+05 3.27901075e+00
1.729160e+05 3.23645365e+00
1.730230e+05 3.19249309e+00
1.731290e+05 3.16922356e+00
1.733420e+05 3.14333725e+00
1.735560e+05 3.12783426e+00
1.741000e+05 3.10503236e+00
1.744090e+05 3.09208073e+00
1.761150e+05 3.04601514e+00
1.795270e+05 2.97427087e+00
1.805750e+05 2.95997285e+00
1.816940e+05 2.94470285e+00
1.863510e+05 2.88104620e+00
1.870500e+05 2.88016408e+00
1.897640e+05 2.87672017e+00
1.931760e+05 2.95139102e+00
1.935250e+05 2.97449069e+00
1.948820e+05 3.06428777e+00
1.965880e+05 3.30825961e+00
1.974410e+05 3.53350524e+00
1.982940e+05 3.89626264e+00
