34-Se_n-g
>  34-Se-74:0.008900
>  34-Se-76:0.093700
>  34-Se-77:0.076300
>  34-Se-78:0.237700
>  34-Se-80:0.496100
>  34-Se-82:0.087300
4.409500e+02 1.94093152e-01
4.410920e+02 2.47600746e-01
4.412340e+02 3.31014887e-01
4.413760e+02 4.70491217e-01
4.415170e+02 7.25995103e-01
4.415880e+02 9.38101819e-01
4.416340e+02 1.14053297e+00
4.416590e+02 1.25055334e+00
4.417300e+02 1.72247817e+00
4.418010e+02 2.43583910e+00
4.419010e+02 3.88657746e+00
4.420000e+02 4.85613780e+00
4.421000e+02 3.88720478e+00
4.421990e+02 2.43665883e+00
4.422760e+02 1.67125530e+00
4.423540e+02 1.18408705e+00
4.424310e+02 8.72172562e-01
4.425090e+02 6.66180490e-01
4.426630e+02 4.24435979e-01
4.428180e+02 2.95853225e-01
4.429730e+02 2.20223434e-01
4.431270e+02 1.72245824e-01
4.434370e+02 1.17316518e-01
4.434680e+02 1.14408689e-01
4.437460e+02 8.83335365e-02
4.440560e+02 7.12242358e-02
4.446740e+02 5.28525858e-02
4.452930e+02 4.36751743e-02
4.459120e+02 3.84027969e-02
4.471500e+02 3.27922867e-02
4.483880e+02 2.99227777e-02
4.496250e+02 2.81758431e-02
4.521010e+02 2.60681404e-02
4.562260e+02 2.40996197e-02
4.570510e+02 2.37796376e-02
4.620020e+02 2.26619195e-02
4.669530e+02 2.20745321e-02
4.694280e+02 2.21204409e-02
4.695680e+02 2.21521798e-02
4.708170e+02 2.24877418e-02
4.717340e+02 2.27726694e-02
4.719040e+02 2.28259829e-02
4.743790e+02 2.48624155e-02
4.756170e+02 2.70340348e-02
4.768540e+02 3.10794776e-02
4.774730e+02 3.45022457e-02
4.780920e+02 3.97090603e-02
4.787110e+02 4.81570226e-02
4.793300e+02 6.31491597e-02
4.796390e+02 7.54178516e-02
4.799490e+02 9.35909022e-02
4.802580e+02 1.22142930e-01
4.805670e+02 1.70697002e-01
4.808770e+02 2.63130325e-01
4.810320e+02 3.44139786e-01
4.811860e+02 4.72230279e-01
4.813410e+02 6.90887230e-01
4.814960e+02 1.10439531e+00
4.815730e+02 1.45937207e+00
4.816500e+02 1.99848363e+00
4.817280e+02 2.84726624e+00
4.818050e+02 4.18871808e+00
4.818540e+02 5.35539277e+00
4.819030e+02 6.68473143e+00
4.820000e+02 8.34587030e+00
4.820980e+02 6.68330476e+00
4.821950e+02 4.18694056e+00
4.822650e+02 2.95367260e+00
4.823340e+02 2.13697224e+00
4.824040e+02 1.59594366e+00
4.824730e+02 1.22900128e+00
4.826120e+02 7.86353502e-01
4.827520e+02 5.44576037e-01
4.828910e+02 3.99904174e-01
4.830300e+02 3.07047640e-01
4.833080e+02 1.99577934e-01
4.835860e+02 1.42345674e-01
4.838640e+02 1.08377283e-01
4.844210e+02 7.18226527e-02
4.849770e+02 5.36180596e-02
4.854090e+02 4.55786937e-02
4.855340e+02 4.32552779e-02
4.860900e+02 3.68014668e-02
4.866460e+02 3.25025202e-02
4.877590e+02 2.72939314e-02
4.888720e+02 2.43584722e-02
4.910980e+02 2.12899840e-02
4.933230e+02 1.97501387e-02
4.955490e+02 1.88313268e-02
5.000000e+02 1.77866458e-02
5.042020e+02 1.74866900e-02
5.084050e+02 1.77859114e-02
5.105060e+02 1.85704177e-02
5.115560e+02 1.94296378e-02
5.126070e+02 2.10399638e-02
5.136570e+02 2.44758882e-02
5.141830e+02 2.78279801e-02
5.147080e+02 3.37462459e-02
5.152330e+02 4.56561981e-02
5.154960e+02 5.67179833e-02
5.157590e+02 7.53094340e-02
5.160210e+02 1.10092255e-01
5.161530e+02 1.39995707e-01
5.162840e+02 1.86348728e-01
5.164150e+02 2.63249217e-01
5.165460e+02 4.02484517e-01
5.166120e+02 5.16821189e-01
5.166780e+02 6.83114347e-01
5.167430e+02 9.31162243e-01
5.168090e+02 1.29957334e+00
5.169050e+02 2.07000756e+00
5.170000e+02 2.58381442e+00
5.170960e+02 2.07036380e+00
5.171910e+02 1.30001877e+00
5.172590e+02 9.22452287e-01
5.173260e+02 6.71675095e-01
5.173940e+02 5.05083455e-01
5.174610e+02 3.91699673e-01
5.175970e+02 2.54741683e-01
5.177320e+02 1.79766049e-01
5.178670e+02 1.34833541e-01
5.180020e+02 1.05959893e-01
5.182730e+02 7.25023463e-02
5.185430e+02 5.46615539e-02
5.188130e+02 4.40617841e-02
5.193540e+02 3.26404949e-02
5.198950e+02 2.69427740e-02
5.204360e+02 2.36928334e-02
5.215170e+02 2.03046635e-02
5.218670e+02 1.97700702e-02
5.225990e+02 1.86592148e-02
5.236800e+02 1.77310034e-02
5.258440e+02 1.67591788e-02
5.301700e+02 1.60023926e-02
5.344960e+02 1.57602498e-02
5.388220e+02 1.58516525e-02
5.431490e+02 1.66775375e-02
5.437350e+02 1.70404094e-02
5.453120e+02 1.80279792e-02
