Mo-94(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
7864.72 208.831
7865.00 298.771
7865.14 300.010
7865.28 271.595
7865.56 191.732
7865.76 146.367
7865.96 114.372
7866.16 91.8606
7866.36 75.9018
7866.75 55.4072
7867.15 43.3202
7867.55 35.5701
7867.95 30.2695
7868.75 23.6143
7869.55 19.6690
7870.34 17.0981
7871.14 15.3000
7871.94 13.9813
7873.53 12.1816
7875.13 11.0196
7876.72 10.2101
7878.32 9.61509
7881.51 8.80075
7884.70 8.27093
7887.89 7.89896
7891.08 7.62372
7897.46 7.24354
7903.84 6.99331
7910.22 6.81597
7916.60 6.68359
7929.37 6.49865
7942.13 6.37515
7967.65 6.21924
7993.17 6.12362
8018.70 6.05817
8069.74 5.97376
8095.27 5.94580
8120.79 5.92534
8146.31 5.91331
8171.84 5.91427
8184.60 5.92344
8197.36 5.94337
8210.12 5.98289
8222.88 6.06301
8229.26 6.13369
8235.64 6.24389
8242.02 6.42700
8248.40 6.76068
8251.60 7.04007
8254.79 7.46262
8257.98 8.14502
8261.17 9.35047
8262.76 10.3339
8264.36 11.7861
8265.95 14.0593
8267.55 17.9054
8269.14 25.1707
8269.94 31.4908
8270.74 41.3855
8271.54 58.0884
8272.33 89.0335
8272.73 115.086
8273.13 153.952
8273.53 213.584
8273.93 305.044
8274.46 484.986
8275.00 604.701
8275.54 484.666
8276.07 304.875
8276.40 227.741
8276.72 173.242
8277.37 107.648
8278.02 72.9938
8278.67 53.0744
8279.31 40.7034
8279.96 32.5723
8281.26 22.9170
8282.55 17.6492
8283.85 14.4772
8286.44 11.0155
8289.03 9.26969
8291.62 8.26925
8294.21 7.64294
8296.80 7.22489
8301.98 6.71842
8307.16 6.43441
8312.34 6.25877
8317.52 6.14221
8327.88 6.00081
8338.24 5.92036
8348.60 5.86919
8358.97 5.83384
8379.69 5.78758
8400.41 5.75751
8421.13 5.73525
8441.86 5.71723
8483.30 5.68788
8524.75 5.66374
8545.47 5.65433
8566.19 5.65226
8576.56 5.66255
8581.74 5.67726
8586.92 5.70863
8592.10 5.78349
8594.69 5.86238
8597.28 6.01066
8598.57 6.13776
8599.87 6.33325
8601.16 6.65477
8602.46 7.23484
8603.11 7.71623
8603.75 8.43627
8604.40 9.58390
8605.05 11.5632
8605.70 15.4166
8606.02 18.8625
8606.34 24.3970
8606.67 34.1239
8606.99 53.2687
8607.15 70.3743
8607.32 97.4600
8607.48 142.352
8607.64 217.412
8607.82 345.808
8608.00 432.481
8608.18 348.352
8608.36 220.602
8608.56 131.898
8608.76 85.0999
8608.97 59.3186
8609.17 44.0464
8609.37 34.3815
