Br-79(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1138.16 15.8292
1138.21 12.1535
1138.26 9.67499
1138.37 6.75818
1138.47 5.26508
1138.58 4.42528
1138.68 3.90151
1138.79 3.55937
1138.99 3.14720
1139.20 2.91666
1139.41 2.77447
1139.83 2.61120
1140.25 2.52116
1140.67 2.46400
1141.51 2.39290
1143.18 2.31233
1144.85 2.25681
1151.55 2.07631
1158.25 1.88754
1161.59 1.76213
1162.43 1.71962
1163.27 1.67367
1163.69 1.66280
1163.90 1.67442
1164.10 1.72137
1164.31 1.86867
1164.42 2.04162
1164.52 2.37433
1164.63 3.09780
1164.68 3.78081
1164.73 4.92523
1164.78 7.05694
1164.81 8.78679
1164.84 11.3282
1164.86 15.2148
1164.88 17.9433
1164.89 21.4316
1164.90 25.9396
1164.91 31.8136
1164.93 39.4894
1164.94 49.4362
1164.96 64.0857
1164.97 81.2847
1165.00 105.298
1165.02 101.259
1165.03 88.1314
1165.06 58.0105
1165.08 42.1410
1165.10 31.8938
1165.12 24.9163
1165.15 20.0605
1165.19 13.9233
1165.23 10.5438
1165.27 8.40972
1165.32 7.03467
1165.40 5.35986
1165.49 4.42283
1165.57 3.84024
1165.74 3.17627
1165.91 2.81459
1166.08 2.59250
1166.42 2.33848
1167.10 2.10963
1167.78 2.00343
1170.49 1.84935
1175.92 1.85012
1178.64 1.98116
1181.36 2.28386
1182.71 2.56157
1184.07 3.05251
1184.75 3.52537
1185.09 3.92078
1185.43 4.55756
1185.77 5.74914
1185.94 6.79928
1186.11 8.47140
1186.28 11.4022
1186.45 17.0616
1186.53 22.0546
1186.62 29.7970
1186.70 42.2404
1186.79 62.1432
1186.84 80.1974
1186.89 101.018
1187.00 130.495
1187.11 109.802
1187.21 73.2528
1187.29 55.1130
1187.36 42.7456
1187.50 28.1831
1187.65 20.7203
1187.79 16.5330
1187.94 13.9601
1188.08 12.3018
1188.37 10.4286
1188.95 9.10293
1189.53 9.00687
