U-235(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
41.7128 52.8604
41.7332 53.9841
41.7536 59.1994
41.7740 71.8598
41.7944 100.354
41.8046 126.734
41.8148 168.517
41.8250 236.635
41.8352 348.797
41.8417 452.500
41.8483 578.537
41.8613 780.035
41.8679 768.392
41.8744 681.866
41.8875 460.573
41.8957 354.927
41.9039 278.973
41.9202 186.016
41.9365 135.784
41.9529 106.206
41.9692 87.4229
41.9856 74.8193
42.0183 59.7264
42.0509 52.1291
42.0836 49.5234
42.1163 52.4944
42.1490 65.4815
42.2030 119.840
42.2165 123.886
42.2300 116.822
42.2570 89.5521
42.2835 68.2826
42.3099 55.1911
42.3364 47.1253
42.3628 41.9027
42.4157 35.8583
42.4686 32.8452
42.5215 31.7522
42.5480 32.0012
42.5744 33.1029
42.6009 35.7841
42.6273 42.0850
42.6405 48.3322
42.6538 59.0995
42.6670 79.0539
42.6802 117.716
42.6916 171.574
42.7030 207.076
42.7144 168.887
42.7258 112.565
42.7356 80.7563
42.7454 61.6587
42.7552 50.0217
42.7650 42.6150
42.7846 34.2460
42.8042 29.9336
42.8238 27.4277
42.8434 25.8382
42.8826 23.9930
42.9218 22.9935
42.9610 22.4050
43.0394 21.9294
43.1177 22.3309
43.1569 23.0965
43.1961 24.6649
43.2353 27.9851
43.2549 31.0294
43.2745 35.9253
43.2941 44.3211
43.3137 59.9544
43.3333 92.3067
43.3431 121.446
43.3529 165.663
43.3675 266.375
43.3820 352.474
43.3965 306.374
43.4110 208.428
43.4223 153.079
43.4335 116.803
43.4448 93.1179
43.4560 77.2157
43.4785 58.2386
43.5010 47.9506
43.5235 41.8374
43.5460 37.9707
43.5910 33.7435
43.6511 31.7538
43.7112 32.2858
43.7712 35.7271
43.8013 39.3794
43.8313 45.4639
43.8760 62.8145
43.9392 99.7685
43.9662 97.5812
43.9932 83.7773
44.0472 59.0785
44.1036 46.8658
44.1600 41.6231
44.2529 39.6055
44.3459 43.3026
44.3923 48.2744
44.4388 57.5054
44.4852 75.8160
44.5085 91.6906
44.5317 115.070
44.5656 164.230
44.5994 199.351
44.6282 175.863
44.6570 132.220
44.6672 119.109
44.7006 89.3125
44.7339 74.0105
44.7673 66.5897
44.8006 63.3832
44.8673 62.7734
44.9340 63.9651
45.0720 56.7111
45.2100 41.4954
45.3440 31.5814
45.4780 26.7139
45.5449 25.7557
45.6119 26.0652
45.6454 27.0611
45.6789 29.1847
45.7124 33.5777
45.7459 42.8711
45.7979 66.2880
45.8109 64.6526
45.8239 57.9633
45.8499 41.7910
45.8744 31.8375
45.8988 26.3307
45.9233 23.2162
45.9478 21.3430
45.9967 19.3332
46.0456 18.3418
46.1435 17.4609
46.2413 17.2246
46.3392 17.5020
46.4370 18.7255
46.4859 20.1576
46.5349 22.8601
46.5838 28.3447
46.6082 33.1730
46.6327 40.4955
46.6557 50.8597
46.6786 66.0535
46.7245 111.331
46.7529 136.123
46.7846 144.053
46.8162 138.401
46.8581 132.750
46.9000 140.203
46.9438 165.662
46.9841 197.588
47.0244 193.320
47.0472 163.937
47.0761 120.363
47.1050 86.7679
47.1299 67.3758
47.1548 54.3882
47.2047 39.5231
47.2545 32.0608
47.3044 27.9510
47.4040 24.0787
47.5037 22.8255
47.6034 23.1892
47.6532 24.1112
47.7031 25.8975
47.7529 29.3702
47.8027 36.8865
47.8277 44.2345
47.8526 57.0434
47.8775 81.4610
47.9024 131.769
47.9236 210.017
47.9447 288.070
47.9553 290.645
47.9659 264.343
47.9871 187.475
48.0005 149.667
48.0139 123.004
48.0406 92.0935
48.0674 77.5762
48.0941 71.3242
48.1476 72.2480
48.2011 86.3851
48.2571 113.859
48.3131 133.583
48.3691 109.488
48.4250 72.6842
48.4668 55.1086
48.5498 37.9270
48.5913 32.7571
48.6121 32.2450
48.6328 33.8603
48.6517 37.7003
48.6706 44.6744
48.6895 56.3158
48.7084 75.0872
48.7238 97.7674
48.7392 127.960
48.7699 191.117
48.7853 200.843
48.8007 189.110
48.8315 140.258
48.8675 95.6468
48.9035 70.4249
48.9395 55.9629
48.9756 47.1137
49.0476 37.5345
49.1196 33.2378
49.1916 32.1902
49.2276 33.0707
49.2637 35.5639
49.2997 41.2493
49.3177 46.4924
49.3357 54.8533
49.3537 68.9989
49.3717 94.9234
49.3807 116.369
49.3897 147.739
49.3987 194.779
49.4077 265.554
49.4142 334.985
49.4207 416.328
49.4336 531.002
49.4466 441.684
49.4595 286.453
49.4680 213.563
49.4764 163.346
49.4933 105.063
49.5102 75.4153
49.5271 58.7486
49.5440 48.5538
49.5609 41.8867
49.5946 33.9824
49.6284 29.6310
49.6622 26.9611
49.7298 23.9586
49.7973 22.4175
49.8649 21.6871
49.9324 21.9475
49.9662 22.9931
50.0000 25.9425
50.0159 28.9576
50.0318 34.3637
50.0477 44.6963
50.0557 53.2753
50.0636 65.5060
50.0788 102.515
50.0940 142.533
50.1016 146.215
50.1092 135.927
50.1244 101.431
50.1394 75.5328
50.1544 60.0433
50.1695 50.8448
50.1845 45.2052
50.2145 39.4978
50.2446 37.8020
50.2746 38.9069
50.3046 43.3793
50.3347 54.0702
50.3497 64.0602
50.3647 79.8807
50.3825 110.974
50.4002 158.427
50.4009 160.564
50.4031 167.290
50.4052 174.171
50.4096 188.439
50.4183 219.378
50.4356 286.026
50.4437 307.220
50.4651 282.473
50.4865 201.894
50.5057 147.428
50.5248 113.471
50.5440 92.4144
50.5632 78.8798
50.6015 63.5841
50.6399 56.0106
50.7165 50.4430
50.7932 51.0935
50.8699 56.4498
50.9466 68.4199
51.0232 93.9430
51.0616 117.232
51.0999 153.407
51.1446 217.176
51.1893 283.176
51.2146 304.281
51.2467 332.684
51.2787 391.553
51.2977 427.990
51.3185 438.496
51.3393 403.988
51.3808 276.848
51.4078 209.326
51.4348 162.505
51.4618 131.060
51.4889 110.019
51.5159 96.3089
51.5429 89.0544
51.5564 88.6530
51.5699 92.2733
51.5834 104.354
51.5902 116.727
51.5969 136.367
51.6073 183.956
51.6176 224.208
51.6279 202.325
51.6382 157.096
51.6491 123.772
51.6600 104.359
51.6709 92.7425
51.6818 85.3698
51.7036 77.0088
51.7254 72.8040
51.7690 69.7675
51.8126 70.3853
51.8998 78.5245
51.9870 95.6028
52.1025 133.561
52.2180 168.533
52.2760 165.295
52.3340 145.580
52.4500 94.1814
52.4930 78.9616
52.5870 55.0239
52.6810 41.0185
52.7243 38.0123
52.7776 37.4129
52.8309 29.9703
52.8690 27.1532
52.9375 25.1354
53.0413 24.1520
53.1450 24.7009
53.1969 26.1131
53.2488 29.4171
53.3006 37.4815
53.3266 45.6634
53.3525 59.4185
53.4167 117.700
53.4328 119.346
53.4488 109.751
