29-Cu_n-g
>  29-Cu-63:0.691500
>  29-Cu-65:0.308500
2.764430e+03 3.28063674e-02
2.770710e+03 2.99409821e-02
2.802160e+03 2.20154700e-02
2.812630e+03 1.95167060e-02
2.839900e+03 1.60339773e-02
2.854560e+03 1.43142549e-02
2.896490e+03 1.12716067e-02
2.915380e+03 1.04211825e-02
2.980340e+03 7.95156960e-03
2.990850e+03 7.71259353e-03
3.064190e+03 6.31008855e-03
3.066330e+03 6.28314561e-03
3.104060e+03 5.91474914e-03
3.122930e+03 5.92013664e-03
3.127650e+03 6.07996620e-03
3.132370e+03 6.61705115e-03
3.134720e+03 7.39527238e-03
3.137080e+03 9.58701928e-03
3.138260e+03 1.25503975e-02
3.139440e+03 2.04898190e-02
3.140030e+03 3.07188559e-02
3.140620e+03 5.63177330e-02
3.140920e+03 8.66857408e-02
3.141210e+03 1.54309220e-01
3.141360e+03 2.24042811e-01
3.141510e+03 3.52126092e-01
3.141650e+03 6.18419001e-01
3.141730e+03 8.63105088e-01
3.141800e+03 1.23189155e+00
3.141900e+03 1.97373447e+00
3.142000e+03 2.46172200e+00
3.142100e+03 1.96411372e+00
3.142200e+03 1.23046901e+00
3.142310e+03 7.23494588e-01
3.142420e+03 4.57976946e-01
3.142530e+03 3.11088660e-01
3.142640e+03 2.23849466e-01
3.142860e+03 1.31316390e-01
3.143080e+03 8.68948145e-02
3.143520e+03 4.72577222e-02
3.143970e+03 3.07600491e-02
3.144850e+03 1.75547182e-02
3.145730e+03 1.25008828e-02
3.147490e+03 8.66878067e-03
3.148040e+03 8.22979176e-03
3.149260e+03 7.26104129e-03
3.152790e+03 6.21577536e-03
3.156310e+03 5.82927912e-03
3.170430e+03 5.39273595e-03
3.198650e+03 5.15772391e-03
3.231890e+03 4.99797387e-03
3.255090e+03 5.08326398e-03
3.273820e+03 5.18671449e-03
3.284300e+03 5.50791575e-03
3.294780e+03 6.45377662e-03
3.300020e+03 7.77742493e-03
3.305260e+03 1.15002325e-02
3.307880e+03 1.65929674e-02
3.310500e+03 3.05957489e-02
3.311810e+03 4.92541009e-02
3.313120e+03 9.86223137e-02
3.313780e+03 1.61235203e-01
3.314100e+03 2.18994619e-01
3.314430e+03 3.14994691e-01
3.314760e+03 4.92911929e-01
3.314920e+03 6.44141843e-01
3.315090e+03 8.74043037e-01
3.315250e+03 1.25078631e+00
3.315410e+03 1.91576754e+00
3.315580e+03 3.20407379e+00
3.315660e+03 4.29819979e+00
3.315740e+03 5.85079029e+00
3.315870e+03 9.37384469e+00
3.316000e+03 1.17028860e+01
3.316130e+03 9.35247774e+00
3.316260e+03 5.85648214e+00
3.316350e+03 4.10010685e+00
3.316450e+03 2.94597276e+00
3.316540e+03 2.18653994e+00
3.316640e+03 1.67359923e+00
3.316820e+03 1.05897356e+00
3.317010e+03 7.25172974e-01
3.317200e+03 5.26192069e-01
3.317390e+03 3.98814605e-01
3.317760e+03 2.51772543e-01
3.318140e+03 1.73666824e-01
3.318520e+03 1.27394998e-01
3.319270e+03 7.77022028e-02
3.320770e+03 3.90199402e-02
3.322270e+03 2.45522096e-02
3.325280e+03 1.37545325e-02
3.328290e+03 9.84737616e-03
3.334300e+03 6.99285260e-03
3.340320e+03 5.97450521e-03
3.352350e+03 5.23536013e-03
3.364380e+03 4.97234045e-03
3.367990e+03 4.95478147e-03
3.412500e+03 4.87673739e-03
3.460620e+03 5.18389081e-03
3.472650e+03 5.42746032e-03
3.480880e+03 5.85600763e-03
3.484680e+03 6.07613381e-03
3.490690e+03 6.94540400e-03
3.496710e+03 9.28743924e-03
3.499720e+03 1.24474633e-02
3.502720e+03 2.11215829e-02
3.504230e+03 3.27262400e-02
3.505730e+03 6.36557967e-02
3.506480e+03 1.03342921e-01
3.507230e+03 2.02486322e-01
3.507610e+03 3.19433340e-01
3.507990e+03 5.78202168e-01
3.508170e+03 8.41939395e-01
3.508360e+03 1.32550734e+00
3.508460e+03 1.72733213e+00
3.508550e+03 2.31976879e+00
3.508640e+03 3.21534521e+00
3.508740e+03 4.55249290e+00
3.508870e+03 7.29810193e+00
3.509000e+03 9.11764725e+00
3.509130e+03 7.28545021e+00
3.509260e+03 4.55983518e+00
3.509420e+03 2.61383139e+00
3.509570e+03 1.62119164e+00
3.509720e+03 1.08416740e+00
3.509870e+03 7.70117335e-01
3.510170e+03 4.42659973e-01
3.510470e+03 2.86532109e-01
3.511080e+03 1.48717041e-01
3.511680e+03 9.18972630e-02
3.512890e+03 4.66217842e-02
3.514100e+03 2.93903644e-02
3.516520e+03 1.64105629e-02
3.518940e+03 1.16873406e-02
3.523770e+03 8.25109443e-03
3.528610e+03 7.05347028e-03
3.537330e+03 6.32588368e-03
3.538280e+03 6.26434301e-03
3.547950e+03 6.22116939e-03
3.565550e+03 6.58526314e-03
3.572600e+03 7.12774452e-03
3.579660e+03 8.59832498e-03
3.583190e+03 1.05889480e-02
3.586640e+03 1.59683682e-02
3.586720e+03 1.60937079e-02
3.588480e+03 2.35441168e-02
3.590240e+03 4.37333545e-02
3.591130e+03 7.01912816e-02
3.591570e+03 9.52820751e-02
3.592010e+03 1.38511126e-01
3.592450e+03 2.22543621e-01
3.592670e+03 2.98082096e-01
3.592890e+03 4.19871507e-01
3.593110e+03 6.36296379e-01
3.593220e+03 8.11295979e-01
3.593330e+03 1.06718428e+00
3.593440e+03 1.45894832e+00
3.593550e+03 2.09137630e+00
3.593660e+03 3.16879701e+00
3.593770e+03 5.05141815e+00
3.593890e+03 8.11044233e+00
3.594000e+03 1.01896397e+01
3.594120e+03 8.19043616e+00
3.594230e+03 5.13600840e+00
3.594310e+03 3.68710722e+00
3.594380e+03 2.70415211e+00
3.594540e+03 1.58509905e+00
3.594690e+03 1.02255840e+00
3.594840e+03 7.09279591e-01
3.595000e+03 5.19391512e-01
3.595150e+03 3.96410923e-01
3.595450e+03 2.52831948e-01
3.595760e+03 1.75749213e-01
3.596070e+03 1.29767597e-01
3.596680e+03 8.00787477e-02
3.597290e+03 5.52358708e-02
3.597900e+03 4.11183050e-02
3.599130e+03 2.64894943e-02
3.601580e+03 1.55651739e-02
3.604030e+03 1.16298593e-02
3.608920e+03 8.81157533e-03
3.613820e+03 7.86957848e-03
3.623620e+03 7.32395033e-03
3.633410e+03 7.28467316e-03
3.664010e+03 8.01746412e-03
3.672600e+03 8.23701781e-03
3.711780e+03 1.02036654e-02
3.741380e+03 1.28617979e-02
3.750960e+03 1.37400055e-02
3.780060e+03 1.90676567e-02
3.790140e+03 2.10133591e-02
3.799410e+03 2.42573520e-02
3.809080e+03 2.83632385e-02
3.809730e+03 2.90024506e-02
