78-Pt_n-tot
> 78-Pt-192:0.007821
> 78-Pt-194:0.328626
> 78-Pt-195:0.337827
> 78-Pt-196:0.252120
> 78-Pt-198:0.073606
3.833660e+01 9.74633604e+00
3.896310e+01 9.71693639e+00
3.902560e+01 9.71400644e+00
4.000000e+01 9.66835166e+00
4.008660e+01 9.66432640e+00
4.121000e+01 9.61227783e+00
4.233340e+01 9.56227818e+00
4.263030e+01 9.55022942e+00
4.289520e+01 9.53988071e+00
4.305120e+01 9.53480402e+00
4.345690e+01 9.52161884e+00
4.373770e+01 9.51511123e+00
4.387820e+01 9.51291217e+00
4.401860e+01 9.51167632e+00
4.408880e+01 9.51149890e+00
4.412390e+01 9.51153739e+00
4.415900e+01 9.51166792e+00
4.419410e+01 9.51189770e+00
4.422930e+01 9.51222874e+00
4.426440e+01 9.51267703e+00
4.429950e+01 9.51324568e+00
4.433460e+01 9.51394454e+00
4.436970e+01 9.51478253e+00
4.440480e+01 9.51576997e+00
4.443990e+01 9.51691719e+00
4.451010e+01 9.51974523e+00
4.458030e+01 9.52337746e+00
4.469700e+01 9.53150277e+00
4.481360e+01 9.54304851e+00
4.493020e+01 9.55914664e+00
4.504690e+01 9.58141868e+00
4.516350e+01 9.61227589e+00
4.528010e+01 9.65534657e+00
4.539680e+01 9.71635886e+00
4.551340e+01 9.80470784e+00
4.563010e+01 9.93665555e+00
4.570890e+01 1.00755796e+01
4.574670e+01 1.01422317e+01
4.586330e+01 1.04817078e+01
4.598000e+01 1.10902756e+01
4.603830e+01 1.15885405e+01
4.609660e+01 1.23232621e+01
4.615490e+01 1.34644997e+01
4.621320e+01 1.53630868e+01
4.627160e+01 1.88360709e+01
4.630070e+01 2.17425916e+01
4.632990e+01 2.61140676e+01
4.635900e+01 3.30512605e+01
4.638820e+01 4.47948492e+01
4.641740e+01 6.61279326e+01
4.644650e+01 1.06525125e+02
4.647330e+01 1.66428387e+02
4.650000e+01 2.07897657e+02
4.652680e+01 1.69980534e+02
4.655350e+01 1.10790531e+02
4.658040e+01 7.22066167e+01
4.660740e+01 5.05193163e+01
4.663430e+01 3.79792585e+01
4.666120e+01 3.02908823e+01
4.668810e+01 2.52975719e+01
4.671510e+01 2.18953635e+01
4.676890e+01 1.77069546e+01
4.682280e+01 1.53325198e+01
4.687660e+01 1.38594790e+01
4.692400e+01 1.31291798e+01
4.698430e+01 1.22001178e+01
4.709200e+01 1.13319297e+01
4.719970e+01 1.08182896e+01
4.730740e+01 1.04872299e+01
4.741510e+01 1.02599577e+01
4.763050e+01 9.97341439e+00
4.784590e+01 9.80309029e+00
4.806140e+01 9.69105363e+00
4.827680e+01 9.61164586e+00
4.870760e+01 9.50506429e+00
4.913840e+01 9.43438095e+00
4.956920e+01 9.38165768e+00
5.000000e+01 9.33899408e+00
5.091660e+01 9.26629563e+00
5.137480e+01 9.23560233e+00
5.183310e+01 9.20856004e+00
5.229140e+01 9.18868301e+00
5.252050e+01 9.18560066e+00
5.274970e+01 9.19475559e+00
5.286420e+01 9.20913704e+00
5.297880e+01 9.23672631e+00
5.303610e+01 9.25876271e+00
5.309340e+01 9.28940883e+00
5.312200e+01 9.30914490e+00
5.313630e+01 9.32039054e+00
5.315070e+01 9.33268996e+00
5.316500e+01 9.34616995e+00
5.317210e+01 9.35339583e+00
