As-75(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1844.55 5.01553
1844.69 5.25178
1844.84 5.65489
1844.99 6.39788
1845.14 7.92729
1845.21 9.33428
1845.29 11.6076
1845.36 15.4539
1845.43 22.0875
1845.52 33.8340
1845.60 42.6647
1845.68 36.2320
1845.77 25.0781
1845.82 19.6160
1845.88 15.8932
1845.99 11.4664
1846.10 9.16946
1846.21 7.86126
1846.32 7.03636
1846.43 6.49115
1846.65 5.82400
1846.87 5.44228
1847.09 5.20115
1847.54 4.91460
1847.98 4.74841
1848.42 4.63751
1849.31 4.49022
1851.08 4.30640
1852.85 4.17116
1859.93 3.73586
1867.00 3.34311
1874.08 3.00375
1877.62 2.89829
1881.16 2.90670
1884.70 3.17053
1888.24 4.04599
1890.01 4.97964
1891.78 6.57104
1893.55 9.36734
1895.32 14.5459
1896.21 18.7990
1897.09 24.9836
1897.98 34.2905
1898.86 48.9086
1899.75 73.1277
1900.63 115.967
1901.52 197.500
1901.96 264.903
1902.40 359.980
1903.20 611.501
1904.00 811.688
1904.80 690.719
1905.60 459.326
1906.34 309.982
1907.08 218.832
1907.81 162.385
1908.55 125.927
1910.03 83.6993
1911.50 61.2029
1912.98 47.7621
1914.45 39.0388
1917.40 28.6604
1920.35 22.8536
1923.30 19.2141
1926.25 16.7473
1929.20 14.9769
1935.10 12.6205
1941.00 11.1303
1946.90 10.1035
1952.80 9.35119
1964.60 8.31359
1976.40 7.61723
1988.20 7.09899
2000.00 6.67334
2005.23 6.49625
2010.47 6.31360
2013.08 6.21350
2014.39 6.15869
2015.70 6.09873
2017.01 6.03166
2017.66 5.99558
2018.32 5.96021
2018.97 5.93605
2019.30 5.94011
2019.63 5.97659
2019.95 6.10057
2020.12 6.24391
2020.28 6.51002
2020.44 7.04677
2020.53 7.52026
2020.61 8.24240
2020.69 9.42427
2020.77 11.4474
2020.85 15.1167
2020.93 21.8753
2021.02 33.6141
2021.10 43.1066
2021.18 37.7250
2021.27 27.1788
2021.32 22.0192
2021.38 18.3405
2021.48 13.9047
2021.59 11.5097
2021.70 10.0945
2021.80 9.18414
2021.91 8.57283
2022.13 7.81352
2022.34 7.36962
2022.55 7.08531
2022.98 6.74443
2023.41 6.54736
2023.84 6.41798
2024.70 6.25372
2025.56 6.14734
2026.41 6.06754
2028.13 5.94314
2031.56 5.73698
2034.98 5.52400
2038.41 5.26314
2040.13 5.10171
2041.84 4.91517
2042.70 4.81583
2043.56 4.72236
2044.41 4.65899
2045.27 4.69634
2045.70 4.81085
2046.13 5.06590
2046.56 5.59807
2046.99 6.71734
2047.42 9.24953
2047.63 11.6921
2047.84 15.7850
2048.06 23.1606
