55-Cs_n-tot
> 55-Cs-133:1.000000
1.462130e+02 1.93516000e+02
1.462490e+02 1.48241000e+02
1.462850e+02 1.17558000e+02
1.463570e+02 7.98149000e+01
1.464290e+02 5.84428000e+01
1.465000e+02 4.51753000e+01
1.466440e+02 3.02097000e+01
1.467880e+02 2.23473000e+01
1.469320e+02 1.76807000e+01
1.470760e+02 1.46659000e+01
1.472190e+02 1.25950000e+01
1.475070e+02 9.98452000e+00
1.477940e+02 8.44359000e+00
1.480820e+02 7.44370000e+00
1.483690e+02 6.75019000e+00
1.489450e+02 5.85946000e+00
1.495200e+02 5.31589000e+00
1.506700e+02 4.68654000e+00
1.518200e+02 4.32886000e+00
1.529700e+02 4.09462000e+00
1.541200e+02 3.93520000e+00
1.544080e+02 3.91121000e+00
1.546950e+02 3.91055000e+00
1.548390e+02 3.93864000e+00
1.549110e+02 3.97330000e+00
1.549830e+02 4.03981000e+00
1.550550e+02 4.17998000e+00
1.550910e+02 4.31214000e+00
1.551270e+02 4.53367000e+00
1.551630e+02 4.94514000e+00
1.551810e+02 5.29421000e+00
1.551990e+02 5.82311000e+00
1.552170e+02 6.68355000e+00
1.552350e+02 8.17431000e+00
1.552530e+02 1.10216000e+01
1.552620e+02 1.33970000e+01
1.552700e+02 1.67242000e+01
1.552850e+02 2.45011000e+01
1.553000e+02 2.96923000e+01
1.553150e+02 2.45001000e+01
1.553300e+02 1.67206000e+01
1.553410e+02 1.26436000e+01
1.553520e+02 1.00353000e+01
1.553640e+02 8.35789000e+00
1.553750e+02 7.25306000e+00
1.553980e+02 5.93944000e+00
1.554210e+02 5.24047000e+00
1.554430e+02 4.82571000e+00
1.554660e+02 4.56263000e+00
1.555120e+02 4.25897000e+00
1.555570e+02 4.09628000e+00
1.556030e+02 3.99855000e+00
1.556930e+02 3.89010000e+00
1.558750e+02 3.79565000e+00
1.560570e+02 3.75019000e+00
1.567850e+02 3.65900000e+00
1.582400e+02 3.54468000e+00
1.611500e+02 3.37477000e+00
1.640600e+02 3.24228000e+00
1.655150e+02 3.18564000e+00
1.662430e+02 3.16403000e+00
1.664250e+02 3.16320000e+00
1.666070e+02 3.17243000e+00
1.666980e+02 3.18971000e+00
1.667890e+02 3.23836000e+00
1.668340e+02 3.29880000e+00
1.668800e+02 3.43648000e+00
1.669020e+02 3.58103000e+00
1.669250e+02 3.85176000e+00
1.669370e+02 4.08333000e+00
1.669480e+02 4.42936000e+00
1.669590e+02 4.97209000e+00
1.669710e+02 5.81185000e+00
1.669850e+02 7.42420000e+00
1.670000e+02 8.48826000e+00
1.670150e+02 7.41191000e+00
1.670300e+02 5.81020000e+00
1.670440e+02 4.81245000e+00
1.670580e+02 4.23880000e+00
1.670720e+02 3.90119000e+00
1.670860e+02 3.69164000e+00
1.671140e+02 3.46055000e+00
1.671420e+02 3.34461000e+00
1.671990e+02 3.23700000e+00
1.672550e+02 3.18993000e+00
1.673680e+02 3.14921000e+00
1.674800e+02 3.13099000e+00
1.679310e+02 3.10021000e+00
1.688320e+02 3.06495000e+00
1.706340e+02 3.00346000e+00
1.742390e+02 2.88665000e+00
1.760410e+02 2.82861000e+00
1.778430e+02 2.77220000e+00
1.787440e+02 2.75083000e+00
1.791950e+02 2.74799000e+00
1.796460e+02 2.76081000e+00
1.800960e+02 2.81823000e+00
1.803210e+02 2.89164000e+00
1.805470e+02 3.04201000e+00
1.806590e+02 3.17660000e+00
1.807720e+02 3.38812000e+00
1.808850e+02 3.74125000e+00
1.809970e+02 4.38032000e+00
1.811100e+02 5.68949000e+00
1.811660e+02 6.90854000e+00
1.812230e+02 8.94575000e+00
1.812790e+02 1.26857000e+01
1.813070e+02 1.58288000e+01
1.813350e+02 2.05434000e+01
1.813630e+02 2.80548000e+01
1.813910e+02 4.07154000e+01
1.814200e+02 6.37497000e+01
1.814340e+02 8.21150000e+01
1.814480e+02 1.07074000e+02
1.814610e+02 1.37394000e+02
1.814740e+02 1.72417000e+02
1.815000e+02 2.17889000e+02
1.815260e+02 1.77208000e+02
1.815520e+02 1.13390000e+02
